symbol,timestamp,open,high,low,close,volume,rsi,sma_20,sma_50,vol_ratio,atr,body_pct,direction
DOGE-USDT,2025-12-09 22:49:00,0.14915,0.14915,0.14898,0.14898,77835.0,56.11,0.148676,0.148392,0.37,0.000259,0.11,BEARISH
DOGE-USDT,2025-12-09 22:50:00,0.149,0.149,0.14888,0.14897,187547.0,52.85,0.148713,0.148401,0.87,0.000248,0.02,BEARISH
DOGE-USDT,2025-12-09 22:51:00,0.14899,0.14905,0.14888,0.14888,152850.0,51.59,0.14875,0.148415,0.73,0.00024,0.07,BEARISH
DOGE-USDT,2025-12-09 22:52:00,0.14888,0.1489,0.14876,0.14879,45364.0,43.78,0.148779,0.148434,0.22,0.000226,0.06,BEARISH
DOGE-USDT,2025-12-09 22:53:00,0.14879,0.14893,0.14879,0.14881,58922.0,52.0,0.148801,0.148448,0.28,0.000205,0.01,BULLISH
DOGE-USDT,2025-12-09 22:54:00,0.14881,0.14881,0.14864,0.14864,147556.0,57.78,0.148819,0.148461,0.7,0.000191,0.11,BEARISH
DOGE-USDT,2025-12-09 22:55:00,0.14864,0.14878,0.14858,0.14876,135130.0,52.2,0.148824,0.148473,0.66,0.000177,0.08,BULLISH
DOGE-USDT,2025-12-09 22:56:00,0.14878,0.14878,0.1487,0.14876,60753.0,55.7,0.148821,0.148479,0.31,0.000169,0.01,BEARISH
DOGE-USDT,2025-12-09 22:57:00,0.14876,0.14891,0.14874,0.14879,48738.0,46.34,0.14882,0.148487,0.26,0.000159,0.02,BULLISH
DOGE-USDT,2025-12-09 22:58:00,0.14881,0.14897,0.14879,0.14897,361165.0,59.52,0.148815,0.148497,1.9,0.000159,0.11,BULLISH
DOGE-USDT,2025-12-09 22:59:00,0.14897,0.14897,0.14864,0.14864,20347.0,41.67,0.148811,0.148505,0.12,0.000168,0.22,BEARISH
DOGE-USDT,2025-12-09 23:00:00,0.1486,0.14868,0.14854,0.14854,204124.0,38.56,0.14882,0.148501,1.39,0.000166,0.04,BEARISH
DOGE-USDT,2025-12-09 23:01:00,0.14854,0.14868,0.14844,0.14868,123874.0,36.91,0.148819,0.148506,0.82,0.000171,0.09,BULLISH
DOGE-USDT,2025-12-09 23:02:00,0.14866,0.14894,0.14866,0.14877,267202.0,38.16,0.148828,0.14852,1.7,0.000181,0.07,BULLISH
DOGE-USDT,2025-12-09 23:03:00,0.14871,0.14878,0.14854,0.14878,401222.0,42.75,0.148823,0.14853,2.37,0.000186,0.05,BULLISH
DOGE-USDT,2025-12-09 23:04:00,0.14878,0.14878,0.14864,0.14868,134305.0,40.14,0.14882,0.14854,0.79,0.000187,0.07,BEARISH
DOGE-USDT,2025-12-09 23:05:00,0.14868,0.1487,0.14848,0.14848,47665.0,37.34,0.148801,0.148548,0.35,0.000191,0.13,BEARISH
DOGE-USDT,2025-12-09 23:06:00,0.14847,0.14864,0.14845,0.14855,85345.0,42.31,0.148784,0.148557,0.61,0.000194,0.05,BULLISH
DOGE-USDT,2025-12-09 23:07:00,0.14853,0.14855,0.14827,0.14829,118332.0,35.56,0.148745,0.14856,0.85,0.000204,0.16,BEARISH
DOGE-USDT,2025-12-09 23:08:00,0.14829,0.14837,0.14828,0.14832,174014.0,40.36,0.148704,0.148569,1.22,0.000199,0.02,BULLISH
DOGE-USDT,2025-12-09 23:09:00,0.14832,0.14841,0.14823,0.14825,154062.0,34.16,0.148668,0.148574,1.05,0.000197,0.05,BEARISH
DOGE-USDT,2025-12-09 23:10:00,0.14825,0.14838,0.14823,0.14831,106338.0,36.53,0.148635,0.148583,0.75,0.000202,0.04,BULLISH
