symbol,timestamp,open,high,low,close,volume
FARTCOIN-USDT,2025-12-09 21:42:00,0.366,0.366,0.3652,0.3654,46802.985
FARTCOIN-USDT,2025-12-09 21:43:00,0.3654,0.3654,0.3641,0.3642,19563.085
FARTCOIN-USDT,2025-12-09 21:44:00,0.3641,0.3643,0.3637,0.3638,95235.299
FARTCOIN-USDT,2025-12-09 21:45:00,0.364,0.3643,0.3637,0.3638,53128.68
FARTCOIN-USDT,2025-12-09 21:46:00,0.364,0.3653,0.3637,0.3645,53045.22
FARTCOIN-USDT,2025-12-09 21:47:00,0.3646,0.3648,0.36,0.3601,175523.683
FARTCOIN-USDT,2025-12-09 21:48:00,0.36,0.361,0.36,0.3606,351007.208
FARTCOIN-USDT,2025-12-09 21:49:00,0.3606,0.3621,0.3597,0.3619,219451.496
FARTCOIN-USDT,2025-12-09 21:50:00,0.3619,0.3626,0.3605,0.3607,90412.756
FARTCOIN-USDT,2025-12-09 21:51:00,0.3605,0.3616,0.359,0.3613,228078.296
FARTCOIN-USDT,2025-12-09 21:52:00,0.3613,0.3613,0.36,0.3603,36182.099
FARTCOIN-USDT,2025-12-09 21:53:00,0.3603,0.3607,0.3587,0.3592,93970.617
FARTCOIN-USDT,2025-12-09 21:54:00,0.3592,0.3594,0.3561,0.3565,208460.243
FARTCOIN-USDT,2025-12-09 21:55:00,0.3565,0.3565,0.3537,0.356,701994.668
FARTCOIN-USDT,2025-12-09 21:56:00,0.356,0.3594,0.356,0.359,433151.648
FARTCOIN-USDT,2025-12-09 21:57:00,0.3588,0.3648,0.3586,0.3643,170861.213
FARTCOIN-USDT,2025-12-09 21:58:00,0.3643,0.3647,0.3627,0.3643,368554.434
FARTCOIN-USDT,2025-12-09 21:59:00,0.3643,0.3651,0.363,0.3642,296809.83
FARTCOIN-USDT,2025-12-09 22:00:00,0.364,0.3665,0.3639,0.3665,85088.643
FARTCOIN-USDT,2025-12-09 22:01:00,0.3665,0.3665,0.3649,0.3651,190030.259
FARTCOIN-USDT,2025-12-09 22:02:00,0.3651,0.3655,0.3638,0.3643,160777.582
FARTCOIN-USDT,2025-12-09 22:03:00,0.3643,0.3673,0.364,0.3672,175039.595
FARTCOIN-USDT,2025-12-09 22:04:00,0.367,0.3681,0.3666,0.3681,111502.952
FARTCOIN-USDT,2025-12-09 22:05:00,0.3681,0.3695,0.368,0.3692,86763.02
FARTCOIN-USDT,2025-12-09 22:06:00,0.3692,0.3695,0.3681,0.3691,68753.595
FARTCOIN-USDT,2025-12-09 22:07:00,0.3689,0.3691,0.3668,0.367,206896.583
FARTCOIN-USDT,2025-12-09 22:08:00,0.367,0.3676,0.3666,0.3674,95001.629
FARTCOIN-USDT,2025-12-09 22:09:00,0.3676,0.3676,0.3664,0.3671,201590.192
FARTCOIN-USDT,2025-12-09 22:10:00,0.3672,0.3699,0.3668,0.3698,38971.292
FARTCOIN-USDT,2025-12-09 22:11:00,0.3698,0.37,0.3692,0.3698,105623.112
FARTCOIN-USDT,2025-12-09 22:12:00,0.37,0.3706,0.369,0.3694,93360.975
FARTCOIN-USDT,2025-12-09 22:13:00,0.3692,0.3711,0.3692,0.3705,114709.821
FARTCOIN-USDT,2025-12-09 22:14:00,0.3705,0.3711,0.3683,0.3685,83851.417
FARTCOIN-USDT,2025-12-09 22:15:00,0.3685,0.3688,0.3673,0.3684,91380.688
FARTCOIN-USDT,2025-12-09 22:16:00,0.3684,0.3693,0.3679,0.3687,35520.616
FARTCOIN-USDT,2025-12-09 22:17:00,0.3689,0.3697,0.3686,0.3689,52046.94
FARTCOIN-USDT,2025-12-09 22:18:00,0.3691,0.3691,0.3677,0.368,24291.728
FARTCOIN-USDT,2025-12-09 22:19:00,0.368,0.3693,0.3677,0.3683,22385.392
FARTCOIN-USDT,2025-12-09 22:20:00,0.3681,0.3683,0.3664,0.3673,55643.74
FARTCOIN-USDT,2025-12-09 22:21:00,0.3671,0.3692,0.3671,0.3688,55090.582
FARTCOIN-USDT,2025-12-09 22:22:00,0.369,0.3693,0.3686,0.3691,67522.922
FARTCOIN-USDT,2025-12-09 22:23:00,0.3691,0.371,0.3688,0.3708,40493.7
FARTCOIN-USDT,2025-12-09 22:24:00,0.3708,0.3726,0.3701,0.3707,127542.741
FARTCOIN-USDT,2025-12-09 22:25:00,0.3709,0.3716,0.3705,0.3707,79765.672
FARTCOIN-USDT,2025-12-09 22:26:00,0.3707,0.3724,0.3698,0.37,69896.204
FARTCOIN-USDT,2025-12-09 22:27:00,0.37,0.3702,0.3693,0.3702,119963.981
FARTCOIN-USDT,2025-12-09 22:28:00,0.3702,0.3702,0.3693,0.3695,44000.899
FARTCOIN-USDT,2025-12-09 22:29:00,0.3695,0.3705,0.3691,0.3691,20427.754
FARTCOIN-USDT,2025-12-09 22:30:00,0.3692,0.3702,0.3691,0.3699,30617.21
TRUMPSOL-USDT,2025-12-09 21:42:00,5.903,5.905,5.903,5.905,752.3051
TRUMPSOL-USDT,2025-12-09 21:43:00,5.903,5.905,5.9,5.9,763.9303
TRUMPSOL-USDT,2025-12-09 21:44:00,5.9,5.902,5.897,5.902,1198.292
TRUMPSOL-USDT,2025-12-09 21:45:00,5.902,5.902,5.897,5.899,772.6117
TRUMPSOL-USDT,2025-12-09 21:46:00,5.899,5.899,5.895,5.898,766.0491
TRUMPSOL-USDT,2025-12-09 21:47:00,5.896,5.898,5.872,5.874,1250.6123
TRUMPSOL-USDT,2025-12-09 21:48:00,5.872,5.876,5.857,5.864,1569.7726
TRUMPSOL-USDT,2025-12-09 21:49:00,5.863,5.879,5.861,5.878,894.0763
TRUMPSOL-USDT,2025-12-09 21:50:00,5.878,5.881,5.865,5.865,867.2171
TRUMPSOL-USDT,2025-12-09 21:51:00,5.865,5.872,5.861,5.872,747.9985
TRUMPSOL-USDT,2025-12-09 21:52:00,5.87,5.872,5.859,5.865,777.536
TRUMPSOL-USDT,2025-12-09 21:53:00,5.865,5.87,5.861,5.87,800.0499
TRUMPSOL-USDT,2025-12-09 21:54:00,5.868,5.872,5.861,5.862,792.9167
TRUMPSOL-USDT,2025-12-09 21:55:00,5.862,5.879,5.857,5.877,844.2359
TRUMPSOL-USDT,2025-12-09 21:56:00,5.875,5.899,5.875,5.895,986.0769
TRUMPSOL-USDT,2025-12-09 21:57:00,5.898,5.901,5.887,5.896,786.402
TRUMPSOL-USDT,2025-12-09 21:58:00,5.896,5.898,5.891,5.896,904.2094
TRUMPSOL-USDT,2025-12-09 21:59:00,5.896,5.899,5.894,5.894,815.7417
TRUMPSOL-USDT,2025-12-09 22:00:00,5.894,5.906,5.894,5.906,778.3951
TRUMPSOL-USDT,2025-12-09 22:01:00,5.906,5.908,5.895,5.895,764.5062
TRUMPSOL-USDT,2025-12-09 22:02:00,5.897,5.897,5.887,5.889,735.8356
TRUMPSOL-USDT,2025-12-09 22:03:00,5.887,5.894,5.887,5.892,807.6678
TRUMPSOL-USDT,2025-12-09 22:04:00,5.894,5.894,5.89,5.89,749.1977
TRUMPSOL-USDT,2025-12-09 22:05:00,5.89,5.896,5.89,5.896,738.4331
TRUMPSOL-USDT,2025-12-09 22:06:00,5.896,5.904,5.894,5.904,877.3866
TRUMPSOL-USDT,2025-12-09 22:07:00,5.902,5.905,5.902,5.902,776.4928
TRUMPSOL-USDT,2025-12-09 22:08:00,5.904,5.904,5.897,5.901,733.205
TRUMPSOL-USDT,2025-12-09 22:09:00,5.898,5.901,5.891,5.893,794.2497
TRUMPSOL-USDT,2025-12-09 22:10:00,5.895,5.91,5.893,5.906,794.7231
TRUMPSOL-USDT,2025-12-09 22:11:00,5.908,5.908,5.895,5.895,734.3604
TRUMPSOL-USDT,2025-12-09 22:12:00,5.897,5.897,5.891,5.891,752.1505
TRUMPSOL-USDT,2025-12-09 22:13:00,5.891,5.902,5.887,5.898,755.9208
TRUMPSOL-USDT,2025-12-09 22:14:00,5.9,5.902,5.896,5.898,767.7705
TRUMPSOL-USDT,2025-12-09 22:15:00,5.898,5.898,5.894,5.896,754.8613
TRUMPSOL-USDT,2025-12-09 22:16:00,5.894,5.896,5.892,5.894,753.6218
TRUMPSOL-USDT,2025-12-09 22:17:00,5.896,5.896,5.888,5.888,771.22
TRUMPSOL-USDT,2025-12-09 22:18:00,5.89,5.89,5.88,5.88,748.8531
TRUMPSOL-USDT,2025-12-09 22:19:00,5.88,5.89,5.88,5.886,767.0857
TRUMPSOL-USDT,2025-12-09 22:20:00,5.888,5.888,5.88,5.881,783.3497
TRUMPSOL-USDT,2025-12-09 22:21:00,5.881,5.895,5.881,5.894,934.731
TRUMPSOL-USDT,2025-12-09 22:22:00,5.892,5.899,5.892,5.899,789.185
TRUMPSOL-USDT,2025-12-09 22:23:00,5.899,5.899,5.895,5.896,769.7875
TRUMPSOL-USDT,2025-12-09 22:24:00,5.896,5.898,5.892,5.892,759.5045
TRUMPSOL-USDT,2025-12-09 22:25:00,5.892,5.894,5.89,5.89,809.4661
TRUMPSOL-USDT,2025-12-09 22:26:00,5.89,5.895,5.89,5.894,794.3688
TRUMPSOL-USDT,2025-12-09 22:27:00,5.894,5.894,5.89,5.892,801.0522
TRUMPSOL-USDT,2025-12-09 22:28:00,5.894,5.894,5.888,5.89,1611.383
TRUMPSOL-USDT,2025-12-09 22:29:00,5.89,5.89,5.887,5.887,714.3177
TRUMPSOL-USDT,2025-12-09 22:30:00,5.889,5.893,5.887,5.891,756.6033
