symbol,timestamp,open,high,low,close,volume
FARTCOIN-USDT,2025-12-09 21:42:00,0.004933,0.004934,0.004923,0.004924,697590.0
FARTCOIN-USDT,2025-12-09 21:43:00,0.004924,0.004924,0.004915,0.004915,106669808.0
FARTCOIN-USDT,2025-12-09 21:44:00,0.004916,0.004919,0.004915,0.004917,378082.0
FARTCOIN-USDT,2025-12-09 22:08:00,0.367,0.3676,0.3666,0.3674,95002.0
FARTCOIN-USDT,2025-12-09 22:09:00,0.3676,0.3676,0.3664,0.3671,201590.0
FARTCOIN-USDT,2025-12-09 22:10:00,0.3672,0.3699,0.3668,0.3698,38971.0
FARTCOIN-USDT,2025-12-09 22:11:00,0.3698,0.37,0.3692,0.3698,105623.0
FARTCOIN-USDT,2025-12-09 22:12:00,0.37,0.3706,0.369,0.3694,93361.0
FARTCOIN-USDT,2025-12-09 22:18:00,0.3691,0.3691,0.3677,0.368,24292.0
FARTCOIN-USDT,2025-12-09 22:19:00,0.368,0.3693,0.3677,0.3683,22385.0
FARTCOIN-USDT,2025-12-09 22:20:00,0.3681,0.3683,0.3664,0.3673,55644.0
FARTCOIN-USDT,2025-12-09 22:21:00,0.3671,0.3692,0.3671,0.3688,55091.0
FARTCOIN-USDT,2025-12-09 22:22:00,0.369,0.3693,0.3686,0.3691,67523.0
FARTCOIN-USDT,2025-12-09 22:23:00,0.3691,0.371,0.3688,0.3708,40494.0
FARTCOIN-USDT,2025-12-09 22:24:00,0.3708,0.3726,0.3701,0.3707,127543.0
FARTCOIN-USDT,2025-12-09 22:25:00,0.3709,0.3716,0.3705,0.3707,79766.0
FARTCOIN-USDT,2025-12-09 22:26:00,0.3707,0.3724,0.3698,0.37,69896.0
FARTCOIN-USDT,2025-12-09 22:27:00,0.37,0.3702,0.3693,0.3702,119964.0
FARTCOIN-USDT,2025-12-09 22:28:00,0.3702,0.3702,0.3693,0.3695,44001.0
FARTCOIN-USDT,2025-12-09 22:29:00,0.3695,0.3705,0.3691,0.3691,20428.0
FARTCOIN-USDT,2025-12-09 22:30:00,0.3692,0.3702,0.3691,0.3699,30617.0
TRUMPSOL-USDT,2025-12-09 21:42:00,5.782,5.782,5.778,5.78,1164.0
TRUMPSOL-USDT,2025-12-09 21:43:00,5.78,5.78,5.771,5.771,1241.0
TRUMPSOL-USDT,2025-12-09 21:44:00,5.771,5.775,5.771,5.771,1433.0
TRUMPSOL-USDT,2025-12-09 22:08:00,5.904,5.904,5.897,5.901,733.0
TRUMPSOL-USDT,2025-12-09 22:09:00,5.898,5.901,5.891,5.893,794.0
TRUMPSOL-USDT,2025-12-09 22:10:00,5.895,5.91,5.893,5.906,795.0
TRUMPSOL-USDT,2025-12-09 22:11:00,5.908,5.908,5.895,5.895,734.0
TRUMPSOL-USDT,2025-12-09 22:12:00,5.897,5.897,5.891,5.891,752.0
TRUMPSOL-USDT,2025-12-09 22:18:00,5.89,5.89,5.88,5.88,749.0
TRUMPSOL-USDT,2025-12-09 22:19:00,5.88,5.89,5.88,5.886,767.0
TRUMPSOL-USDT,2025-12-09 22:20:00,5.888,5.888,5.88,5.881,783.0
TRUMPSOL-USDT,2025-12-09 22:21:00,5.881,5.895,5.881,5.894,935.0
TRUMPSOL-USDT,2025-12-09 22:22:00,5.892,5.899,5.892,5.899,789.0
TRUMPSOL-USDT,2025-12-09 22:23:00,5.899,5.899,5.895,5.896,770.0
TRUMPSOL-USDT,2025-12-09 22:24:00,5.896,5.898,5.892,5.892,760.0
TRUMPSOL-USDT,2025-12-09 22:25:00,5.892,5.894,5.89,5.89,809.0
TRUMPSOL-USDT,2025-12-09 22:26:00,5.89,5.895,5.89,5.894,794.0
TRUMPSOL-USDT,2025-12-09 22:27:00,5.894,5.894,5.89,5.892,801.0
TRUMPSOL-USDT,2025-12-09 22:28:00,5.894,5.894,5.888,5.89,1611.0
TRUMPSOL-USDT,2025-12-09 22:29:00,5.89,5.89,5.887,5.887,714.0
TRUMPSOL-USDT,2025-12-09 22:30:00,5.889,5.893,5.887,5.891,757.0
