strategy,type,scale_step,floor,ceiling,return,max_dd,return_dd,final_equity
"Up/Down (20% step, 50%-200%)",updown,0.2,0.5,2.0,12746.845226648447,-32.43522312674712,392.99391210714356,12846.845226648447
"Up/Down (20% step, 50%-150%)",updown,0.2,0.5,1.5,8167.03532584429,-26.80109175727976,304.72771034135,8267.03532584429
"Scale Down (30% step, 40% floor)",scale_down,0.3,0.4,1.0,5730.679727942489,-19.02849355404753,301.16308007595916,5830.679727942489
"Up/Down (20% step, 40%-200%)",updown,0.2,0.4,2.0,9120.474296668453,-30.62135776862055,297.8468285300766,9220.474296668453
"Scale Down (25% step, 40% floor)",scale_down,0.25,0.4,1.0,6001.369280540982,-20.37731057586277,294.5123331265164,6101.369280540982
"Scale Down (15% step, 50% floor)",scale_down,0.15,0.5,1.0,6551.139644232446,-22.652322594332873,289.203882601928,6651.139644232445
"Scale Down (20% step, 40% floor)",scale_down,0.2,0.4,1.0,6277.239399242031,-21.856830570245805,287.1980628237736,6377.239399242031
"Scale Down (30% step, 30% floor)",scale_down,0.3,0.3,1.0,5689.313991068364,-19.857329516560196,286.50952215521784,5789.313991068364
"Scale Down (5% step, 20% floor)",scale_down,0.05,0.2,1.0,7466.605527191475,-26.296236959133086,283.94197765997114,7566.605527191474
"Scale Down (5% step, 30% floor)",scale_down,0.05,0.3,1.0,7455.121813595241,-26.296236959133086,283.50527207300524,7555.121813595241
"Scale Down (5% step, 40% floor)",scale_down,0.05,0.4,1.0,7450.1706849403345,-26.296236959133086,283.31698929084894,7550.1706849403345
"Scale Down (20% step, 50% floor)",scale_down,0.2,0.5,1.0,6311.181310555437,-22.308394023303606,282.9061251097997,6411.181310555437
"Scale Down (5% step, 50% floor)",scale_down,0.05,0.5,1.0,7389.905531105038,-26.296236959133086,281.02521066377943,7489.905531105037
"Scale Down (25% step, 30% floor)",scale_down,0.25,0.3,1.0,5958.083137585618,-21.328863145094466,279.3436807697811,6058.083137585618
"Scale Down (5% step, 60% floor)",scale_down,0.05,0.6,1.0,7306.5411464755725,-26.592352755714856,274.7609891308077,7406.5411464755725
"Scale Down (25% step, 50% floor)",scale_down,0.25,0.5,1.0,6033.842914043746,-22.024854024047343,273.95609103496577,6133.842914043746
"Scale Down (15% step, 40% floor)",scale_down,0.15,0.4,1.0,6434.902526118089,-23.49797583087444,273.84922737315725,6534.902526118088
"Scale Down (10% step, 50% floor)",scale_down,0.1,0.5,1.0,6712.5215374808595,-24.807868306999207,270.58034388174383,6812.521537480859
"Scale Down (30% step, 20% floor)",scale_down,0.3,0.2,1.0,5637.74775680898,-20.84429481025505,270.46958451361473,5737.74775680898
"Up/Down (15% step, 50%-200%)",updown,0.15,0.5,2.0,8748.178238155346,-32.357019920103916,270.3641515737971,8848.178238155346
"Scale Down (10% step, 20% floor)",scale_down,0.1,0.2,1.0,7051.2241862787205,-26.196410286615883,269.16757330989316,7151.2241862787205
"Scale Down (20% step, 30% floor)",scale_down,0.2,0.3,1.0,6157.229119522374,-22.891473179452866,268.97478686732296,6257.229119522374
"Scale Down (10% step, 40% floor)",scale_down,0.1,0.4,1.0,6812.318752406722,-25.479870580660695,267.36080667447715,6912.318752406722
"Scale Down (10% step, 60% floor)",scale_down,0.1,0.6,1.0,6812.649134782356,-25.581429300581622,266.3122945451474,6912.649134782356
"Scale Down (30% step, 50% floor)",scale_down,0.3,0.5,1.0,5789.322918568298,-21.90092852963061,264.34143697312646,5889.322918568298
"Scale Down (10% step, 30% floor)",scale_down,0.1,0.3,1.0,6891.982450068801,-26.196410286615883,263.0888115838532,6991.982450068801
"Scale Down (25% step, 20% floor)",scale_down,0.25,0.2,1.0,5870.242149847172,-22.34100247613767,262.75643432371277,5970.242149847172
"Scale Down (15% step, 60% floor)",scale_down,0.15,0.6,1.0,6616.901731654835,-25.190934583285834,262.6699581064827,6716.901731654835
"Scale Down (20% step, 60% floor)",scale_down,0.2,0.6,1.0,6333.735976998566,-24.917407420851365,254.18920476045892,6433.735976998566
"Scale Down (20% step, 20% floor)",scale_down,0.2,0.2,1.0,6031.01430218408,-23.928840098908726,252.03955884427197,6131.01430218408
"Scale Down (15% step, 30% floor)",scale_down,0.15,0.3,1.0,6327.279958616083,-25.153263043049805,251.54907129889844,6427.279958616083
"Scale Down (5% step, 70% floor)",scale_down,0.05,0.7,1.0,7171.702067785065,-28.5721470982581,251.00326003229515,7271.702067785065
"Scale Down (10% step, 70% floor)",scale_down,0.1,0.7,1.0,6916.64334795897,-27.97335468922615,247.25827219510762,7016.6433479589705
"Scale Down (25% step, 60% floor)",scale_down,0.25,0.6,1.0,6079.645612227972,-24.79788909666958,245.16786846363001,6179.645612227972
"Up/Down (20% step, 40%-150%)",updown,0.2,0.4,1.5,5961.543036972993,-24.60624677584078,242.2776253234293,6061.543036972993
"Up/Down (20% step, 50%-120%)",updown,0.2,0.5,1.2,5751.895151823187,-23.95636500114738,240.0988276621976,5851.895151823187
"Scale Down (15% step, 70% floor)",scale_down,0.15,0.7,1.0,6628.532393205414,-27.709510849087103,239.21506335157096,6728.532393205414
"Scale Down (30% step, 60% floor)",scale_down,0.3,0.6,1.0,5833.299734396269,-24.6783707724878,236.3729675744806,5933.299734396269
"Scale Down (15% step, 20% floor)",scale_down,0.15,0.2,1.0,6313.686724118104,-27.008271249215888,233.7686357582552,6413.686724118104
"Scale Down (20% step, 70% floor)",scale_down,0.2,0.7,1.0,6365.280756235454,-27.59425359471932,230.67414142535713,6465.280756235454
"Scale Down (25% step, 70% floor)",scale_down,0.25,0.7,1.0,6109.9445796237205,-27.478996340351486,222.34962674570406,6209.9445796237205
"Up/Down (20% step, 30%-200%)",updown,0.2,0.3,2.0,6382.708953632572,-28.907206741269896,220.79992061357427,6482.708953632572
"Up/Down (15% step, 50%-150%)",updown,0.15,0.5,1.5,6125.291543430672,-27.842511140177216,219.99781243121325,6225.291543430672
