trade_num,signal_time,entry_time,exit_time,rsi_at_signal,swing_low,limit_price,entry_price,sl_price,tp_price,sl_dist_pct,size,exit_type,pnl_pct,pnl_dollar,equity_before,equity_after
1,2025-06-01 05:30:00,2025-06-01 06:45:00,2025-06-01 14:30:00,73.4611,1.0811,1.0898,1.0898,1.1114,0.9808,1.9813,252.3536,SL,-1.9813,-5.2524,100.0000,94.7476
2,2025-06-01 16:30:00,2025-06-01 18:45:00,2025-06-01 20:30:00,72.3223,1.1032,1.1177,1.1177,1.1415,1.0060,2.1268,222.7509,SL,-2.1268,-4.9601,94.7476,89.7875
3,2025-06-01 22:00:00,2025-06-02 01:00:00,2025-06-03 00:30:00,70.9939,1.1405,1.1505,1.1505,1.1697,1.0354,1.6733,268.3014,SL,-1.6733,-4.7577,89.7875,85.0298
4,2025-06-03 01:45:00,2025-06-03 03:00:00,2025-06-03 14:45:00,75.9122,1.1562,1.1696,1.1696,1.1953,1.0527,2.1948,193.7043,SL,-2.1948,-4.4452,85.0298,80.5846
5,2025-06-03 14:45:00,2025-06-03 20:00:00,2025-06-03 21:15:00,71.5043,1.1437,1.1559,1.1559,1.2093,1.0403,4.6211,87.1926,TP,10.0000,8.6321,80.5846,89.2167
6,2025-06-08 17:15:00,2025-06-09 00:15:00,2025-06-09 07:45:00,75.4148,1.0373,1.0487,1.0487,1.0716,0.9438,2.1837,204.2829,SL,-2.1837,-4.6651,89.2167,84.5516
7,2025-06-10 11:30:00,2025-06-10 14:30:00,2025-06-10 18:45:00,72.3995,1.2638,1.2870,1.2870,1.3275,1.1583,3.1463,134.3675,SL,-3.1463,-4.3619,84.5516,80.1896
8,2025-06-15 14:45:00,2025-06-15 22:00:00,2025-06-16 02:00:00,71.8709,1.2030,1.2178,1.2178,1.2590,1.0960,3.3874,118.3648,SL,-3.3874,-4.1278,80.1896,76.0618
9,2025-06-16 19:15:00,2025-06-16 22:30:00,2025-06-17 00:00:00,70.2103,1.2432,1.2712,1.2712,1.3240,1.1441,4.1553,91.5236,TP,10.0000,9.0608,76.0618,85.1226
10,2025-06-18 17:30:00,2025-06-18 20:30:00,2025-06-19 15:15:00,71.1303,1.1004,1.1203,1.1203,1.1573,1.0083,3.3027,128.8688,TP,10.0000,12.7580,85.1226,97.8806
11,2025-06-22 22:45:00,2025-06-23 17:00:00,2025-06-23 17:15:00,70.3883,0.8818,0.9000,0.9000,0.9607,0.8100,6.7487,72.5184,SL,-6.7487,-4.9666,97.8806,92.9141
12,2025-06-23 20:15:00,2025-06-23 22:00:00,2025-06-23 22:15:00,77.6079,0.9806,1.0003,1.0003,1.0393,0.9003,3.9003,119.1110,SL,-3.9003,-4.7648,92.9141,88.1493
13,2025-06-24 06:30:00,2025-06-24 09:15:00,2025-06-25 02:00:00,70.7613,1.0304,1.0492,1.0492,1.0914,0.9443,4.0186,109.6774,SL,-4.0186,-4.5171,88.1493,83.6321
14,2025-06-27 09:30:00,2025-06-27 14:15:00,2025-06-27 16:30:00,70.2377,0.9794,0.9933,0.9933,1.0227,0.8940,2.9576,141.3847,SL,-2.9576,-4.3230,83.6321,79.3091
15,2025-06-29 14:00:00,2025-06-29 17:15:00,2025-06-29 22:15:00,72.8737,1.1313,1.1433,1.1433,1.1703,1.0290,2.3616,167.9151,SL,-2.3616,-4.1334,79.3091,75.1758
16,2025-07-03 10:00:00,2025-07-03 14:00:00,2025-07-07 19:45:00,70.3701,1.2336,1.2521,1.2521,1.2612,1.1269,0.7233,519.6495,TP,10.0000,51.4453,75.1758,126.6211
17,2025-07-10 09:00:00,2025-07-10 10:30:00,2025-07-10 17:00:00,70.1631,1.1612,1.1725,1.1725,1.1916,1.0553,1.6284,388.7949,SL,-1.6284,-6.7198,126.6211,119.9012
