step,floor,ceiling,strategy,return,max_dd,return_dd,final_equity,max_scale
30,60,500,"Up/Down (30%, 60%-500%)",195233.89480782294,-45.9864012545342,4245.4701712187825,195333.89480782294,4.799999999999999
30,60,450,"Up/Down (30%, 60%-450%)",172702.27360671634,-45.9864012545342,3755.5074738466974,172802.27360671634,4.5
30,50,500,"Up/Down (30%, 50%-500%)",137037.9531190721,-44.45947795748815,3082.311340904787,137137.9531190721,4.699999999999998
30,50,450,"Up/Down (30%, 50%-450%)",126110.68596604181,-43.49559591846683,2899.3897727585627,126210.68596604181,4.5
30,60,400,"Up/Down (30%, 60%-400%)",129722.62442570552,-45.9864012545342,2820.8909783501495,129822.62442570552,4.0
25,60,450,"Up/Down (25%, 60%-450%)",96668.14978093223,-42.58966338744849,2269.756135462228,96768.14978093223,4.1
25,60,500,"Up/Down (25%, 60%-500%)",96668.14978093223,-42.58966338744849,2269.756135462228,96768.14978093223,4.1
30,50,400,"Up/Down (30%, 50%-400%)",96812.73343623096,-43.49559591846683,2225.8054267771827,96912.73343623096,4.0
30,40,500,"Up/Down (30%, 40%-500%)",95432.82763379198,-43.51448973568774,2193.1275814898095,95532.82763379198,4.599999999999999
25,60,400,"Up/Down (25%, 60%-400%)",92447.81131801337,-42.58966338744849,2170.663113182962,92547.81131801337,4.0
30,40,450,"Up/Down (30%, 40%-450%)",91486.75287101672,-42.55767048665834,2149.712421399979,91586.75287101672,4.5
30,60,350,"Up/Down (30%, 60%-350%)",88253.32674336698,-45.9864012545342,1919.1179204236016,88353.32674336698,3.5
30,40,400,"Up/Down (30%, 40%-400%)",71782.38139233697,-40.8976806353945,1755.1699821875377,71882.38139233697,4.0
25,50,500,"Up/Down (25%, 50%-500%)",67023.77535248855,-39.954707629222526,1677.4938256203868,67123.77535248855,4.0
25,50,400,"Up/Down (25%, 50%-400%)",67023.77535248855,-39.954707629222526,1677.4938256203868,67123.77535248855,4.0
25,50,450,"Up/Down (25%, 50%-450%)",67023.77535248855,-39.954707629222526,1677.4938256203868,67123.77535248855,4.0
25,60,350,"Up/Down (25%, 60%-350%)",70116.83151969388,-42.58966338744849,1646.3344845396891,70216.83151969388,3.5
30,60,300,"Up/Down (30%, 60%-300%)",67435.33359925845,-42.56485571472744,1584.2960693022112,67535.33359925845,3.0
30,30,500,"Up/Down (30%, 30%-500%)",65817.6969144439,-42.55767048665834,1546.5530928220683,65917.6969144439,4.499999999999999
30,30,450,"Up/Down (30%, 30%-450%)",65817.6969144439,-42.55767048665834,1546.5530928220683,65917.6969144439,4.499999999999999
30,50,350,"Up/Down (30%, 50%-350%)",64341.45816070888,-43.49559591846683,1479.2637461806003,64441.45816070887,3.5
30,30,400,"Up/Down (30%, 30%-400%)",51827.230615569206,-38.18837120476542,1357.146926682797,51927.230615569206,4.0
25,50,350,"Up/Down (25%, 50%-350%)",52007.23191783375,-39.954707629222526,1301.654673598365,52107.23191783375,3.5
30,60,250,"Up/Down (30%, 60%-250%)",47428.21917171112,-37.257865309077076,1272.9719960675325,47528.21917171112,2.5
25,40,400,"Up/Down (25%, 40%-400%)",46017.01580781856,-38.155838805767836,1206.0281531764515,46117.01580781856,3.9
25,40,450,"Up/Down (25%, 40%-450%)",46017.01580781856,-38.155838805767836,1206.0281531764515,46117.01580781856,3.9
25,40,500,"Up/Down (25%, 40%-500%)",46017.01580781856,-38.155838805767836,1206.0281531764515,46117.01580781856,3.9
30,50,300,"Up/Down (30%, 50%-300%)",48809.89852596005,-41.13737136903931,1186.5099033210279,48909.89852596005,3.0
30,40,350,"Up/Down (30%, 40%-350%)",48209.92203344054,-40.8976806353945,1178.7935473220389,48309.92203344054,3.5
20,60,400,"Up/Down (20%, 60%-400%)",45813.94322164383,-39.029467993051675,1173.8295594959168,45913.94322164383,3.400000000000001
20,60,450,"Up/Down (20%, 60%-450%)",45813.94322164383,-39.029467993051675,1173.8295594959168,45913.94322164383,3.400000000000001
20,60,350,"Up/Down (20%, 60%-350%)",45813.94322164383,-39.029467993051675,1173.8295594959168,45913.94322164383,3.400000000000001
20,60,500,"Up/Down (20%, 60%-500%)",45813.94322164383,-39.029467993051675,1173.8295594959168,45913.94322164383,3.400000000000001
25,60,300,"Up/Down (25%, 60%-300%)",47086.392154301,-42.58966338744849,1105.5826322444645,47186.392154301,3.0
25,40,350,"Up/Down (25%, 40%-350%)",37530.827681665876,-37.20694613476191,1008.7048677881513,37630.827681665876,3.5
30,50,250,"Up/Down (30%, 50%-250%)",34983.299886510795,-35.47902434420255,986.0276750318035,35083.299886510795,2.5
20,60,300,"Up/Down (20%, 60%-300%)",36903.10254313977,-39.029467993051675,945.5189742711724,37003.10254313977,3.0
30,30,350,"Up/Down (30%, 30%-350%)",35822.77034860832,-38.18837120476542,938.0544186220254,35922.77034860832,3.5
25,60,250,"Up/Down (25%, 60%-250%)",35045.61621048432,-38.49665871502156,910.3547523413862,35145.61621048432,2.5
30,40,300,"Up/Down (30%, 40%-300%)",35079.86609933877,-39.678739808176,884.0972840601755,35179.86609933877,3.0
30,60,200,"Up/Down (30%, 60%-200%)",29935.699117364355,-34.56412839004206,866.0915380116701,30035.69911736436,2.0
20,50,350,"Up/Down (20%, 50%-350%)",31303.341717465155,-36.24392544336574,863.6851923332457,31403.34171746516,3.3000000000000007
20,50,400,"Up/Down (20%, 50%-400%)",31303.341717465155,-36.24392544336574,863.6851923332457,31403.34171746516,3.3000000000000007
20,50,450,"Up/Down (20%, 50%-450%)",31303.341717465155,-36.24392544336574,863.6851923332457,31403.34171746516,3.3000000000000007
20,50,500,"Up/Down (20%, 50%-500%)",31303.341717465155,-36.24392544336574,863.6851923332457,31403.34171746516,3.3000000000000007
25,50,300,"Up/Down (25%, 50%-300%)",34098.6026432061,-39.954707629222526,853.4314143814852,34198.6026432061,3.0
25,30,500,"Up/Down (25%, 30%-500%)",31333.258599822348,-37.13371293893813,843.7954656283921,31433.258599822348,3.8
25,30,450,"Up/Down (25%, 30%-450%)",31333.258599822348,-37.13371293893813,843.7954656283921,31433.258599822348,3.8
25,30,400,"Up/Down (25%, 30%-400%)",31333.258599822348,-37.13371293893813,843.7954656283921,31433.258599822348,3.8
25,30,350,"Up/Down (25%, 30%-350%)",26897.417491383767,-34.34188579179007,783.2248250564618,26997.417491383767,3.5
30,40,250,"Up/Down (30%, 40%-250%)",25616.50604195222,-33.65491167898001,761.1520804540287,25716.50604195222,2.5
20,50,300,"Up/Down (20%, 50%-300%)",26611.63977799326,-36.24392544336574,734.237239825919,26711.639777993256,3.0
25,60,200,"Up/Down (25%, 60%-200%)",23484.562936880968,-33.13967451888129,708.6540009166555,23584.562936880968,2.0
25,50,250,"Up/Down (25%, 50%-250%)",25483.188187317974,-36.84072915590233,691.7123729956159,25583.188187317974,2.5
25,40,300,"Up/Down (25%, 40%-300%)",25347.372396433846,-37.20694613476191,681.2537719335198,25447.372396433846,3.0
30,50,200,"Up/Down (30%, 50%-200%)",22550.24158067683,-34.119705122561335,660.9154885622295,22650.24158067683,2.0
30,30,300,"Up/Down (30%, 30%-300%)",24987.917886211984,-38.18837120476542,654.3331673463416,25087.917886211984,3.0
