entry_idx,exit_idx,entry_price,sl_price,tp_price,entry_atr,swing_sl_dist_pct,flat_atr_1x_dist_pct,flat_atr_15x_dist_pct,flat_atr_2x_dist_pct,pnl_pct,pnl_dollar,exit_reason,total_bars,max_profit_pct,bars_to_max_profit,went_positive,max_drawdown_pct,gave_back_profit
269,426,24992.042857142857,24827.0,25491.883714285716,96.03571428571429,0.6603816186066054,0.38426516325481674,0.5763977448822324,0.7685303265096335,2.0,14.38562148359739,TP,157,2.1255050893341507,157,True,-0.22024152830357754,True
338,432,25043.753571428573,24937.0,25544.628642857144,46.232142857142854,0.42626825537192686,0.18460548545680355,0.2769082281852126,0.36921097091362165,2.0,25.492477809449863,TP,94,2.0164566271230093,94,True,0.0,True
732,798,26270.85,26061.25,26796.267,95.75,0.797842475595569,0.3644724095337608,0.5467086143006412,0.7289448190675216,-0.797842475595569,-7.8705071986248765,SL,66,0.4878030212193418,27,True,-1.2508160185148123,True
800,820,26158.79642857143,25963.75,26681.97235714286,84.76785714285714,0.7456246280444084,0.32405106012550594,0.48607659018825194,0.6481021202509979,-0.7456246280444084,-7.4855944107331345,SL,20,0.0,0,False,-0.8058338201722135,False
912,1034,26022.435714285715,25888.75,26542.88442857143,71.57142857142857,0.5137325181759402,0.2750373921843775,0.4125560882765663,0.5500747843687691,-0.5137325181759402,-7.438034045232097,SL,122,0.9359780475144901,67,True,-0.5848250177525418,True
1059,1071,25779.7,25671.25,26295.294,49.0,0.4206798372362779,0.19007203342164572,0.28510805013246854,0.38014406684329144,-0.4206798372362779,-7.245802357769016,SL,12,0.04286318304712341,4,True,-0.4526817612307386,True
1116,1184,25371.242857142857,25296.0,25878.667714285715,66.28571428571429,0.29656748613587863,0.26126317366061597,0.3918947604909311,0.5225263473212319,2.0,35.18465715046232,TP,68,2.0052511645637043,68,True,0.0,True
1271,1296,25337.92142857143,25225.5,25844.67985714286,117.89285714285714,0.44368844101261434,0.46528227453543564,0.6979234118031463,0.9305645490708571,-0.44368844101261434,-8.885427563104576,SL,25,0.39694878568514436,4,True,-0.5403814553510888,True
1362,1378,24843.139285714286,24756.75,25340.00207142857,106.80357142857143,0.34773900641438865,0.4299117361950646,0.6448676042925969,0.8598234723901147,2.0,37.1918361009305,TP,16,2.025149513109326,16,True,0.0,True
1662,1714,25648.7,25488.75,26161.674000000003,56.5,0.6236183510275403,0.22028406897815483,0.3304261034672322,0.44056813795630967,-0.6236183510275403,-10.056167301483882,SL,52,0.2838350481700799,23,True,-0.8331806290377318,True
1743,1770,25148.95357142857,25002.5,25651.932642857144,85.23214285714286,0.5823445934345136,0.3389093013952379,0.508363952092864,0.6778186027904902,-0.5823445934345136,-9.565512479524076,SL,27,0.04292993162027787,18,True,-0.6151491392640972,True
