strategy,step,floor,ceiling,return,max_dd,return_dd,final_equity,floor_pct,ceiling_pct,max_exposure,max_positions
"Baseline (25% per strategy, no scaling)",0,25.0,25.0,205.91418609644126,-10.368029185699296,19.860494449654936,305.91418609644126,,,,
"Up/Down (25%, 70%-500%) [18%-125% per strategy]",25,,,180.13915065533524,-9.833669212813843,18.31860994679417,280.13915065533524,17.5,125.0,151.25000000000003,6.0
"Up/Down (25%, 70%-450%) [18%-112% per strategy]",25,,,180.13915065533524,-9.833669212813843,18.31860994679417,280.13915065533524,17.5,112.5,151.25000000000003,6.0
"Up/Down (25%, 70%-400%) [18%-100% per strategy]",25,,,180.13915065533524,-9.833669212813843,18.31860994679417,280.13915065533524,17.5,100.0,151.25000000000003,6.0
"Up/Down (25%, 70%-350%) [18%-88% per strategy]",25,,,180.13915065533524,-9.833669212813843,18.31860994679417,280.13915065533524,17.5,87.5,151.25000000000003,6.0
"Up/Down (25%, 70%-250%) [18%-62% per strategy]",25,,,180.13915065533524,-9.833669212813843,18.31860994679417,280.13915065533524,17.5,62.5,151.25000000000003,6.0
"Up/Down (25%, 70%-300%) [18%-75% per strategy]",25,,,180.13915065533524,-9.833669212813843,18.31860994679417,280.13915065533524,17.5,75.0,151.25000000000003,6.0
"Up/Down (25%, 70%-200%) [18%-50% per strategy]",25,,,179.11480966955696,-9.833669212813843,18.214443235100887,279.11480966955696,17.5,50.0,150.0,6.0
"Up/Down (30%, 70%-500%) [18%-125% per strategy]",30,,,190.71724200425348,-10.493477213584008,18.174837389208445,290.7172420042535,17.5,125.0,167.5,6.0
"Up/Down (30%, 70%-350%) [18%-88% per strategy]",30,,,190.71724200425348,-10.493477213584008,18.174837389208445,290.7172420042535,17.5,87.5,167.5,6.0
"Up/Down (30%, 70%-400%) [18%-100% per strategy]",30,,,190.71724200425348,-10.493477213584008,18.174837389208445,290.7172420042535,17.5,100.0,167.5,6.0
"Up/Down (30%, 70%-450%) [18%-112% per strategy]",30,,,190.71724200425348,-10.493477213584008,18.174837389208445,290.7172420042535,17.5,112.5,167.5,6.0
"Up/Down (30%, 70%-300%) [18%-75% per strategy]",30,,,190.71724200425348,-10.493477213584008,18.174837389208445,290.7172420042535,17.5,75.0,167.5,6.0
"Up/Down (30%, 70%-250%) [18%-62% per strategy]",30,,,190.68511467783702,-10.493477213584008,18.171775741885778,290.685114677837,17.5,62.5,162.5,6.0
"Up/Down (20%, 70%-400%) [18%-100% per strategy]",20,,,169.70399711131364,-9.341022894382398,18.167603166177017,269.70399711131364,17.5,100.0,137.49999999999997,6.0
"Up/Down (20%, 70%-500%) [18%-125% per strategy]",20,,,169.70399711131364,-9.341022894382398,18.167603166177017,269.70399711131364,17.5,125.0,137.49999999999997,6.0
"Up/Down (20%, 70%-450%) [18%-112% per strategy]",20,,,169.70399711131364,-9.341022894382398,18.167603166177017,269.70399711131364,17.5,112.5,137.49999999999997,6.0
"Up/Down (20%, 70%-350%) [18%-88% per strategy]",20,,,169.70399711131364,-9.341022894382398,18.167603166177017,269.70399711131364,17.5,87.5,137.49999999999997,6.0
"Up/Down (20%, 70%-300%) [18%-75% per strategy]",20,,,169.70399711131364,-9.341022894382398,18.167603166177017,269.70399711131364,17.5,75.0,137.49999999999997,6.0
"Up/Down (20%, 70%-250%) [18%-62% per strategy]",20,,,169.70399711131364,-9.341022894382398,18.167603166177017,269.70399711131364,17.5,62.5,137.49999999999997,6.0
"Up/Down (20%, 70%-200%) [18%-50% per strategy]",20,,,169.65548836732358,-9.341022894382398,18.16241007923798,269.6554883673236,17.5,50.0,137.49999999999997,6.0
"Up/Down (10%, 70%-250%) [18%-62% per strategy]",10,,,151.38358064094425,-8.349693069794974,18.130436577192828,251.38358064094425,17.5,62.5,120.0,6.0
"Up/Down (10%, 70%-300%) [18%-75% per strategy]",10,,,151.38358064094425,-8.349693069794974,18.130436577192828,251.38358064094425,17.5,75.0,120.0,6.0
"Up/Down (10%, 70%-200%) [18%-50% per strategy]",10,,,151.38358064094425,-8.349693069794974,18.130436577192828,251.38358064094425,17.5,50.0,120.0,6.0
"Up/Down (10%, 70%-450%) [18%-112% per strategy]",10,,,151.38358064094425,-8.349693069794974,18.130436577192828,251.38358064094425,17.5,112.5,120.0,6.0
"Up/Down (10%, 70%-350%) [18%-88% per strategy]",10,,,151.38358064094425,-8.349693069794974,18.130436577192828,251.38358064094425,17.5,87.5,120.0,6.0
"Up/Down (10%, 70%-500%) [18%-125% per strategy]",10,,,151.38358064094425,-8.349693069794974,18.130436577192828,251.38358064094425,17.5,125.0,120.0,6.0
"Up/Down (10%, 70%-400%) [18%-100% per strategy]",10,,,151.38358064094425,-8.349693069794974,18.130436577192828,251.38358064094425,17.5,100.0,120.0,6.0
"Up/Down (15%, 70%-500%) [18%-125% per strategy]",15,,,159.42189798705647,-8.84636612525138,18.021173409497145,259.42189798705647,17.5,125.0,127.49999999999999,6.0
"Up/Down (15%, 70%-300%) [18%-75% per strategy]",15,,,159.42189798705647,-8.84636612525138,18.021173409497145,259.42189798705647,17.5,75.0,127.49999999999999,6.0
"Up/Down (15%, 70%-200%) [18%-50% per strategy]",15,,,159.42189798705647,-8.84636612525138,18.021173409497145,259.42189798705647,17.5,50.0,127.49999999999999,6.0
"Up/Down (15%, 70%-450%) [18%-112% per strategy]",15,,,159.42189798705647,-8.84636612525138,18.021173409497145,259.42189798705647,17.5,112.5,127.49999999999999,6.0
"Up/Down (15%, 70%-250%) [18%-62% per strategy]",15,,,159.42189798705647,-8.84636612525138,18.021173409497145,259.42189798705647,17.5,62.5,127.49999999999999,6.0
"Up/Down (15%, 70%-350%) [18%-88% per strategy]",15,,,159.42189798705647,-8.84636612525138,18.021173409497145,259.42189798705647,17.5,87.5,127.49999999999999,6.0
"Up/Down (15%, 70%-400%) [18%-100% per strategy]",15,,,159.42189798705647,-8.84636612525138,18.021173409497145,259.42189798705647,17.5,100.0,127.49999999999999,6.0
"Up/Down (30%, 70%-200%) [18%-50% per strategy]",30,,,185.58090251497822,-10.493477213584008,17.685358126545523,285.5809025149782,17.5,50.0,162.5,6.0
"Up/Down (15%, 60%-350%) [15%-88% per strategy]",15,,,137.71425051118243,-7.887369578011537,17.460098598029838,237.71425051118243,15.0,87.5,112.5,6.0
"Up/Down (15%, 60%-450%) [15%-112% per strategy]",15,,,137.71425051118243,-7.887369578011537,17.460098598029838,237.71425051118243,15.0,112.5,112.5,6.0
"Up/Down (15%, 60%-500%) [15%-125% per strategy]",15,,,137.71425051118243,-7.887369578011537,17.460098598029838,237.71425051118243,15.0,125.0,112.5,6.0
"Up/Down (15%, 60%-200%) [15%-50% per strategy]",15,,,137.71425051118243,-7.887369578011537,17.460098598029838,237.71425051118243,15.0,50.0,112.5,6.0
"Up/Down (15%, 60%-250%) [15%-62% per strategy]",15,,,137.71425051118243,-7.887369578011537,17.460098598029838,237.71425051118243,15.0,62.5,112.5,6.0
"Up/Down (15%, 60%-300%) [15%-75% per strategy]",15,,,137.71425051118243,-7.887369578011537,17.460098598029838,237.71425051118243,15.0,75.0,112.5,6.0
"Up/Down (15%, 60%-400%) [15%-100% per strategy]",15,,,137.71425051118243,-7.887369578011537,17.460098598029838,237.71425051118243,15.0,100.0,112.5,6.0
"Up/Down (10%, 60%-450%) [15%-112% per strategy]",10,,,129.88381888015326,-7.4951778298561385,17.328984292110682,229.88381888015326,15.0,112.5,104.99999999999999,6.0
"Up/Down (10%, 60%-500%) [15%-125% per strategy]",10,,,129.88381888015326,-7.4951778298561385,17.328984292110682,229.88381888015326,15.0,125.0,104.99999999999999,6.0
"Up/Down (10%, 60%-250%) [15%-62% per strategy]",10,,,129.88381888015326,-7.4951778298561385,17.328984292110682,229.88381888015326,15.0,62.5,104.99999999999999,6.0
"Up/Down (10%, 60%-350%) [15%-88% per strategy]",10,,,129.88381888015326,-7.4951778298561385,17.328984292110682,229.88381888015326,15.0,87.5,104.99999999999999,6.0
"Up/Down (10%, 60%-300%) [15%-75% per strategy]",10,,,129.88381888015326,-7.4951778298561385,17.328984292110682,229.88381888015326,15.0,75.0,104.99999999999999,6.0
"Up/Down (10%, 60%-400%) [15%-100% per strategy]",10,,,129.88381888015326,-7.4951778298561385,17.328984292110682,229.88381888015326,15.0,100.0,104.99999999999999,6.0
"Up/Down (10%, 60%-200%) [15%-50% per strategy]",10,,,129.88381888015326,-7.4951778298561385,17.328984292110682,229.88381888015326,15.0,50.0,104.99999999999999,6.0
"Up/Down (20%, 60%-200%) [15%-50% per strategy]",20,,,145.26235318667534,-8.592251766850644,16.906203068572207,245.26235318667534,15.0,50.0,125.0,6.0
"Up/Down (20%, 60%-500%) [15%-125% per strategy]",20,,,145.26235318667534,-8.592251766850644,16.906203068572207,245.26235318667534,15.0,125.0,125.0,6.0
"Up/Down (20%, 60%-250%) [15%-62% per strategy]",20,,,145.26235318667534,-8.592251766850644,16.906203068572207,245.26235318667534,15.0,62.5,125.0,6.0
"Up/Down (20%, 60%-300%) [15%-75% per strategy]",20,,,145.26235318667534,-8.592251766850644,16.906203068572207,245.26235318667534,15.0,75.0,125.0,6.0
"Up/Down (20%, 60%-350%) [15%-88% per strategy]",20,,,145.26235318667534,-8.592251766850644,16.906203068572207,245.26235318667534,15.0,87.5,125.0,6.0
"Up/Down (20%, 60%-450%) [15%-112% per strategy]",20,,,145.26235318667534,-8.592251766850644,16.906203068572207,245.26235318667534,15.0,112.5,125.0,6.0
"Up/Down (20%, 60%-400%) [15%-100% per strategy]",20,,,145.26235318667534,-8.592251766850644,16.906203068572207,245.26235318667534,15.0,100.0,125.0,6.0
"Up/Down (25%, 60%-450%) [15%-112% per strategy]",25,,,154.94218849169098,-9.29309883303165,16.672822626286955,254.94218849169098,15.0,112.5,141.25,6.0
"Up/Down (25%, 60%-250%) [15%-62% per strategy]",25,,,154.94218849169098,-9.29309883303165,16.672822626286955,254.94218849169098,15.0,62.5,141.25,6.0
"Up/Down (25%, 60%-400%) [15%-100% per strategy]",25,,,154.94218849169098,-9.29309883303165,16.672822626286955,254.94218849169098,15.0,100.0,141.25,6.0
"Up/Down (25%, 60%-500%) [15%-125% per strategy]",25,,,154.94218849169098,-9.29309883303165,16.672822626286955,254.94218849169098,15.0,125.0,141.25,6.0
