category,section,method,path
Spot,interface,POST,/openApi/spot/v1/trade/batchOrders
USDT-M Perp Futures,interface,POST,/openApi/swap/v2/trade/order
USDT-M Perp Futures,interface,GET,/openApi/swap/v1/trade/positionHistory
Standard Futures,interface,GET,/openApi/cswap/v1/trade/marginType
Standard Futures,interface,POST,/openApi/cswap/v1/trade/positionMargin
Standard Futures,interface,POST,/openApi/cswap/v1/trade/order
USDT-M Perp Futures,interface,GET,/openApi/swap/v2/trade/openOrders
USDT-M Perp Futures,interface,GET,/openApi/api/v3/capital/withdraw/history
USDT-M Perp Futures,interface,GET,/openApi/api/v3/capital/deposit/hisrec
Spot,interface,GET,/openApi/spot/v1/trade/myTrades
USDT-M Perp Futures,interface,GET,/openApi/swap/v1/market/historicalTrades
USDT-M Perp Futures,interface,,/openApi/swap/v2/trade/allOpenOrders
USDT-M Perp Futures,interface,,/openApi/swap/v1/twap/order
USDT-M Perp Futures,interface,,/openApi/swap/v1/twap/openOrders
USDT-M Perp Futures,interface,,/openApi/swap/v1/twap/historyOrders
USDT-M Perp Futures,interface,,/openApi/swap/v1/twap/orderDetail
USDT-M Perp Futures,interface,,/openApi/swap/v1/twap/cancelOrder
USDT-M Perp Futures,interface,,/openApi/swap/v2/trade/allOrders
USDT-M Perp Futures,interface,,/openApi/swap/v1/trade/fullOrder
USDT-M Perp Futures,interface,,/openApi/swap/v1/positionMargin/history
USDT-M Perp Futures,interface,,/openApi/swap/v2/trade/forceOrders
USDT-M Perp Futures,interface,,/openApi/swap/v2/trade/allFillOrders
USDT-M Perp Futures,interface,,/openApi/swap/v2/trade/fillHistory
USDT-M Perp Futures,interface,,/openApi/swap/v3/user/balance
USDT-M Perp Futures,interface,,/openApi/swap/v2/user/positions
Spot,interface,,/openApi/spot/v1/common/symbols
USDT-M Perp Futures,interface,,/openApi/swap/v2/quote/contracts
USDT-M Perp Futures,interface,GET,/api/v3/capital/withdraw/history
USDT-M Perp Futures,interface,GET,/api/v3/capital/deposit/hisrec
Spot,interface,,/openApi/spot/v1/trade/cancelOpenOrders
Spot,interface,,/openApi/spot/v1/user/commissionRate
