open,close,high,low,volume,time,timestamp
0.13535,0.13541,0.13585,0.13535,2181719,1764633600000,2025-12-02 00:00:00
0.13539,0.13510,0.13554,0.13484,3892075,1764634500000,2025-12-02 00:15:00
0.13513,0.13525,0.13570,0.13510,2437900,1764635400000,2025-12-02 00:30:00
0.13525,0.13554,0.13584,0.13518,1940284,1764636300000,2025-12-02 00:45:00
0.13554,0.13605,0.13725,0.13538,10195384,1764637200000,2025-12-02 01:00:00
0.13603,0.13584,0.13619,0.13557,3001745,1764638100000,2025-12-02 01:15:00
0.13584,0.13578,0.13609,0.13551,2323314,1764639000000,2025-12-02 01:30:00
0.13576,0.13571,0.13587,0.13556,1970411,1764639900000,2025-12-02 01:45:00
0.13569,0.13596,0.13602,0.13532,3102943,1764640800000,2025-12-02 02:00:00
0.13596,0.13626,0.13643,0.13596,2050460,1764641700000,2025-12-02 02:15:00
0.13626,0.13606,0.13631,0.13577,1865989,1764642600000,2025-12-02 02:30:00
0.13604,0.13562,0.13617,0.13559,2032086,1764643500000,2025-12-02 02:45:00
0.13564,0.13588,0.13588,0.13548,2718186,1764644400000,2025-12-02 03:00:00
0.13586,0.13528,0.13588,0.13514,2589482,1764645300000,2025-12-02 03:15:00
0.13528,0.13631,0.13633,0.13500,3946629,1764646200000,2025-12-02 03:30:00
0.13635,0.13624,0.13657,0.13604,3676579,1764647100000,2025-12-02 03:45:00
0.13624,0.13625,0.13667,0.13619,2326125,1764648000000,2025-12-02 04:00:00
0.13617,0.13614,0.13633,0.13600,1564977,1764648900000,2025-12-02 04:15:00
0.13612,0.13617,0.13632,0.13600,1149233,1764649800000,2025-12-02 04:30:00
0.13617,0.13592,0.13622,0.13586,1540070,1764650700000,2025-12-02 04:45:00
0.13590,0.13594,0.13621,0.13563,2678276,1764651600000,2025-12-02 05:00:00
0.13594,0.13580,0.13615,0.13575,1630206,1764652500000,2025-12-02 05:15:00
0.13580,0.13569,0.13583,0.13558,1337386,1764653400000,2025-12-02 05:30:00
0.13576,0.13582,0.13598,0.13568,1164620,1764654300000,2025-12-02 05:45:00
0.13580,0.13570,0.13582,0.13550,994987,1764655200000,2025-12-02 06:00:00
0.13569,0.13570,0.13589,0.13550,1884812,1764656100000,2025-12-02 06:15:00
0.13572,0.13603,0.13617,0.13570,2112668,1764657000000,2025-12-02 06:30:00
0.13603,0.13609,0.13617,0.13600,1476902,1764657900000,2025-12-02 06:45:00
0.13607,0.13577,0.13612,0.13572,1731658,1764658800000,2025-12-02 07:00:00
0.13574,0.13542,0.13574,0.13539,2584082,1764659700000,2025-12-02 07:15:00
0.13544,0.13558,0.13563,0.13533,1735498,1764660600000,2025-12-02 07:30:00
0.13558,0.13554,0.13563,0.13542,2025522,1764661500000,2025-12-02 07:45:00
0.13554,0.13509,0.13559,0.13494,3963336,1764662400000,2025-12-02 08:00:00
0.13507,0.13465,0.13517,0.13461,7984792,1764663300000,2025-12-02 08:15:00
0.13465,0.13478,0.13492,0.13436,6311620,1764664200000,2025-12-02 08:30:00
0.13478,0.13461,0.13520,0.13449,2910409,1764665100000,2025-12-02 08:45:00
0.13461,0.13527,0.13558,0.13459,3358783,1764666000000,2025-12-02 09:00:00
0.13527,0.13582,0.13591,0.13516,4059014,1764666900000,2025-12-02 09:15:00
0.13582,0.13558,0.13584,0.13553,2341336,1764667800000,2025-12-02 09:30:00
0.13556,0.13549,0.13578,0.13549,1925923,1764668700000,2025-12-02 09:45:00
0.13549,0.13590,0.13616,0.13542,3654387,1764669600000,2025-12-02 10:00:00
0.13588,0.13575,0.13597,0.13572,1487994,1764670500000,2025-12-02 10:15:00
0.13575,0.13625,0.13627,0.13573,2457562,1764671400000,2025-12-02 10:30:00
0.13625,0.13659,0.13717,0.13621,10855783,1764672300000,2025-12-02 10:45:00
0.13659,0.13629,0.13674,0.13614,5137661,1764673200000,2025-12-02 11:00:00
0.13629,0.13688,0.13688,0.13610,2952265,1764674100000,2025-12-02 11:15:00
0.13688,0.13689,0.13709,0.13670,4057519,1764675000000,2025-12-02 11:30:00
0.13689,0.13691,0.13719,0.13686,3245114,1764675900000,2025-12-02 11:45:00
0.13689,0.13709,0.13723,0.13677,4725853,1764676800000,2025-12-02 12:00:00
0.13709,0.13717,0.13744,0.13703,5676357,1764677700000,2025-12-02 12:15:00
0.13719,0.13714,0.13744,0.13697,5068002,1764678600000,2025-12-02 12:30:00
