name,type,leverage,trades,win_rate,total_return,max_dd,profit_dd
BB_T3_W2.0_SL2.0_TP4.0_LEV20,BB,20,2414,33.5,-100.0,100.0,1.0
BB_T3_W1.5_SL2.5_TP5.0_LEV20,BB,20,1447,32.9,-100.0,100.0,1.0
BB_T3_W1.5_SL2.0_TP4.0_LEV20,BB,20,2390,33.9,-100.0,100.0,1.0
BB_T1_W2.0_SL2.5_TP5.0_LEV20,BB,20,1449,33.5,-100.0,100.0,1.0
BB_T1_W2.0_SL2.0_TP4.0_LEV20,BB,20,2272,34.4,-100.0,100.0,1.0
BB_T3_W2.0_SL2.5_TP5.0_LEV20,BB,20,1460,33.3,-100.0,100.0,1.0
COMBO_OS30_OB70_T3_W2.0_SL2.5_TP6.0_LEV20,COMBO,20,1100,29.2,-100.0,100.0,1.0
RSI_OS30_OB75_SL2.5_TP5.0_LEV20,RSI,20,1252,32.2,-100.0,100.0,1.0
BB_T2_W2.0_SL2.0_TP4.0_LEV20,BB,20,2367,34.3,-100.0,100.0,1.0
COMBO_OS30_OB70_T3_W2.0_SL2.5_TP5.0_LEV20,COMBO,20,1339,33.1,-100.0,100.0,1.0
RSI_OS30_OB70_SL2.5_TP6.0_LEV20,RSI,20,1107,29.7,-100.0,100.0,1.0
BB_T1_W2.0_SL2.0_TP5.0_LEV20,BB,20,1773,29.6,-100.0,100.0,1.0
BB_T3_W2.0_SL2.0_TP5.0_LEV20,BB,20,1842,29.6,-100.0,100.0,1.0
BB_T3_W2.0_SL2.0_TP4.0_LEV15,BB,15,2414,33.5,-99.99,100.0,1.0
RSI_OS30_OB70_SL2.0_TP4.0_LEV20,RSI,20,1982,33.7,-99.99,100.0,1.0
BB_T2_W2.0_SL2.5_TP5.0_LEV20,BB,20,1481,33.4,-99.99,100.0,1.0
BB_T3_W1.5_SL2.0_TP5.0_LEV20,BB,20,1822,29.6,-99.99,100.0,1.0
RSI_OS30_OB75_SL2.0_TP5.0_LEV20,RSI,20,1528,28.7,-99.99,100.0,1.0
COMBO_OS30_OB70_T2_W2.0_SL2.5_TP6.0_LEV20,COMBO,20,1111,30.0,-99.99,100.0,1.0
COMBO_OS30_OB70_T2_W2.0_SL2.5_TP5.0_LEV20,COMBO,20,1348,33.5,-99.99,100.0,1.0
