month,baseline,threshold,trades,signals_total,signals_filtered,filter_rate,winners,losers,win_rate,tp_rate,total_return,max_dd,final_equity,category
June,20,1.2,2,16,14,87.5,1.0,1.0,50.0,50.0,12.893711701867261,-12.8052387060792,112.89371170186726,LOSER
July,20,1.2,9,50,40,80.0,2.0,7.0,22.22222222222222,22.22222222222222,-34.597770647452535,-49.23681406537804,65.40222935254747,LOSER
August,20,1.2,7,50,43,86.0,1.0,6.0,14.285714285714285,14.285714285714285,-43.47224660318259,-49.944757220400376,56.52775339681741,LOSER
September,20,1.2,7,24,17,70.83333333333334,1.0,6.0,14.285714285714285,14.285714285714285,-44.08292059923531,-44.08292059923531,55.91707940076469,LOSER
October,20,1.2,5,13,7,53.84615384615385,2.0,3.0,40.0,40.0,11.921279216507244,-23.977863775820154,111.92127921650724,WINNER
November,20,1.2,14,34,18,52.94117647058824,4.0,10.0,28.57142857142857,28.57142857142857,-26.580117276751636,-42.570841276524455,73.41988272324836,WINNER
December,20,1.2,6,11,5,45.45454545454545,5.0,1.0,83.33333333333334,83.33333333333334,201.25012676869378,-14.267429548563596,301.2501267686938,WINNER
June,20,1.3,2,16,14,87.5,1.0,1.0,50.0,50.0,12.893711701867261,-12.8052387060792,112.89371170186726,LOSER
July,20,1.3,4,52,48,92.3076923076923,1.0,3.0,25.0,25.0,-13.009704965799529,-23.39027703125295,86.99029503420047,LOSER
August,20,1.3,4,53,49,92.45283018867924,1.0,3.0,25.0,25.0,-14.20062181411113,-24.024776373384938,85.79937818588887,LOSER
September,20,1.3,3,24,21,87.5,0.0,3.0,0.0,0.0,-33.91918245547686,-33.91918245547686,66.08081754452314,LOSER
October,20,1.3,1,16,14,87.5,0.0,1.0,0.0,0.0,-12.330044376614225,-12.330044376614225,87.66995562338577,WINNER
November,20,1.3,12,34,20,58.82352941176471,2.0,10.0,16.666666666666664,16.666666666666664,-56.09901546772099,-56.09901546772099,43.90098453227901,WINNER
December,20,1.3,5,11,6,54.54545454545454,4.0,1.0,80.0,80.0,137.32376050643887,-14.267429548563584,237.32376050643887,WINNER
June,20,1.5,0,18,18,100.0,,,,,0.0,0.0,100.0,LOSER
July,20,1.5,2,53,51,96.22641509433963,0.0,2.0,0.0,0.0,-23.39027703125295,-23.39027703125295,76.60972296874705,LOSER
August,20,1.5,1,56,55,98.21428571428571,0.0,1.0,0.0,0.0,-12.425852581619438,-12.425852581619438,87.57414741838056,LOSER
September,20,1.5,0,24,24,100.0,,,,,0.0,0.0,100.0,LOSER
October,20,1.5,0,16,15,93.75,,,,,0.0,0.0,100.0,WINNER
November,20,1.5,6,35,28,80.0,1.0,5.0,16.666666666666664,16.666666666666664,-34.09470140158794,-34.09470140158794,65.90529859841206,WINNER
December,20,1.5,3,11,8,72.72727272727273,3.0,0.0,100.0,100.0,116.1217406456762,0.0,216.1217406456762,WINNER
June,20,1.7,0,18,18,100.0,,,,,0.0,0.0,100.0,LOSER
July,20,1.7,0,53,53,100.0,,,,,0.0,0.0,100.0,LOSER
August,20,1.7,1,56,55,98.21428571428571,0.0,1.0,0.0,0.0,-12.425852581619438,-12.425852581619438,87.57414741838056,LOSER
September,20,1.7,0,24,24,100.0,,,,,0.0,0.0,100.0,LOSER
October,20,1.7,0,16,15,93.75,,,,,0.0,0.0,100.0,WINNER
November,20,1.7,4,36,31,86.11111111111111,0.0,4.0,0.0,0.0,-41.41302341862998,-41.41302341862998,58.58697658137002,WINNER
December,20,1.7,3,11,8,72.72727272727273,3.0,0.0,100.0,100.0,116.1217406456762,0.0,216.1217406456762,WINNER
June,20,2.0,0,18,18,100.0,,,,,0.0,0.0,100.0,LOSER
July,20,2.0,0,53,53,100.0,,,,,0.0,0.0,100.0,LOSER
August,20,2.0,0,56,56,100.0,,,,,0.0,0.0,100.0,LOSER
September,20,2.0,0,24,24,100.0,,,,,0.0,0.0,100.0,LOSER
October,20,2.0,0,25,25,100.0,,,,,0.0,0.0,100.0,WINNER
