timestamp,open,high,low,close,volume
,0.3767,0.378,0.3759,0.3777,48409.523
,0.3777,0.3828,0.3777,0.3816,216655.399
,0.3816,0.3816,0.3791,0.3796,384312.054
,0.3797,0.3803,0.3781,0.3781,370730.021
,0.3781,0.3789,0.3779,0.3784,24132.618
,0.3784,0.3803,0.3779,0.3798,27021.713
,0.3798,0.3804,0.3792,0.3793,71618.628
,0.3793,0.3795,0.3785,0.3787,73324.191
,0.3789,0.3794,0.3784,0.3791,53385.536
,0.3791,0.3799,0.3786,0.3792,34010.631
,0.379,0.3794,0.3785,0.379,161597.759
,0.379,0.3792,0.3769,0.3772,99555.288
,0.3772,0.3772,0.3759,0.3766,67968.033
,0.3768,0.3768,0.3748,0.3753,93165.901
,0.3753,0.3763,0.375,0.3757,30914.936
,0.3758,0.3758,0.3747,0.3753,73602.561
,0.3755,0.3757,0.3748,0.3751,51702.412
,0.3751,0.3756,0.3748,0.3756,47455.175
,0.3754,0.378,0.3754,0.3776,41542.441
,0.3778,0.3804,0.3776,0.3799,36970.053
,0.3801,0.3809,0.3794,0.3808,72499.044
,0.3808,0.3816,0.3797,0.3799,140351.067
,0.3799,0.3808,0.3791,0.3793,42234.726
,0.3791,0.3795,0.3785,0.3787,47539.514
,0.3787,0.3797,0.3787,0.3791,37905.369
,0.3793,0.3797,0.3786,0.3797,25437.593
,0.3797,0.3806,0.3787,0.3803,32236.968
,0.3806,0.3812,0.3801,0.3812,43431.661
,0.3811,0.3839,0.3811,0.3836,95725.578
,0.3838,0.385,0.383,0.3839,161349.883
,0.3837,0.3842,0.383,0.3833,157283.469
,0.3833,0.3849,0.3824,0.3849,112863.653
,0.3847,0.3857,0.3834,0.3836,120443.479
,0.3834,0.3836,0.3818,0.3823,50015.054
,0.3821,0.3824,0.3814,0.3816,46749.792
,0.3818,0.382,0.3812,0.3814,37131.029
,0.3814,0.3815,0.3778,0.378,82300.755
,0.3782,0.3792,0.3777,0.3786,208339.351
,0.3788,0.3792,0.3765,0.3768,130843.58
,0.3768,0.3775,0.3754,0.3757,64212.837
,0.3755,0.3761,0.3751,0.3757,185510.895
,0.3758,0.3758,0.3743,0.375,117218.624
,0.3751,0.3771,0.375,0.3768,44338.929
,0.3768,0.3772,0.3761,0.3766,78812.727
,0.3766,0.3774,0.3762,0.3765,53823.898
,0.3765,0.3767,0.3756,0.3762,64974.86
,0.3762,0.3775,0.3752,0.3772,97123.449
,0.3775,0.3775,0.3761,0.3767,249101.83
,0.3767,0.3767,0.375,0.3754,66326.076
,0.3755,0.3755,0.3737,0.3737,79640.585
,0.3737,0.3748,0.3735,0.3747,61809.445
,0.3747,0.3747,0.3735,0.374,94266.966
,0.374,0.3749,0.3732,0.3749,29652.612
,0.3747,0.3749,0.3744,0.3745,94882.239
,0.3745,0.3753,0.3741,0.375,59886.609
,0.3752,0.3757,0.3749,0.3756,27925.319
,0.3756,0.3765,0.3754,0.3763,53919.934
,0.3763,0.3773,0.376,0.3765,22751.517
,0.3763,0.3769,0.3753,0.3754,36334.917
,0.3754,0.3756,0.3729,0.3731,157650.364
,0.3729,0.3731,0.3705,0.3719,286364.511
,0.3719,0.3726,0.3714,0.3716,208759.254
,0.3718,0.3729,0.3715,0.3724,227235.349
,0.3724,0.3724,0.3692,0.3693,507456.757
,0.3695,0.3704,0.369,0.37,201606.623
,0.37,0.3706,0.3697,0.3702,47637.907
,0.37,0.3702,0.3683,0.3689,96677.814
,0.3687,0.3713,0.3674,0.3706,209389.542
,0.3706,0.3706,0.3676,0.368,793542.899
,0.3678,0.3686,0.3618,0.3645,712310.739
,0.3643,0.3645,0.3625,0.3628,246848.65
,0.363,0.3657,0.3628,0.3657,242694.946
,0.3657,0.3659,0.3641,0.3649,196351.416
,0.3648,0.3668,0.3646,0.3666,253935.117
,0.3668,0.3671,0.3639,0.3652,175418.914
,0.3652,0.3652,0.3634,0.3636,308020.671
,0.3634,0.3646,0.3625,0.3628,166606.005
,0.3628,0.3628,0.3608,0.3619,261653.094
,0.3616,0.3646,0.3614,0.3637,373964.995
,0.3639,0.3645,0.3629,0.3635,344811.375
,0.3635,0.3639,0.3632,0.3636,136112.807
,0.3636,0.3646,0.3633,0.3638,125019.122
,0.3636,0.3662,0.3634,0.3656,147721.149
,0.3654,0.3663,0.3649,0.366,296154.652
,0.3659,0.3678,0.3659,0.3675,213282.969
,0.3674,0.3675,0.3666,0.367,90813.005
,0.3672,0.3689,0.3662,0.3685,58091.099
,0.3683,0.3697,0.3681,0.369,348187.303
,0.3692,0.3715,0.3689,0.3711,132254.081
,0.3711,0.3733,0.371,0.3725,140606.95
,0.3725,0.373,0.3711,0.3711,697302.962
,0.3712,0.3753,0.3711,0.375,86666.644
,0.375,0.3786,0.3749,0.3786,251395.799
,0.3783,0.3792,0.3767,0.379,309308.291
,0.3792,0.3811,0.3786,0.3801,342276.034
,0.3803,0.3834,0.3801,0.3816,321019.304
,0.3814,0.3832,0.3806,0.3825,301015.451
,0.3825,0.3833,0.3814,0.3817,269871.605
,0.3819,0.384,0.3809,0.3835,227235.726
,0.3836,0.3872,0.3834,0.3858,290293.684
,0.3858,0.386,0.3845,0.3848,243231.886
,0.3845,0.3868,0.3843,0.3859,165336.61
,0.3862,0.3864,0.3827,0.3839,204892.434
,0.3837,0.3862,0.3831,0.3862,74481.708
,0.3862,0.391,0.3848,0.3891,343596.893
,0.3891,0.3896,0.3882,0.3891,340706.897
,0.3892,0.3892,0.386,0.3863,235717.164
,0.3863,0.3873,0.3855,0.3873,82222.15
,0.3873,0.3894,0.387,0.3892,108394.619
,0.3894,0.391,0.3892,0.3905,204952.414
,0.3905,0.3945,0.3894,0.3928,381284.955
,0.3928,0.3933,0.391,0.3915,776110.743
,0.3915,0.3954,0.3915,0.3945,491107.721
,0.3948,0.3973,0.3934,0.3939,393367.61
,0.394,0.3958,0.3931,0.395,983976.015
,0.3947,0.395,0.393,0.394,114973.577
,0.3942,0.3943,0.3923,0.3927,326780.056
,0.3927,0.3985,0.3906,0.3975,237229.899
,0.3975,0.398,0.3942,0.3953,518958.171
,0.3949,0.3951,0.3927,0.3935,486065.563
,0.3931,0.3936,0.3912,0.3917,160691.837
,0.3917,0.3937,0.3911,0.3932,289580.171
,0.3932,0.3981,0.3932,0.3935,232325.073
,0.3932,0.3943,0.3928,0.3932,352918.801
,0.3933,0.3946,0.392,0.3946,213295.182
,0.3945,0.3973,0.3945,0.3968,213530.555
,0.3968,0.4,0.3959,0.3994,498109.844
,0.3994,0.402,0.3985,0.3999,420980.69
,0.4001,0.401,0.3988,0.4009,298338.945
,0.401,0.4027,0.3953,0.3958,250054.278
,0.3958,0.3972,0.3956,0.3967,861060.973
,0.3965,0.3967,0.3929,0.3941,196018.447
,0.3943,0.3947,0.3932,0.3935,261353.05
,0.3935,0.3939,0.3914,0.3915,416686.332
,0.3917,0.392,0.3876,0.3905,211836.577
,0.3903,0.3922,0.3901,0.3921,688728.071
,0.3923,0.396,0.3923,0.3955,249545.046
,0.3955,0.3962,0.3929,0.3929,82611.802
,0.3933,0.3961,0.3927,0.3954,383232.757
,0.3956,0.3967,0.3951,0.3958,551394.125
,0.3958,0.4,0.3956,0.399,176014.93
,0.3988,0.399,0.3964,0.3967,243191.883
,0.3965,0.3997,0.3965,0.398,239383.326
,0.398,0.3999,0.398,0.399,130862.262
,0.399,0.402,0.3981,0.3988,149324.571
,0.399,0.3999,0.3953,0.3961,192615.849
,0.3961,0.3968,0.395,0.3952,325646.034
,0.3954,0.3966,0.395,0.3958,200648.697
,0.396,0.3984,0.3955,0.3979,192808.412
,0.3979,0.3989,0.3976,0.3983,150224.044
,0.3985,0.3985,0.3958,0.396,171307.667
,0.3958,0.397,0.3957,0.397,36394.377
,0.397,0.397,0.3931,0.3938,96158.999
,0.3938,0.394,0.3909,0.391,325173.398
,0.3912,0.3935,0.3905,0.3924,325013.608
,0.3924,0.3953,0.3919,0.3942,255158.483
,0.3942,0.3944,0.3922,0.3922,63627.612
,0.3922,0.3932,0.3914,0.392,117425.946
,0.3918,0.3924,0.3905,0.3913,149020.12
,0.3913,0.3967,0.3913,0.3965,174735.525
,0.3965,0.3992,0.3958,0.3979,238158.979
,0.3981,0.3987,0.3966,0.3985,377107.781
,0.3985,0.3989,0.396,0.3967,163342.715
,0.3969,0.3976,0.3959,0.3976,48765.177
,0.3974,0.4075,0.3974,0.4068,377526.573
,0.4067,0.4068,0.4041,0.406,648521.276
,0.4062,0.4078,0.4044,0.4067,459301.962
,0.4069,0.4069,0.4,0.4006,258928.076
,0.3999,0.403,0.3986,0.4025,383659.405
,0.4027,0.4038,0.4023,0.403,482608.446
,0.403,0.4033,0.4017,0.4024,114851.45
,0.4024,0.4032,0.4012,0.4016,125809.22
,0.4016,0.4046,0.4015,0.4034,69043.588
,0.4031,0.4043,0.4022,0.4026,194746.889
,0.4028,0.4029,0.4017,0.4022,96501.428
,0.4022,0.4022,0.3998,0.4009,141610.946
,0.4005,0.4011,0.3978,0.3988,177055.334
,0.3986,0.3999,0.3982,0.3995,154959.388
,0.3993,0.4003,0.3983,0.399,153738.302
,0.399,0.4027,0.3988,0.4006,142041.734
,0.4008,0.4025,0.3999,0.4018,248271.839
,0.402,0.4039,0.4009,0.4016,160696.454
,0.4016,0.4026,0.4004,0.4006,167499.382
,0.4006,0.4011,0.3986,0.399,159111.674
,0.399,0.399,0.3968,0.3978,205760.488
,0.3978,0.4004,0.3978,0.3999,246776.968
,0.4001,0.4001,0.3981,0.3983,141076.809
,0.3983,0.3985,0.3954,0.3956,228864.577
,0.3958,0.3968,0.3939,0.3946,75824.262
,0.3946,0.395,0.3928,0.3945,213504.58
,0.3945,0.3949,0.3927,0.393,278527.984
,0.3932,0.395,0.3929,0.3948,79920.125
,0.3948,0.3965,0.3937,0.3962,76140.638
,0.3962,0.3964,0.3947,0.3952,160582.03
,0.3954,0.3957,0.3939,0.3954,183134.399
,0.3952,0.3972,0.3952,0.3956,49407.562
,0.3958,0.3958,0.3927,0.3934,66032.575
,0.3936,0.3936,0.3916,0.3927,241275.815
,0.3924,0.3936,0.3921,0.3922,150627.296
,0.3924,0.3927,0.3913,0.3915,87239.705
,0.3915,0.3924,0.3915,0.3922,55795.371
,0.3922,0.3929,0.3916,0.3919,45621.622
,0.3921,0.3921,0.3891,0.3898,159293.267
,0.3898,0.3909,0.3893,0.3905,346920.334
,0.3905,0.3909,0.3865,0.3865,165423.445
,0.3867,0.3883,0.3859,0.3879,384726.701
,0.3881,0.3886,0.387,0.3871,187091.364
,0.3873,0.3873,0.3856,0.3863,156240.752
,0.3863,0.3875,0.3852,0.3867,166359.063
,0.387,0.3887,0.3868,0.3882,91100.151
,0.3882,0.3892,0.3882,0.389,133964.583
,0.3891,0.3895,0.3879,0.3895,103211.169
,0.3893,0.3913,0.3892,0.3913,56689.908
,0.391,0.3927,0.3906,0.3911,170536.699
,0.3911,0.3918,0.3905,0.3914,146379.896
,0.3916,0.3946,0.3911,0.3933,148449.979
,0.3935,0.3938,0.3895,0.3908,324673.334
,0.3906,0.3912,0.3903,0.3908,176141.739
,0.3908,0.391,0.3889,0.3891,132698.123
,0.3891,0.3894,0.3875,0.3885,40889.276
,0.3885,0.3886,0.3877,0.3882,134077.355
,0.3882,0.3885,0.387,0.3872,119518.503
,0.3872,0.3878,0.3867,0.3869,24780.155
,0.3871,0.3885,0.3844,0.3881,159713.034
,0.3885,0.3888,0.387,0.3875,404530.598
,0.3873,0.3881,0.387,0.3874,490127.865
,0.3872,0.388,0.386,0.3866,125754.584
,0.3866,0.3873,0.3855,0.3859,45675.857
,0.3859,0.3886,0.3859,0.388,101932.05
,0.3879,0.3882,0.3869,0.3879,94630.813
,0.3879,0.3881,0.3857,0.3864,49204.884
,0.3864,0.3864,0.3812,0.3812,605249.805
,0.3814,0.3832,0.3798,0.383,286140.962
,0.3832,0.3834,0.3808,0.3812,289845.057
,0.3814,0.3815,0.3804,0.3814,248891.081
,0.3814,0.383,0.381,0.3817,63189.417
,0.3819,0.384,0.3819,0.3829,174787.825
,0.3827,0.3858,0.3823,0.3844,168017.223
,0.3844,0.387,0.3839,0.387,266300.342
,0.387,0.3881,0.3858,0.3881,28124.451
,0.3881,0.3887,0.3859,0.386,280136.531
,0.386,0.3862,0.3835,0.3859,228005.227
,0.3859,0.387,0.3853,0.3859,68677.383
,0.3859,0.3866,0.3853,0.3856,76640.187
,0.3854,0.3864,0.3852,0.3861,36676.245
,0.3861,0.3866,0.3857,0.3864,52937.598
,0.3864,0.387,0.3855,0.387,170356.928
,0.387,0.3873,0.3854,0.3858,39535.146
,0.3858,0.3861,0.3849,0.3855,24890.766
,0.3857,0.3863,0.3843,0.3847,28020.902
,0.3842,0.3849,0.3836,0.3843,107978.719
,0.3843,0.3853,0.3841,0.3853,83819.211
,0.3853,0.3861,0.3848,0.3851,36251.263
,0.3849,0.3864,0.3849,0.3861,28166.128
,0.3861,0.3873,0.3852,0.3858,108095.532
,0.3856,0.3864,0.385,0.3863,18149.67
,0.3864,0.3869,0.3853,0.3868,41821.313
,0.3867,0.3867,0.3808,0.381,67408.774
,0.381,0.3815,0.3793,0.3795,432272.963
,0.3793,0.3815,0.3791,0.3809,247488.741
,0.3807,0.3817,0.3803,0.3815,152594.515
,0.3817,0.3817,0.38,0.3804,40343.708
,0.3804,0.3811,0.3802,0.3806,51954.34
,0.3806,0.3814,0.3802,0.3806,68956.605
,0.3808,0.3812,0.3804,0.381,19266.537
,0.381,0.3816,0.3808,0.3815,37744.01
,0.3816,0.3835,0.3815,0.3827,24483.792
,0.3825,0.3829,0.3813,0.3821,80425.132
,0.3819,0.3838,0.3819,0.3823,38091.821
,0.3825,0.3835,0.382,0.3834,79029.316
,0.3834,0.3853,0.383,0.3844,42372.189
,0.3844,0.3845,0.3828,0.3829,208584.973
,0.3829,0.3829,0.3812,0.3819,72880.681
,0.3819,0.3831,0.3816,0.3819,35061.131
,0.3821,0.3828,0.3813,0.3817,31131.718
,0.3819,0.3822,0.3807,0.3814,43232.814
