open,close,high,low,volume,time,timestamp
1.0736,1.0728,1.0757,1.0692,148503.808,1748736000000,2025-06-01 00:00:00
1.0728,1.0743,1.0752,1.0685,84180.783,1748736900000,2025-06-01 00:15:00
1.0743,1.0819,1.0835,1.0718,224857.263,1748737800000,2025-06-01 00:30:00
1.0818,1.0806,1.0845,1.0782,98184.508,1748738700000,2025-06-01 00:45:00
1.0806,1.0808,1.0826,1.074,110345.095,1748739600000,2025-06-01 01:00:00
1.0806,1.0822,1.086,1.0776,172366.676,1748740500000,2025-06-01 01:15:00
1.0822,1.0751,1.0834,1.0751,83830.168,1748741400000,2025-06-01 01:30:00
1.0753,1.0747,1.0809,1.0694,147113.044,1748742300000,2025-06-01 01:45:00
1.0749,1.0657,1.0749,1.0626,224386.04,1748743200000,2025-06-01 02:00:00
1.0657,1.0779,1.0782,1.0657,131364.391,1748744100000,2025-06-01 02:15:00
1.0779,1.0878,1.0914,1.0777,182211.657,1748745000000,2025-06-01 02:30:00
1.0877,1.0842,1.0925,1.0835,102219.995,1748745900000,2025-06-01 02:45:00
1.0842,1.0792,1.0859,1.0775,138922.909,1748746800000,2025-06-01 03:00:00
1.0792,1.0739,1.0811,1.069,136793.078,1748747700000,2025-06-01 03:15:00
1.074,1.0774,1.0792,1.0728,167469.739,1748748600000,2025-06-01 03:30:00
1.0775,1.0779,1.0814,1.0771,176958.777,1748749500000,2025-06-01 03:45:00
1.0781,1.0821,1.0824,1.075,108626.696,1748750400000,2025-06-01 04:00:00
1.0822,1.0889,1.0937,1.0811,137033.236,1748751300000,2025-06-01 04:15:00
1.089,1.0984,1.1023,1.0889,213525.999,1748752200000,2025-06-01 04:30:00
1.0983,1.098,1.1049,1.0973,135690.229,1748753100000,2025-06-01 04:45:00
1.0979,1.1011,1.1057,1.0966,92023.74,1748754000000,2025-06-01 05:00:00
1.1009,1.1006,1.1027,1.0977,94196.947,1748754900000,2025-06-01 05:15:00
1.1007,1.1027,1.1114,1.0989,264271.916,1748755800000,2025-06-01 05:30:00
1.1028,1.0964,1.1029,1.095,188732.184,1748756700000,2025-06-01 05:45:00
1.0963,1.0913,1.0965,1.0901,148733.208,1748757600000,2025-06-01 06:00:00
1.0912,1.0901,1.0939,1.0873,211941.105,1748758500000,2025-06-01 06:15:00
1.0902,1.091,1.0985,1.0901,206810.562,1748759400000,2025-06-01 06:30:00
