symbol,listing_date,days_listed,first_price,current_price,change_pct
AIXBT-USDT,2025-01-02,386,0.59708,0.02939,-95.07771152944329
VIRTUAL-USDT,2025-01-02,386,4.7623,0.8375,-82.41395964134976
CGPT-USDT,2025-01-02,386,0.24935,0.03125,-87.46741527972729
FARTCOIN-USDT,2025-01-02,386,1.3552,0.3054,-77.46458087367178
KMNO-USDT,2025-01-02,386,0.15955,0.05,-68.66186148542776
GRIFFAIN-USDT,2025-01-02,386,0.41402,0.01656,-96.00019322738032
BIO-USDT,2025-01-03,385,0.7654,0.05146,-93.27671805591848
COOKIE-USDT,2025-01-07,381,0.6615,0.0291,-95.60090702947845
RSR-USDT,2025-01-15,373,0.013368,0.002308,-82.73488928785159
FET-USDT,2025-01-15,373,1.3031,0.2367,-81.8356227457601
PROM-USDT,2025-01-15,373,8.918,2.233,-74.9607535321821
S-USDT,2025-01-16,372,0.8214,0.0733,-91.07621134648161
SOLV-USDT,2025-01-17,371,0.1503,0.01252,-91.66999334664006
TRUMPSOL-USDT,2025-01-18,370,23.092,4.879,-78.8714706391824
MELANIA-USDT,2025-01-20,368,7.315,0.1505,-97.94258373205741
AVAAI-USDT,2025-01-21,367,0.1603,0.00966,-93.97379912663756
VINE-USDT,2025-01-23,365,0.30608,0.02679,-91.2473863042342
ANIME-USDT,2025-01-23,365,0.0983,0.006373,-93.51678535096643
TOSHI-USDT,2025-01-27,361,0.001242,0.0002891,-76.7230273752013
VVV-USDT,2025-01-28,360,15.352,2.738,-82.16519020323085
BERA-USDT,2025-02-06,351,9.87,0.7966,-91.9290780141844
TST-USDT,2025-02-09,348,0.394,0.01481,-96.24111675126905
LAYER-USDT,2025-02-11,346,1.2017,0.1416,-88.21669301822418
HEI-USDT,2025-02-13,344,1.0066,0.1314,-86.94615537452812
IP-USDT,2025-02-13,344,2.256,2.45761,8.936613475177314
B3-USDT,2025-02-13,344,0.013501,0.000831,-93.8449003777498
BROCCOLI-USDT,2025-02-15,342,0.12225,0.01944,-84.09815950920245
SHELL-USDT,2025-02-17,340,0.5491,0.04818,-91.2256419595702
GPS-USDT,2025-02-18,339,0.112001,0.007193,-93.5777359130722
KAITO-USDT,2025-02-20,337,1.1424,0.405,-64.54831932773108
PI-USDT,2025-02-27,330,2.6934,0.1837,-93.17962426672607
REDSTONE-USDT,2025-03-07,322,0.603,0.2223,-63.13432835820896
VIC-USDT,2025-03-13,316,0.3871,0.0867,-77.60268664427797
BMT-USDT,2025-03-13,316,0.0875,0.02287,-73.86285714285714
MUBARAK-USDT,2025-03-17,312,0.11632,0.02017,-82.65990371389272
EPIC-USDT,2025-03-18,311,1.4781,0.5706,-61.39638725390704
FORM-USDT,2025-03-19,310,1.8177,0.3187,-82.4668537162348
KOMA-USDT,2025-03-20,309,0.04695,0.00888,-81.08626198083067
TUT-USDT,2025-03-20,309,0.0505,0.01606,-68.1980198019802
BANANAS31-USDT,2025-03-20,309,0.004342,0.004335,-0.16121602947950509
BR-USDT,2025-03-20,309,0.17167,0.0508,-70.40834158560028
SIREN-USDT,2025-03-21,308,0.07434,0.08479,14.057035243475923
BROCCOLIF3B-USDT,2025-03-21,308,0.019399,0.005161,-73.39553585236352
ORCA-USDT,2025-03-21,308,3.225,1.063,-67.03875968992247
PLUME-USDT,2025-03-21,308,0.20356,0.01516,-92.55256435449007
NIL-USDT,2025-03-24,305,0.7984,0.07273,-90.89053106212425
PARTI-USDT,2025-03-25,304,0.3372,0.09131,-72.92111506524319
PAXG-USDT,2025-03-27,302,3056.55,4923.88,61.09273527342918
WAL-USDT,2025-03-27,302,0.3692,0.1265,-65.73672806067172
FUNTOKEN-USDT,2025-03-31,298,0.004991,0.001565,-68.64355840512924
MLN-USDT,2025-03-31,298,12.18,4.584,-62.36453201970444
GUN-USDT,2025-03-31,298,0.0945,0.03663,-61.238095238095234
XAUT-USDT,2025-04-03,295,3129.9,4910.3,56.88360650500015
AERGO-USDT,2025-04-09,289,0.13184,0.06346,-51.865898058252434
BABY-USDT,2025-04-10,288,0.08377,0.01721,-79.45565238152084
PROMPT-USDT,2025-04-11,287,0.16128,0.05574,-65.43898809523809
PUMPBTC-USDT,2025-04-11,287,0.0509,0.02397,-52.90766208251474
STO-USDT,2025-04-12,286,0.10336,0.08148,-21.1687306501548
KERNEL-USDT,2025-04-14,284,0.3495,0.06365,-81.78826895565092
WCT-USDT,2025-04-15,283,0.3679,0.07211,-80.39956509921174
DEEP-USDT,2025-04-16,282,0.08523,0.04058,-52.387656928311635
INIT-USDT,2025-04-17,281,0.7347,0.0814,-88.92064788348986
BANK-USDT,2025-04-19,279,0.048884,0.052349,7.088208820882103
HYPERLANE-USDT,2025-04-22,276,0.244,0.12,-50.81967213114754
ZORA-USDT,2025-04-25,273,0.02029,0.03085,52.04534253326762
TAI-USDT,2025-04-28,270,0.1183,0.02342,-80.2028740490279
SIGN-USDT,2025-04-28,270,0.07727,0.04082,-47.172253138346065
CTK-USDT,2025-04-30,268,0.4663,0.2432,-47.84473514904568
PUNDIX-USDT,2025-04-30,268,0.5697,0.2221,-61.014569071441116
AIOT-USDT,2025-05-01,267,0.25757,0.07253,-71.84066467368095
HAEDAL-USDT,2025-05-01,267,0.12058,0.040605,-66.32526123735279
DOLO-USDT,2025-05-02,266,0.05804,0.053012,-8.662991040661616
ASR-USDT,2025-05-06,262,2.222,1.74,-21.692169216921688
ALPINE-USDT,2025-05-06,262,1.1691,0.5585,-52.22820973398341
B2-USDT,2025-05-06,262,0.6498,0.7698,18.467220683287167
SYRUP-USDT,2025-05-07,261,0.24111,0.33915,40.661938534278974
SXT-USDT,2025-05-08,260,0.138,0.03167,-77.05072463768117
DOOD-USDT,2025-05-09,259,0.0074223,0.0047268,-36.31623620710561
OG-USDT,2025-05-12,256,5.4617,3.8278,-29.915594045809925
ZKJ-USDT,2025-05-13,255,2.1402,0.03714,-98.26464816372301
SKYAI-USDT,2025-05-13,255,0.06314,0.04157,-34.1621792841305
NXPC-USDT,2025-05-15,253,2.80798,0.35091,-87.50311611906068
AWE-USDT,2025-05-21,247,0.066445,0.052072,-21.631424486417338
B-USDT,2025-05-22,246,0.2978,0.19933,-33.0658159838818
SOON-USDT,2025-05-23,245,0.53521,0.31105,-41.88262551148148
ZBCN-USDT,2025-05-26,242,0.0051585,0.0030017,-41.81060385771057
HUMA-USDT,2025-05-26,242,0.075575,0.024897,-67.05656632484288
A-USDT,2025-05-28,240,0.75656,0.10818,-85.70106799196363
SOPH-USDT,2025-05-28,240,0.075896,0.011779,-84.4800780014757
FLOCK-USDT,2025-05-30,238,0.12243,0.07004,-42.79179939557297
LA-USDT,2025-06-05,232,1.363,0.2941,-78.42259721203229
1000000BOB-USDT,2025-06-05,232,0.10875,0.01775,-83.67816091954023
AXL-USDT,2025-06-10,227,0.5457,0.0646,-88.1619937694704
RESOLV-USDT,2025-06-10,227,0.21454,0.10143,-52.72210310431621
HOME-USDT,2025-06-10,227,0.02574,0.030631,19.001554001554013
IDOL-USDT,2025-06-11,226,0.01726,0.03376,95.5967555040556
TAIKO-USDT,2025-06-11,226,0.5646,0.1635,-71.0414452709883
SQD-USDT,2025-06-11,226,0.2616,0.06697,-74.39984709480123
SPK-USDT,2025-06-17,220,0.06232,0.02082,-66.59178433889602
F-USDT,2025-06-18,219,0.01002,0.006131,-38.812375249500995
SAHARA-USDT,2025-06-20,217,0.1152,0.02356,-79.54861111111111
SPX-USDT,2025-06-23,214,1.026,0.4309,-58.00194931773879
H-USDT,2025-06-25,212,0.04919,0.16471,234.8444805854849
HFT-USDT,2025-07-01,206,0.12357,0.02632,-78.70033179574331
USELESS-USDT,2025-07-02,205,0.22121,0.07272,-67.12626011482301
AAPLX-USDT,2025-07-03,204,212.87,249.32,17.123126790999187
ICNT-USDT,2025-07-04,203,0.2956,0.3926,32.81461434370772
NVDAX-USDT,2025-07-07,200,159.47,184.75,15.852511444158779
CRCLX-USDT,2025-07-07,200,187.91,71.75,-61.816827204512805
METAX-USDT,2025-07-07,200,718.28,646.88,-9.94041320933341
M-USDT,2025-07-07,200,0.1758,1.654,840.8418657565414
ARKM-USDT,2025-07-09,198,0.4573,0.1782,-61.03214520008746
PUMP-USDT,2025-07-10,197,0.005292,0.00251,-52.569916855631135
AIN-USDT,2025-07-11,196,0.18779,0.04887,-73.97625006656372
CROSS-USDT,2025-07-11,196,0.14125,0.12587,-10.888495575221224
C-USDT,2025-07-15,192,0.23958,0.06904,-71.18290341430837
VELVET-USDT,2025-07-15,192,0.07724,0.13903,79.99741066804762
TAC-USDT,2025-07-15,192,0.02024,0.004729,-76.63537549407114
ERA-USDT,2025-07-17,190,1.2408,0.1978,-84.05867182462927
TA-USDT,2025-07-21,186,0.1704,0.03737,-78.06924882629109
TAG-USDT,2025-07-25,182,0.0006822,0.0003878,-43.15450014658458
ESPORTS-USDT,2025-07-29,178,0.2013,0.45424,125.65325384997514
TREE-USDT,2025-07-29,178,0.7793,0.0954,-87.75824457846785
A2Z-USDT,2025-07-30,177,0.005114,0.001399,-72.64372311302307
NAORIS-USDT,2025-07-31,176,0.0503,0.03262,-35.14910536779323
PLAYSOUT-USDT,2025-07-31,176,0.03375,0.07489,121.89629629629626
MYX-USDT,2025-08-05,171,1.14254,5.63041,392.79762634130975
TOWNS-USDT,2025-08-05,171,0.037701,0.006188,-83.58664226413093
PROVE-USDT,2025-08-05,171,0.6116,0.3542,-42.0863309352518
