open,close,high,low,volume,time,timestamp
0.1949,0.1942,0.1951,0.1925,189571.599,1756684800000,2025-09-01 00:00:00
0.1940,0.1936,0.1947,0.1926,180261.155,1756685700000,2025-09-01 00:15:00
0.1936,0.1947,0.1949,0.1925,181744.956,1756686600000,2025-09-01 00:30:00
0.1947,0.1944,0.1955,0.1939,67035.392,1756687500000,2025-09-01 00:45:00
0.1944,0.1944,0.1949,0.1934,42077.062,1756688400000,2025-09-01 01:00:00
0.1944,0.1950,0.1953,0.1938,32102.646,1756689300000,2025-09-01 01:15:00
0.1950,0.1953,0.1956,0.1947,33538.778,1756690200000,2025-09-01 01:30:00
0.1953,0.1948,0.1962,0.1941,36077.079,1756691100000,2025-09-01 01:45:00
0.1948,0.1937,0.1949,0.1935,24089.298,1756692000000,2025-09-01 02:00:00
0.1937,0.1933,0.1942,0.1922,114906.088,1756692900000,2025-09-01 02:15:00
0.1933,0.1927,0.1933,0.1923,90288.771,1756693800000,2025-09-01 02:30:00
0.1925,0.1920,0.1930,0.1909,178568.296,1756694700000,2025-09-01 02:45:00
0.1921,0.1917,0.1929,0.1914,50231.917,1756695600000,2025-09-01 03:00:00
0.1915,0.1922,0.1925,0.1914,32271.333,1756696500000,2025-09-01 03:15:00
0.1924,0.1927,0.1931,0.1921,24503.002,1756697400000,2025-09-01 03:30:00
0.1925,0.1929,0.1936,0.1922,29334.185,1756698300000,2025-09-01 03:45:00
0.1929,0.1929,0.1934,0.1919,48932.437,1756699200000,2025-09-01 04:00:00
0.1929,0.1933,0.1935,0.1922,167844.814,1756700100000,2025-09-01 04:15:00
0.1933,0.2013,0.2042,0.1929,896619.490,1756701000000,2025-09-01 04:30:00
0.2013,0.1965,0.2021,0.1965,610360.767,1756701900000,2025-09-01 04:45:00
0.1965,0.1928,0.1967,0.1925,446221.726,1756702800000,2025-09-01 05:00:00
0.1928,0.1934,0.1939,0.1914,133648.576,1756703700000,2025-09-01 05:15:00
0.1934,0.1943,0.1946,0.1931,60766.722,1756704600000,2025-09-01 05:30:00
0.1943,0.1932,0.1949,0.1929,79634.061,1756705500000,2025-09-01 05:45:00
0.1929,0.1932,0.1938,0.1923,73459.422,1756706400000,2025-09-01 06:00:00
0.1932,0.1941,0.1946,0.1927,82993.779,1756707300000,2025-09-01 06:15:00
0.1941,0.1975,0.1983,0.1940,215831.473,1756708200000,2025-09-01 06:30:00
0.1973,0.1975,0.1998,0.1959,358954.102,1756709100000,2025-09-01 06:45:00
0.1972,0.1966,0.1989,0.1955,280203.931,1756710000000,2025-09-01 07:00:00
0.1966,0.1991,0.1991,0.1961,141328.177,1756710900000,2025-09-01 07:15:00
0.1991,0.2017,0.2029,0.1982,817497.118,1756711800000,2025-09-01 07:30:00
0.2017,0.2027,0.2034,0.2011,397246.735,1756712700000,2025-09-01 07:45:00
0.2027,0.2005,0.2039,0.2002,379240.954,1756713600000,2025-09-01 08:00:00
0.2005,0.1998,0.2013,0.1996,131949.098,1756714500000,2025-09-01 08:15:00
0.1998,0.2006,0.2015,0.1996,200810.138,1756715400000,2025-09-01 08:30:00
0.2006,0.2008,0.2014,0.1996,88605.044,1756716300000,2025-09-01 08:45:00
0.2008,0.2014,0.2023,0.2006,93626.893,1756717200000,2025-09-01 09:00:00
0.2014,0.2009,0.2018,0.2006,91936.934,1756718100000,2025-09-01 09:15:00
0.2011,0.2010,0.2014,0.2004,87558.739,1756719000000,2025-09-01 09:30:00
0.2008,0.2003,0.2010,0.1998,197360.941,1756719900000,2025-09-01 09:45:00
0.2003,0.2001,0.2004,0.1993,72254.475,1756720800000,2025-09-01 10:00:00
0.1999,0.1984,0.2004,0.1977,101013.560,1756721700000,2025-09-01 10:15:00
0.1984,0.1976,0.1987,0.1966,201710.700,1756722600000,2025-09-01 10:30:00
0.1976,0.1974,0.1978,0.1964,95907.715,1756723500000,2025-09-01 10:45:00
0.1974,0.1976,0.1982,0.1966,84032.642,1756724400000,2025-09-01 11:00:00
0.1976,0.1981,0.1985,0.1971,120850.527,1756725300000,2025-09-01 11:15:00
0.1981,0.1966,0.1983,0.1966,97215.663,1756726200000,2025-09-01 11:30:00
0.1966,0.1966,0.1971,0.1963,151311.492,1756727100000,2025-09-01 11:45:00
0.1966,0.1974,0.1980,0.1956,95611.984,1756728000000,2025-09-01 12:00:00
0.1974,0.1974,0.1981,0.1965,99790.583,1756728900000,2025-09-01 12:15:00
0.1977,0.1961,0.1977,0.1961,60517.413,1756729800000,2025-09-01 12:30:00
0.1961,0.1955,0.1969,0.1950,118491.982,1756730700000,2025-09-01 12:45:00
0.1958,0.1946,0.1959,0.1939,150759.974,1756731600000,2025-09-01 13:00:00
0.1948,0.1951,0.1957,0.1936,128292.980,1756732500000,2025-09-01 13:15:00
0.1951,0.1942,0.1952,0.1939,77834.106,1756733400000,2025-09-01 13:30:00
0.1942,0.1936,0.1949,0.1934,76918.927,1756734300000,2025-09-01 13:45:00
0.1936,0.1937,0.1951,0.1935,90371.268,1756735200000,2025-09-01 14:00:00
0.1937,0.1934,0.1944,0.1933,16844.753,1756736100000,2025-09-01 14:15:00
0.1934,0.1928,0.1938,0.1923,91148.795,1756737000000,2025-09-01 14:30:00
0.1928,0.1931,0.1936,0.1917,96840.935,1756737900000,2025-09-01 14:45:00
0.1931,0.1933,0.1938,0.1923,43307.218,1756738800000,2025-09-01 15:00:00
0.1933,0.1932,0.1936,0.1922,35975.445,1756739700000,2025-09-01 15:15:00
0.1930,0.1931,0.1938,0.1927,72730.185,1756740600000,2025-09-01 15:30:00
0.1931,0.1918,0.1935,0.1912,74557.335,1756741500000,2025-09-01 15:45:00
0.1916,0.1920,0.1923,0.1911,86851.449,1756742400000,2025-09-01 16:00:00
0.1921,0.1911,0.1921,0.1908,67864.054,1756743300000,2025-09-01 16:15:00
0.1911,0.1911,0.1919,0.1905,62954.203,1756744200000,2025-09-01 16:30:00
0.1911,0.1914,0.1920,0.1907,30859.930,1756745100000,2025-09-01 16:45:00
0.1914,0.1917,0.1922,0.1905,94931.909,1756746000000,2025-09-01 17:00:00
0.1917,0.1911,0.1917,0.1906,36484.442,1756746900000,2025-09-01 17:15:00
0.1911,0.1911,0.1915,0.1903,97012.831,1756747800000,2025-09-01 17:30:00
0.1911,0.1913,0.1917,0.1908,81995.235,1756748700000,2025-09-01 17:45:00
0.1913,0.1919,0.1921,0.1912,47848.242,1756749600000,2025-09-01 18:00:00
0.1919,0.1926,0.1927,0.1916,71469.896,1756750500000,2025-09-01 18:15:00
0.1926,0.1925,0.1931,0.1919,39018.175,1756751400000,2025-09-01 18:30:00
0.1922,0.1923,0.1926,0.1921,24639.784,1756752300000,2025-09-01 18:45:00
0.1921,0.1926,0.1931,0.1919,32983.162,1756753200000,2025-09-01 19:00:00
0.1926,0.1918,0.1930,0.1918,53434.580,1756754100000,2025-09-01 19:15:00
0.1920,0.1922,0.1927,0.1917,26840.129,1756755000000,2025-09-01 19:30:00
0.1925,0.1944,0.1950,0.1923,408038.198,1756755900000,2025-09-01 19:45:00
0.1944,0.1933,0.1944,0.1932,93242.742,1756756800000,2025-09-01 20:00:00
0.1933,0.1928,0.1935,0.1925,42413.712,1756757700000,2025-09-01 20:15:00
0.1928,0.1891,0.1931,0.1887,187778.667,1756758600000,2025-09-01 20:30:00
0.1891,0.1907,0.1912,0.1882,467907.035,1756759500000,2025-09-01 20:45:00
0.1907,0.1896,0.1907,0.1892,112298.552,1756760400000,2025-09-01 21:00:00
0.1896,0.1885,0.1902,0.1880,86376.081,1756761300000,2025-09-01 21:15:00
0.1885,0.1863,0.1886,0.1845,342353.974,1756762200000,2025-09-01 21:30:00
0.1863,0.1871,0.1874,0.1859,44592.936,1756763100000,2025-09-01 21:45:00
0.1869,0.1872,0.1880,0.1861,70881.094,1756764000000,2025-09-01 22:00:00
0.1872,0.1874,0.1884,0.1872,32812.416,1756764900000,2025-09-01 22:15:00
0.1876,0.1867,0.1880,0.1864,31867.142,1756765800000,2025-09-01 22:30:00
0.1864,0.1880,0.1886,0.1864,21258.008,1756766700000,2025-09-01 22:45:00
0.1880,0.1890,0.1895,0.1880,29283.801,1756767600000,2025-09-01 23:00:00
0.1890,0.1891,0.1892,0.1884,32919.504,1756768500000,2025-09-01 23:15:00
0.1891,0.1901,0.1902,0.1883,34229.790,1756769400000,2025-09-01 23:30:00
0.1901,0.1906,0.1909,0.1899,57761.440,1756770300000,2025-09-01 23:45:00
0.1906,0.1904,0.1909,0.1902,30327.124,1756771200000,2025-09-02 00:00:00
0.1904,0.1905,0.1912,0.1901,40381.316,1756772100000,2025-09-02 00:15:00
0.1905,0.1901,0.1908,0.1898,31174.552,1756773000000,2025-09-02 00:30:00
0.1901,0.1905,0.1908,0.1898,25037.766,1756773900000,2025-09-02 00:45:00
0.1905,0.1904,0.1913,0.1902,36675.390,1756774800000,2025-09-02 01:00:00
0.1904,0.1913,0.1914,0.1900,24120.115,1756775700000,2025-09-02 01:15:00
