entry_time,exit_time,pnl_pct,pnl_dollar,risk_pct,exit_reason,month
2025-06-04 04:00:00,2025-06-04 05:45:00,-1.9821924982877432,-12.605390243902438,12.0,SL,2025-06
2025-06-06 15:45:00,2025-06-07 00:15:00,3.6024581479127025,12.745295730968438,6.0,TP,2025-06
2025-06-07 04:15:00,2025-06-07 06:45:00,-1.4553756153242525,-9.631853724076617,9.0,SL,2025-06
2025-06-07 07:15:00,2025-06-08 09:15:00,2.693889125194963,9.804183481115368,4.5,TP,2025-06
2025-06-08 20:30:00,2025-06-08 21:00:00,-0.7889546351084856,-7.629309746637411,6.75,SL,2025-06
2025-06-09 12:15:00,2025-06-09 16:45:00,-0.967420685730541,-3.4513877732175735,3.375,SL,2025-06
2025-06-09 22:00:00,2025-06-09 22:15:00,-0.8593010094476914,-1.9923147598409363,2.0,SL,2025-06
2025-06-10 01:15:00,2025-06-10 11:30:00,-1.1217254508561063,-1.9003291567858174,2.0,SL,2025-06
2025-06-10 12:00:00,2025-06-10 13:00:00,-1.094391244870047,-1.8627347045858909,2.0,SL,2025-06
2025-06-11 16:45:00,2025-06-11 18:15:00,2.950392242069397,4.032341749552551,2.0,TP,2025-06
2025-06-13 16:45:00,2025-06-13 20:30:00,-1.5777547766246154,-2.791646854299899,3.0,SL,2025-06
2025-06-13 22:30:00,2025-06-13 22:30:00,-0.947996404151581,-1.8730652979786226,2.0,SL,2025-06
2025-06-13 23:15:00,2025-06-14 03:00:00,-1.0420058612829755,-1.8158840709428823,2.0,SL,2025-06
2025-06-14 06:30:00,2025-06-14 10:30:00,-0.8340907875741802,-1.8148484644185305,2.0,SL,2025-06
2025-06-14 13:45:00,2025-06-14 16:15:00,3.1830238726790414,3.836222299188354,2.0,TP,2025-06
2025-06-15 15:30:00,2025-06-15 22:15:00,-1.2000973051868977,-2.6990847157712876,3.0,SL,2025-06
2025-06-16 06:00:00,2025-06-16 06:15:00,-0.7931262392597582,-1.8096202802027987,2.0,SL,2025-06
2025-06-16 08:30:00,2025-06-16 08:45:00,-0.9796950304179507,-1.7311482497482078,2.0,SL,2025-06
2025-06-19 00:00:00,2025-06-19 00:30:00,-0.914040680452506,-1.7042541645977725,2.0,SL,2025-06
2025-06-19 01:30:00,2025-06-19 13:45:00,2.6337401942737393,3.612675827148892,2.0,TP,2025-06
2025-06-23 01:45:00,2025-06-23 07:30:00,-1.1223888869643535,-2.571938006976496,3.0,SL,2025-06
2025-06-23 14:00:00,2025-06-23 16:30:00,3.8253437640004115,3.707767252807777,2.0,TP,2025-06
2025-06-24 01:15:00,2025-06-24 05:30:00,-1.1391534911126386,-2.6059076934589083,3.0,SL,2025-06
2025-06-24 07:15:00,2025-06-24 13:00:00,2.3358422008824298,3.6970352817926924,2.0,TP,2025-06
2025-06-25 21:30:00,2025-06-25 22:45:00,-0.7521415140330013,-2.7512014549388475,3.0,SL,2025-06
2025-06-26 02:45:00,2025-06-26 02:45:00,-1.1881593772406023,-1.6954934484566675,2.0,SL,2025-06
2025-06-26 04:15:00,2025-06-26 06:15:00,-1.4675907052588617,-1.6342120989653908,2.0,SL,2025-06
2025-06-26 07:45:00,2025-06-26 12:45:00,3.6004800640085417,3.6392310649998576,2.0,TP,2025-06
2025-06-28 05:30:00,2025-06-28 10:15:00,-2.7136298225176474,-2.441881419974114,3.0,SL,2025-06
2025-06-28 12:30:00,2025-06-29 01:30:00,7.058823529411757,3.7491856017197285,2.0,TP,2025-06
2025-06-29 13:45:00,2025-06-29 14:00:00,-1.0276905509563288,-2.6272929114139845,3.0,SL,2025-06
2025-06-29 17:00:00,2025-06-29 17:15:00,-1.4616321559074312,-1.6492750428928717,2.0,SL,2025-06
2025-06-29 18:00:00,2025-06-30 12:45:00,3.9476418034489944,3.68102359829811,2.0,TP,2025-06
2025-07-01 15:15:00,2025-07-02 15:00:00,-2.033323919796665,-2.493321593523577,3.0,SL,2025-07
2025-07-02 17:45:00,2025-07-02 18:15:00,-1.399464910475401,-1.6440754640945423,2.0,SL,2025-07
2025-07-02 18:45:00,2025-07-02 18:45:00,-1.3109381401065208,-1.6160899074318664,2.0,SL,2025-07
2025-07-02 22:30:00,2025-07-02 23:00:00,-0.8930383600568347,-1.6337481586535565,2.0,SL,2025-07
2025-07-02 23:30:00,2025-07-03 05:45:00,-1.3795901805640165,-1.54068201991166,2.0,SL,2025-07
2025-07-03 07:15:00,2025-07-03 15:00:00,3.6173633440514545,3.417196310492309,2.0,TP,2025-07
2025-07-04 09:30:00,2025-07-04 14:15:00,3.722084367245652,5.379298611736554,3.0,TP,2025-07
2025-07-05 07:15:00,2025-07-05 07:30:00,-0.680159851914569,-4.081979406823376,4.5,SL,2025-07
2025-07-08 19:45:00,2025-07-09 03:15:00,2.6023184291459733,4.05671531730606,2.25,TP,2025-07
2025-07-09 14:15:00,2025-07-09 15:15:00,-1.0047446274071983,-2.9337757329048304,3.375,SL,2025-07
2025-07-09 20:15:00,2025-07-09 20:30:00,-1.4743767587491583,-1.625751703736824,2.0,SL,2025-07
2025-07-10 02:00:00,2025-07-10 02:45:00,-2.147934135961553,-1.5593412222550778,2.0,SL,2025-07
