open,close,high,low,volume,time,timestamp
0.1156,0.1163,0.1168,0.1146,73137.231,1764593100000,2025-12-01 12:45:00
0.1163,0.1164,0.1171,0.1159,66823.841,1764594000000,2025-12-01 13:00:00
0.1164,0.1160,0.1165,0.1157,24109.677,1764594900000,2025-12-01 13:15:00
0.1162,0.1160,0.1163,0.1156,35765.861,1764595800000,2025-12-01 13:30:00
0.1158,0.1160,0.1165,0.1157,24812.137,1764596700000,2025-12-01 13:45:00
0.1160,0.1158,0.1165,0.1156,31155.548,1764597600000,2025-12-01 14:00:00
0.1158,0.1159,0.1160,0.1153,34445.467,1764598500000,2025-12-01 14:15:00
0.1159,0.1157,0.1168,0.1153,150328.696,1764599400000,2025-12-01 14:30:00
0.1157,0.1159,0.1166,0.1156,29755.182,1764600300000,2025-12-01 14:45:00
0.1159,0.1153,0.1163,0.1153,29587.534,1764601200000,2025-12-01 15:00:00
0.1153,0.1150,0.1161,0.1149,79053.658,1764602100000,2025-12-01 15:15:00
0.1150,0.1142,0.1154,0.1136,234006.503,1764603000000,2025-12-01 15:30:00
0.1142,0.1156,0.1168,0.1140,88590.074,1764603900000,2025-12-01 15:45:00
0.1156,0.1159,0.1159,0.1147,41782.724,1764604800000,2025-12-01 16:00:00
0.1159,0.1156,0.1161,0.1153,36061.394,1764605700000,2025-12-01 16:15:00
0.1156,0.1167,0.1170,0.1154,66452.143,1764606600000,2025-12-01 16:30:00
0.1164,0.1163,0.1174,0.1160,89074.961,1764607500000,2025-12-01 16:45:00
0.1163,0.1162,0.1168,0.1158,36264.468,1764608400000,2025-12-01 17:00:00
0.1162,0.1162,0.1166,0.1158,25273.903,1764609300000,2025-12-01 17:15:00
0.1162,0.1163,0.1165,0.1158,24404.476,1764610200000,2025-12-01 17:30:00
0.1163,0.1162,0.1170,0.1159,43387.655,1764611100000,2025-12-01 17:45:00
0.1162,0.1165,0.1166,0.1156,44254.976,1764612000000,2025-12-01 18:00:00
0.1165,0.1163,0.1166,0.1158,35010.848,1764612900000,2025-12-01 18:15:00
0.1163,0.1158,0.1165,0.1154,30918.005,1764613800000,2025-12-01 18:30:00
0.1158,0.1162,0.1167,0.1154,67199.662,1764614700000,2025-12-01 18:45:00
0.1162,0.1157,0.1165,0.1156,37067.077,1764615600000,2025-12-01 19:00:00
0.1157,0.1151,0.1161,0.1151,48270.778,1764616500000,2025-12-01 19:15:00
0.1151,0.1155,0.1159,0.1151,23410.938,1764617400000,2025-12-01 19:30:00
0.1157,0.1160,0.1162,0.1155,21952.180,1764618300000,2025-12-01 19:45:00
0.1160,0.1167,0.1174,0.1158,91552.788,1764619200000,2025-12-01 20:00:00
0.1167,0.1156,0.1170,0.1154,56518.193,1764620100000,2025-12-01 20:15:00
0.1156,0.1164,0.1166,0.1154,36383.205,1764621000000,2025-12-01 20:30:00
0.1167,0.1163,0.1167,0.1160,32138.867,1764621900000,2025-12-01 20:45:00
0.1163,0.1161,0.1166,0.1156,50210.310,1764622800000,2025-12-01 21:00:00
0.1161,0.1164,0.1169,0.1159,33530.882,1764623700000,2025-12-01 21:15:00
0.1164,0.1163,0.1167,0.1159,44531.187,1764624600000,2025-12-01 21:30:00
0.1163,0.1158,0.1166,0.1157,28259.599,1764625500000,2025-12-01 21:45:00
0.1158,0.1158,0.1164,0.1155,34507.971,1764626400000,2025-12-01 22:00:00
0.1158,0.1160,0.1163,0.1155,29307.204,1764627300000,2025-12-01 22:15:00
0.1160,0.1163,0.1164,0.1159,25296.027,1764628200000,2025-12-01 22:30:00
0.1163,0.1159,0.1164,0.1157,23522.777,1764629100000,2025-12-01 22:45:00
0.1157,0.1158,0.1163,0.1157,22738.319,1764630000000,2025-12-01 23:00:00
0.1158,0.1164,0.1166,0.1158,22719.795,1764630900000,2025-12-01 23:15:00
0.1166,0.1162,0.1168,0.1159,23163.410,1764631800000,2025-12-01 23:30:00
0.1160,0.1160,0.1164,0.1158,22324.889,1764632700000,2025-12-01 23:45:00
0.1160,0.1160,0.1163,0.1152,57172.833,1764633600000,2025-12-02 00:00:00
0.1160,0.1159,0.1162,0.1156,22829.511,1764634500000,2025-12-02 00:15:00
0.1159,0.1159,0.1164,0.1156,23788.393,1764635400000,2025-12-02 00:30:00
0.1159,0.1155,0.1162,0.1154,22852.381,1764636300000,2025-12-02 00:45:00
0.1155,0.1161,0.1174,0.1154,43231.627,1764637200000,2025-12-02 01:00:00
0.1161,0.1156,0.1163,0.1153,22638.662,1764638100000,2025-12-02 01:15:00
0.1156,0.1155,0.1159,0.1152,21567.540,1764639000000,2025-12-02 01:30:00
