week,top_timestamp,top_price,top_rsi,top_wick_ratio,top_vol_ratio,top_position_pct,candles_after_top,max_dd_pct,candles_to_low,close_vs_top_pct,week_return,top_day_of_week
2025_W36,2025-09-01 04:30:00,0.2042,82.14122265394525,0.2543859649122794,18.637556362706913,2.6785714285714284,653,-9.647404505386874,68,-3.7218413320274224,0.872242175474606,0
2025_W37,2025-09-13 10:15:00,0.221,66.70922778962115,0.5000000000000013,13.4988005826904,77.52976190476191,150,-11.08597285067873,114,-9.049773755656105,2.238046795523914,5
2025_W38,2025-09-17 23:00:00,0.205,69.42181685202725,0.21428571428571117,1.3324508634761494,42.26190476190476,387,-5.804878048780485,384,-5.5609756097560945,-3.6815920398010036,2
2025_W39,2025-09-22 00:00:00,0.1948,39.66058618420686,0.44444444444444,0.7884794681412693,0.0,671,-19.507186858316224,24,-12.47433264887063,-11.977284460505935,0
2025_W40,2025-10-01 22:15:00,0.1988,92.27964669104338,0.2008928571428572,46.52603897192455,41.81547619047619,390,-12.223340040241457,261,-10.462776659959765,4.398826979472128,2
2025_W41,2025-10-06 19:00:00,0.1889,75.93660000331207,0.37499999999999983,1.3713704807492613,11.30952380952381,595,-75.59555320275277,393,-33.03335097935416,-28.932584269662918,0
2025_W42,2025-10-13 01:45:00,0.1348,85.39298047192068,0.13157894736842088,2.4851813411454455,1.215277777777778,568,-25.667655786350153,314,-21.958456973293767,-16.969218626677193,0
2025_W43,2025-10-20 06:45:00,0.1088,67.72965395423353,0.5000000000000014,0.6556387276746402,4.017857142857143,644,-17.555147058823522,255,-7.628676470588225,-4.467680608365015,0
2025_W44,2025-10-27 18:45:00,0.1494,95.18457662475974,0.2666666666666672,9.628009060969653,11.160714285714286,596,-27.242302543507364,35,-22.757697456492636,14.825870646766164,0
2025_W45,2025-11-05 21:45:00,0.1186,88.29713662435128,0.9154929577464787,11.417335860898454,41.517857142857146,392,-16.779089376053964,75,-3.8785834738617146,-1.3840830449826906,2
2025_W46,2025-11-10 21:15:00,0.2301,75.96432418014038,0.42962962962962975,8.935054069409915,12.648809523809524,586,-41.06910039113429,558,-39.41764450239027,22.280701754385955,0
2025_W47,2025-11-17 02:30:00,0.1426,59.83516039988728,0.13043478260869293,1.1981264557678986,1.488095238095238,661,-18.723702664796633,437,-15.077138849929877,-13.127690100430414,0
2025_W48,2025-11-24 18:15:00,0.1371,89.07008737790648,0.7142857142857144,2.6601947752193835,10.863095238095239,598,-9.117432530999269,481,-5.908096280087524,6.172839506172846,0
2025_W49,2025-12-01 00:00:00,0.1292,23.63522840612461,0.03773584905660478,9.205317137763135,0.0,671,-12.925696594427249,450,-10.835913312693506,-10.697674418604656,0
2025_W50,2025-12-09 17:00:00,0.1194,78.61318372409758,0.545454545454548,2.213523207681052,24.404761904761905,507,-10.050251256281415,506,-9.463986599664995,-6.16319444444444,1
2025_W51,2025-12-15 06:45:00,0.1113,56.33310724799718,0.555555555555559,1.8394155246687518,18.367346938775512,119,-9.613656783468105,88,-6.199460916442039,-3.4227567067530016,0
