open,close,high,low,volume,time,timestamp,tr,atr,atr_pct
0.6526,0.6465,0.6539,0.6428,116709.648,1748736000000,2025-06-01 00:00:00,,,
0.6465,0.6377,0.6467,0.6366,117517.058,1748736900000,2025-06-01 00:15:00,0.010099999999999998,,
0.6376,0.6419,0.6419,0.6338,136663.438,1748737800000,2025-06-01 00:30:00,0.008099999999999996,,
0.6419,0.6438,0.6442,0.6402,117491.047,1748738700000,2025-06-01 00:45:00,0.0040000000000000036,,
0.6439,0.6466,0.6487,0.6419,119164.136,1748739600000,2025-06-01 01:00:00,0.006800000000000028,,
0.6467,0.646,0.6522,0.6459,113374.137,1748740500000,2025-06-01 01:15:00,0.006299999999999972,,
0.6461,0.6414,0.6471,0.6405,116464.015,1748741400000,2025-06-01 01:30:00,0.00660000000000005,,
0.6411,0.6396,0.6439,0.6379,116838.0,1748742300000,2025-06-01 01:45:00,0.006000000000000005,,
0.6392,0.638,0.6403,0.6355,108480.556,1748743200000,2025-06-01 02:00:00,0.0048000000000000265,,
0.6379,0.6419,0.6435,0.6379,107789.731,1748744100000,2025-06-01 02:15:00,0.005599999999999938,,
0.6419,0.6411,0.6435,0.6408,105428.107,1748745000000,2025-06-01 02:30:00,0.0026999999999999247,,
0.6412,0.642,0.6422,0.6387,108412.236,1748745900000,2025-06-01 02:45:00,0.0034999999999999476,,
0.642,0.6431,0.6446,0.6412,108321.351,1748746800000,2025-06-01 03:00:00,0.0033999999999999586,,
0.643,0.6422,0.6472,0.6398,114090.352,1748747700000,2025-06-01 03:15:00,0.007399999999999962,,
0.6422,0.6438,0.6447,0.6411,107078.406,1748748600000,2025-06-01 03:30:00,0.0036000000000000476,0.005635714285714276,0.8753827719344945
0.6437,0.6437,0.6456,0.6435,109264.595,1748749500000,2025-06-01 03:45:00,0.0020999999999999908,0.0050642857142857035,0.7867462660067893
0.6439,0.6464,0.6475,0.6436,116461.753,1748750400000,2025-06-01 04:00:00,0.0039000000000000146,0.004764285714285705,0.7370491513437044
0.6464,0.644,0.6483,0.6437,104868.36,1748751300000,2025-06-01 04:15:00,0.0045999999999999375,0.004807142857142843,0.7464507542147272
0.644,0.648,0.6483,0.6436,105328.216,1748752200000,2025-06-01 04:30:00,0.0047000000000000375,0.004657142857142844,0.71869488536155
0.6481,0.6466,0.6483,0.6456,110328.821,1748753100000,2025-06-01 04:45:00,0.0027000000000000357,0.004399999999999992,0.6804825239715423
0.6467,0.6441,0.6475,0.6439,122251.296,1748754000000,2025-06-01 05:00:00,0.0035999999999999366,0.004185714285714269,0.6498547253088447
0.6438,0.6432,0.6451,0.6432,104665.586,1748754900000,2025-06-01 05:15:00,0.0019000000000000128,0.0038928571428571263,0.6052327647476876
0.6432,0.6422,0.6449,0.6415,107634.407,1748755800000,2025-06-01 05:30:00,0.0034000000000000696,0.0037928571428571295,0.590603728255548
0.6423,0.6399,0.6427,0.6387,107240.333,1748756700000,2025-06-01 05:45:00,0.0040000000000000036,0.00367857142857142,0.5748666086218815
0.6398,0.638,0.6399,0.6379,116493.426,1748757600000,2025-06-01 06:00:00,0.0020000000000000018,0.0036285714285714255,0.5687416032243614
0.638,0.6373,0.6385,0.6347,109254.051,1748758500000,2025-06-01 06:15:00,0.0037999999999999146,0.0036499999999999944,0.572728699199748
0.6374,0.6387,0.6417,0.6372,121633.55,1748759400000,2025-06-01 06:30:00,0.0045000000000000595,0.0037285714285714305,0.5837750788431861
0.6387,0.6357,0.64,0.6351,108622.457,1748760300000,2025-06-01 06:45:00,0.0049000000000000155,0.0035500000000000054,0.558439515494731
0.6356,0.6343,0.6357,0.6292,129272.155,1748761200000,2025-06-01 07:00:00,0.006500000000000061,0.003757142857142864,0.5923290015990641
0.6343,0.6337,0.6355,0.632,122866.777,1748762100000,2025-06-01 07:15:00,0.0034999999999999476,0.0038571428571428606,0.6086701683987471
0.6337,0.6342,0.6345,0.6315,116638.577,1748763000000,2025-06-01 07:30:00,0.0030000000000000027,0.0037928571428571456,0.5980537910528454
0.6343,0.6363,0.6369,0.6323,123504.631,1748763900000,2025-06-01 07:45:00,0.0046000000000000485,0.0037928571428571534,0.5960800161648835
0.6363,0.6361,0.6403,0.6353,110344.304,1748764800000,2025-06-01 08:00:00,0.0050000000000000044,0.0038142857142857223,0.5996361758034464
0.6363,0.6349,0.6384,0.6347,111743.52,1748765700000,2025-06-01 08:15:00,0.0036999999999999256,0.003885714285714286,0.612019890646446
0.6348,0.6346,0.6351,0.6325,106270.614,1748766600000,2025-06-01 08:30:00,0.0026000000000000467,0.0038142857142857223,0.6010535320336783
0.6346,0.6362,0.6363,0.6332,107558.286,1748767500000,2025-06-01 08:45:00,0.0030999999999999917,0.0039000000000000068,0.6130147752279168
0.6362,0.635,0.6375,0.6331,107903.068,1748768400000,2025-06-01 09:00:00,0.0043999999999999595,0.00397142857142857,0.6254218222722158
