direction,entry,exit,pnl,bars,exit_reason
LONG,0.17842,0.17942,0.004604752830400184,11,TP
LONG,0.17757,0.17676285714285717,-0.005545491114168132,90,SL
LONG,0.1773,0.17680142857142858,-0.0038120215937474935,50,SL
LONG,0.17197,0.17323285714285713,0.006343473529435984,83,TP
LONG,0.16032,0.16371714285714287,0.020189763330482058,22,TP
LONG,0.15599,0.15921571428571427,0.01967898125337697,62,TP
LONG,0.16236,0.16199142857142856,-0.003270087635941387,8,SL
LONG,0.15578,0.1565,0.0036219026832712284,90,TIME
LONG,0.15108,0.15318571428571431,0.012937743485003428,22,TP
LONG,0.15103,0.15324142857142858,0.013642313258482308,34,TP
LONG,0.15696,0.15727,0.0009750254841999215,90,TIME
LONG,0.15155,0.1508342857142857,-0.005722628081255675,16,SL
LONG,0.1502,0.1499714285714286,-0.0025217804831652027,27,SL
SHORT,0.18038,0.17870857142857147,0.008352817036515803,30,TP
SHORT,0.18372,0.18197142857142856,0.00860904380593508,26,TP
SHORT,0.18524,0.18253142857142854,0.013838931847353186,10,TP
SHORT,0.17205,0.17226857142857144,-0.002268782963478987,9,SL
SHORT,0.15318,0.15321,-0.0011958096729978154,90,TIME
SHORT,0.1405,0.14092428571428572,-0.004010735247904073,32,SL
SHORT,0.14158,0.14067,0.005469041017985511,90,TIME
SHORT,0.14335,0.1438657142857143,-0.00458469207395784,7,SL
SHORT,0.15155,0.15228714285714284,-0.005840479920451002,13,SL
SHORT,0.1524,0.15145428571428568,0.00524422267916791,30,TP
SHORT,0.13989,0.13986,-0.0007854997855000203,90,TIME
SHORT,0.14015,0.1403657142857143,-0.002536801823807221,11,SL
