stat_name,value,unit,interpretation
Total Candles,43200,count,30 days of 1-min data
Date Range,2025-11-07 to 2025-12-07,period,1 month
Price Change,-22.26,percent,Bearish period
Avg 1-min Body,0.1208,percent,Small moves
Avg 1-min Range,0.1984,percent,Moderate volatility
ATR (14),0.1984,percent,Volatility measure
Max Drawdown,-43.82,percent,High risk

Choppy Regime,91.76,percent,Dominant regime
Mean Reverting Regime,3.99,percent,Secondary regime
Uptrend Regime,0.78,percent,Rare
Downtrend Regime,0.44,percent,Very rare
Trending Time Total,1.22,percent,Almost never trends

Bullish Follow-Through,37.81,percent,Weak momentum
Bearish Follow-Through,38.97,percent,Weak momentum
US Session Long WR,36.35,percent,Best session
Europe Session Short WR,33.20,percent,Good for shorts
Overnight Session WR,27.22,percent,Worst session

Best Hour,21:00,UTC,+0.0077% avg return
Worst Hour,00:00,UTC,-0.0070% avg return
Best Day,Tuesday,day_of_week,+0.0030% avg
Worst Day,Thursday,day_of_week,-0.0026% avg

BB Upper Touch MR Rate,27.03,percent,Moderate edge
BB Lower Touch MR Rate,23.57,percent,Moderate edge
SMA20 Break Fade Rate,78.3,percent,Strong edge
SMA50 Break Fade Rate,80.2,percent,Strong edge
RSI >70 Reversal Rate,26.73,percent,Weak edge
RSI <30 Reversal Rate,22.42,percent,Weak edge

Explosive Bearish Count,2,count,Very rare
ATR Expansion Count,10,count,Rare
Upper Wick Rejection Count,98,count,Uncommon
Volume Spike Count,2388,count,Common
Volume Dry-up Count,16741,count,Very common (38.7%)

Black Swan Events >5%,0,count,None observed
High Vol Events >2%,2,count,Rare
Typical Daily Range,276.46,percent,High cumulative
Max Daily Range,466.33,percent,Very high
Min Daily Range,140.83,percent,Moderate

Recommended Strategy,BB Mean Reversion,type,Primary approach
Expected Win Rate,50-60,percent,After optimization
Expected R:R Ratio,1.5-2.0,ratio,Risk:Reward
Expected Daily Return,0.1-0.5,percent,After 0.1% fees
Recommended Session,US (14:00-21:00 UTC),session,Best performance
Position Size,1-2,percent_account_risk,Conservative sizing
