direction,entry,exit,pnl,bars,exit_reason
LONG,0.014441,0.014357928571428574,-0.006752470644098562,1,SL
SHORT,0.014377,0.014461857142857141,-0.006867651852656697,2,SL
SHORT,0.014372,0.014457071428571427,-0.006884416424982275,1,SL
LONG,0.014475,0.014395071428571429,-0.0065218356772760435,2,SL
LONG,0.014409,0.014332428571428572,-0.006314138980597405,1,SL
SHORT,0.014337,0.014411357142857142,-0.006159621132142744,3,SL
LONG,0.014399,0.014549571428571427,0.009457075392140246,2,TP
LONG,0.014513,0.014673285714285713,0.010044285418983834,17,TP
LONG,0.014632,0.0145495,-0.0066383269546199655,1,SL
SHORT,0.014547,0.01463342857142857,-0.006906242068063339,4,SL
LONG,0.014549,0.014720285714285714,0.010773023182741981,16,TP
SHORT,0.014621,0.014706857142857143,-0.006837898744997516,11,SL
SHORT,0.014588,0.014671285714285715,-0.006676783610356506,10,SL
LONG,0.014618,0.014533285714285716,-0.006795203565076235,1,SL
SHORT,0.014545,0.014631285714285715,-0.006897343266386135,3,SL
LONG,0.014546,0.014713428571428572,0.010510282650115,9,TP
SHORT,0.014564,0.014646857142857144,-0.006656991260923894,5,SL
LONG,0.014612,0.014528714285714285,-0.006699816198036833,1,SL
SHORT,0.014506,0.014586785714285714,-0.006538280733540568,2,SL
LONG,0.014593,0.014521285714285714,-0.005914293545829285,15,SL
LONG,0.014659,0.014582714285714286,-0.006204018983949399,7,SL
SHORT,0.014664,0.014606,0.002970970833903964,20,TIME
SHORT,0.014661,0.014522,0.008571684340999863,8,TP
SHORT,0.014605,0.014673071428571428,-0.0056392078783776825,17,SL
LONG,0.014702,0.014801,0.005733777717317313,1,TP
LONG,0.014736,0.014681642857142858,-0.004688731192802774,18,SL
SHORT,0.014729,0.014779928571428572,-0.004445792798148051,1,SL
LONG,0.014785,0.014726357142857142,-0.004966375187207105,2,SL
SHORT,0.014768,0.014829357142857142,-0.005137545698445599,8,SL
LONG,0.014954,0.015070571428571428,0.006795334263168918,3,TP
LONG,0.01501,0.015128285714285716,0.0068804606452840264,3,TP
LONG,0.015095,0.015212714285714286,0.006798230255997796,7,TP
LONG,0.015108,0.015222857142857142,0.006602405537274537,6,TP
LONG,0.015132,0.015077499999999999,-0.00460163891091736,15,SL
SHORT,0.015169,0.0152255,-0.004710879774063147,2,SL
LONG,0.015194,0.015137071428571429,-0.004746779743883821,3,SL
LONG,0.015226,0.01516692857142857,-0.004879641965810365,1,SL
SHORT,0.015131,0.015194214285714287,-0.005160418204297689,3,SL
LONG,0.015145,0.015261428571428572,0.006687591378578551,10,TP
SHORT,0.015123,0.015182714285714285,-0.0049330441573594,2,SL
SHORT,0.015206,0.015263142857142857,-0.004743846053050226,2,SL
LONG,0.01528,0.015220142857142857,-0.004917352281226583,4,SL
LONG,0.0153,0.015238928571428572,-0.004991596638655448,2,SL
SHORT,0.015236,0.015299,-0.005117916203673522,15,SL
SHORT,0.015206,0.015268857142857143,-0.005116689433206644,3,SL
LONG,0.015248,0.015182857142857142,-0.00527222305501429,2,SL
SHORT,0.015229,0.015292,-0.005119801203243512,9,SL
SHORT,0.015161,0.015230357142857143,-0.005553875014655762,2,SL
LONG,0.015226,0.015157428571428572,-0.005503574712428016,5,SL
SHORT,0.015189,0.015257642857142857,-0.005498916234018546,3,SL
SHORT,0.015275,0.015346142857142857,-0.005635878722433651,3,SL
SHORT,0.015363,0.015431,-0.005406713758019598,2,SL
LONG,0.015506,0.015441,-0.005191925706178323,1,SL
SHORT,0.015478,0.015546571428571429,-0.005410710675757601,5,SL
LONG,0.015474,0.015604571428571428,0.007438117395077382,8,TP
LONG,0.015542,0.015666714285714284,0.00702433957755011,8,TP
SHORT,0.015505,0.015566357142857142,-0.004941650721106416,2,SL
LONG,0.015533,0.015656714285714284,0.006964609908857501,5,TP
LONG,0.015584,0.01570457142857143,0.00673687298327963,7,TP
LONG,0.015639,0.015574214285714287,-0.005142573968010321,7,SL
LONG,0.01567,0.01560742857142857,-0.0049930713829884335,3,SL
SHORT,0.015607,0.01567585714285714,-0.005392559987605904,6,SL
LONG,0.015609,0.0155415,-0.005324428214491638,1,SL
LONG,0.015557,0.015488499999999999,-0.005403162563476282,11,SL
LONG,0.015588,0.015517285714285714,-0.005536456614978479,10,SL
SHORT,0.015658,0.015538285714285713,0.006704471903501098,3,TP
LONG,0.015693,0.015797142857142857,0.005636261845590852,2,TP
LONG,0.015744,0.0156915,-0.004334603658536661,3,SL
LONG,0.015816,0.015764,-0.0042878098128477085,5,SL
SHORT,0.015793,0.015849714285714286,-0.004578252875220733,6,SL
LONG,0.015826,0.015767285714285713,-0.00470998898738073,4,SL
LONG,0.015891,0.015829142857142858,-0.004892589695874471,2,SL
SHORT,0.015857,0.015734,0.006817465361637188,2,TP
SHORT,0.015768,0.015831857142857144,-0.005033458758560982,7,SL
SHORT,0.015856,0.015914714285714282,-0.004689308187391549,4,SL
LONG,0.015884,0.015825642857142858,-0.004673957621325941,15,SL
SHORT,0.01589,0.015796428571428572,0.004923581279674517,3,TP
SHORT,0.015808,0.015716142857142856,0.004844763800641806,6,TP
LONG,0.015773,0.015723214285714285,-0.004156388403329324,1,SL
LONG,0.01572,0.015823,0.005552162849872811,5,TP
LONG,0.015764,0.015859285714285715,0.0050445137202305155,4,TP
SHORT,0.015856,0.015773285714285715,0.00424394772354686,3,TP
SHORT,0.015781,0.015825071428571428,-0.0037849118261709105,3,SL
LONG,0.015947,0.015910857142857143,-0.0032664361411460776,3,SL
LONG,0.015937,0.015904785714285715,-0.0030213519303686756,11,SL
LONG,0.01599,0.01595957142857143,-0.0029029750737067364,2,SL
LONG,0.016117,0.01609285714285714,-0.002497974631932575,1,SL
SHORT,0.016073,0.016100142857142858,-0.0026858767890258753,2,SL
LONG,0.016123,0.016183714285714284,0.0027656940838730612,2,TP
LONG,0.016189,0.0161555,-0.003069306319105513,17,SL
SHORT,0.01573,0.015759214285714286,-0.0028537907528022313,1,SL
SHORT,0.015753,0.015781642857142855,-0.0028149477467037656,12,SL
LONG,0.015824,0.015888857142857146,0.0030986566517406952,4,TP
LONG,0.015899,0.0158655,-0.003107050757909179,1,SL
LONG,0.015996,0.01595092857142857,-0.0038176687028900194,10,SL
SHORT,0.01599,0.01603464285714286,-0.003784150388667417,2,SL
LONG,0.015738,0.015683285714285712,-0.004476571719042254,3,SL
SHORT,0.015699,0.015595857142857146,0.0056134779382802655,5,TP
LONG,0.015666,0.015616214285714285,-0.004177946781929952,1,SL
SHORT,0.015605,0.01565714285714286,-0.004330291970803034,2,SL
SHORT,0.015639,0.0156955,-0.004599757892389643,4,SL
LONG,0.016001,0.016075000000000002,0.00362471095556527,7,TP
LONG,0.016168,0.016130071428571428,-0.0033459037251714055,15,SL
LONG,0.016201,0.016160214285714285,-0.0035174812842241323,1,SL
SHORT,0.015969,0.016013785714285717,-0.003796697488324895,2,SL
SHORT,0.016037,0.01594842857142857,0.004553614776198312,7,TP
SHORT,0.015993,0.016035285714285714,-0.003637041524495065,10,SL
LONG,0.01619,0.016149857142857143,-0.0034794846907261192,2,SL
SHORT,0.016026,0.015929142857142857,0.00508049935428312,2,TP
SHORT,0.015928,0.01583457142857143,0.004900290503599637,7,TP
LONG,0.015934,0.015889785714285714,-0.0037748390682996727,1,SL
SHORT,0.015884,0.015791285714285713,0.004871230968255592,7,TP
SHORT,0.015902,0.015941285714285713,-0.003464400612963602,2,SL
LONG,0.015409,0.015373428571428573,-0.003308483910145265,3,SL
SHORT,0.015289,0.015321785714285715,-0.003139810260833097,1,SL
SHORT,0.015246,0.015173142857142857,0.003801717320076726,5,TP
SHORT,0.015166,0.015208857142857144,-0.0038179068587853573,3,SL
SHORT,0.01514,0.015184285714285714,-0.003916549063881835,1,SL
LONG,0.015195,0.015148428571428571,-0.004064917971137171,13,SL
SHORT,0.015204,0.015249714285714287,-0.00399771424288986,2,SL
SHORT,0.015145,0.015174714285714286,-0.0029581446579366446,5,SL
SHORT,0.015193,0.015215714285714286,-0.0024928175758144313,3,SL
LONG,0.015327,0.015298571428571429,-0.0028548033815209975,1,SL
SHORT,0.015136,0.015171214285714286,-0.003321125062971663,2,SL
LONG,0.015173,0.015216,0.001833981414354314,20,TIME
SHORT,0.015167,0.015191857142857142,-0.002636214889555454,5,SL
LONG,0.01527,0.015241357142857143,-0.002875760127233561,9,SL
LONG,0.015213,0.015279000000000001,0.00333839479392617,7,TP
SHORT,0.01508,0.015102214285714285,-0.002470929050139236,1,SL
LONG,0.015122,0.015173857142857143,0.002429251610709061,4,TP
LONG,0.014956,0.014921428571428572,-0.0033115424292209364,14,SL
SHORT,0.01495,0.014984428571428572,-0.0032976232469897884,1,SL
LONG,0.014688,0.014769428571428572,0.004543884220354789,2,TP
LONG,0.014786,0.014744,-0.0038405248207764578,9,SL
LONG,0.014792,0.014749214285714286,-0.003892490149115301,8,SL
SHORT,0.014511,0.014547928571428571,-0.0035384075297907316,5,SL
LONG,0.014412,0.01437742857142857,-0.003398794655247616,3,SL
LONG,0.014427,0.014501857142857144,0.004188683916070191,4,TP
SHORT,0.014419,0.014449428571428571,-0.0031058667668518716,1,SL
SHORT,0.014397,0.014433785714285715,-0.0035485839275906086,2,SL
SHORT,0.014694,0.014647428571428572,0.002179495181991898,2,TP
SHORT,0.014631,0.014580571428571429,0.002458614202852983,2,TP
SHORT,0.014172,0.0142035,-0.003217763227373548,3,SL
LONG,0.014197,0.014261285714285714,0.003528119622857929,6,TP
LONG,0.014209,0.014259285714285714,0.002539004453917638,2,TP
LONG,0.014273,0.014315428571428571,0.001972645654632622,4,TP
LONG,0.014541,0.014590714285714285,0.002418904182262983,4,TP
LONG,0.014571,0.014614571428571428,0.0019902840279616427,3,TP
LONG,0.014581,0.014626142857142857,0.0020960055649720264,2,TP
LONG,0.014594,0.014641571428571427,0.00225965661034866,1,TP
LONG,0.014642,0.014615857142857144,-0.002785470368997122,1,SL
SHORT,0.014955,0.014877999999999999,0.004175426804678196,2,TP
LONG,0.014834,0.014917428571428571,0.00462414530326083,1,TP
LONG,0.015057,0.015156142857142856,0.005584502699266581,2,TP
LONG,0.015085,0.015189142857142858,0.005903735972347169,2,TP
LONG,0.015125,0.015237285714285714,0.006423848878394423,2,TP
LONG,0.015188,0.015128142857142857,-0.00494108130478954,5,SL
LONG,0.01521,0.015149214285714285,-0.004996430919507854,1,SL
SHORT,0.01517,0.015233,-0.005135757894045855,5,SL
LONG,0.015199,0.015136142857142858,-0.0051356104254979265,1,SL
LONG,0.015249,0.015178714285714287,-0.005609201540147767,2,SL
LONG,0.015289,0.015216428571428572,-0.0057466432449100316,1,SL
SHORT,0.015211,0.015053857142857143,0.009438710534556916,10,TP
SHORT,0.015156,0.015010142857142856,0.008717238819465067,8,TP
SHORT,0.015006,0.015054857142857142,-0.004245274424960143,7,SL
SHORT,0.014982,0.0150305,-0.004226772229799391,5,SL
SHORT,0.015182,0.015105,0.0040976497848393975,9,TP
SHORT,0.015088,0.015027285714285715,0.003040269604814073,2,TP
SHORT,0.014986,0.01500642857142857,-0.0023613213384738865,1,SL
SHORT,0.015021,0.015037642857142857,-0.002106746403074177,4,SL
LONG,0.015403,0.015372285714285715,-0.0029940456868327017,1,SL
SHORT,0.015381,0.015316285714285715,0.0032251944708713296,3,TP
SHORT,0.015275,0.015205857142857142,0.0035471200007516366,2,TP
SHORT,0.015168,0.015123,0.001975600079349272,2,TP
LONG,0.015605,0.015695285714285714,0.004785691399276649,2,TP
LONG,0.015646,0.01573957142857143,0.004980533591424475,15,TP
LONG,0.015666,0.015616071428571429,-0.004187065711002801,2,SL
SHORT,0.015743,0.01578142857142857,-0.0034350502398841068,1,SL
LONG,0.015845,0.015804428571428573,-0.0035605193165937346,1,SL
SHORT,0.015586,0.01563857142857143,-0.004361651594044113,3,SL
SHORT,0.015526,0.015576,-0.004210066769388731,3,SL
LONG,0.015598,0.015642,0.0018208744710860323,20,TIME
LONG,0.015719,0.01578857142857143,0.0034259449437895615,6,TP
LONG,0.015893,0.015962857142857143,0.0033954661081697654,5,TP
LONG,0.015926,0.015889,-0.003323245008162722,2,SL
LONG,0.015948,0.015911785714285715,-0.0032707728689669304,5,SL
LONG,0.015981,0.015941928571428572,-0.0034448675659487496,1,SL
LONG,0.015993,0.016074142857142856,0.00407364829255641,1,TP
LONG,0.016103,0.016196142857142857,0.004784192830085022,6,TP
LONG,0.01615,0.01625057142857143,0.005227333038478555,11,TP
SHORT,0.016149,0.01619807142857143,-0.0040294611792409665,4,SL
LONG,0.016234,0.016192142857142856,-0.0035783628715746465,1,SL
LONG,0.016149,0.016241142857142857,0.004705793370664125,3,TP
LONG,0.016305,0.016252142857142857,-0.004241775090901067,1,SL
SHORT,0.016248,0.016137714285714286,0.005834035621967827,6,TP
LONG,0.016263,0.016208357142857142,-0.0043599494031149036,1,SL
SHORT,0.015976,0.01602,-0.0037465667915105296,1,SL
SHORT,0.015746,0.015775928571428573,-0.002897103634379782,4,SL
LONG,0.015835,0.015809428571428568,-0.0026148676079210667,1,SL
SHORT,0.015728,0.015673714285714284,0.0024634875496737383,5,TP
LONG,0.015666,0.015737857142857144,0.0035868213237039157,6,TP
LONG,0.015701,0.015774714285714288,0.003694878397190516,6,TP
LONG,0.016068,0.016145714285714284,0.0038365873608591236,2,TP
SHORT,0.016107,0.016047285714285712,0.00272114554308256,4,TP
SHORT,0.015934,0.015875285714285713,0.0026984711186300867,4,TP
LONG,0.01608,0.01604842857142857,-0.002963397299218239,1,SL
LONG,0.016102,0.01605914285714286,-0.0036616037049523866,2,SL
LONG,0.016366,0.016320428571428573,-0.003784518426703242,4,SL
SHORT,0.016358,0.016257000000000004,0.0052127083717782305,4,TP
SHORT,0.0163,0.01634435714285714,-0.003713911747610487,7,SL
SHORT,0.016247,0.01629092857142857,-0.003696505066360211,3,SL
SHORT,0.016152,0.01606385714285714,0.004487029444983138,13,TP
LONG,0.016148,0.01610292857142857,-0.003791146183516835,2,SL
SHORT,0.016,0.01603907142857143,-0.00343601562256468,1,SL
LONG,0.016037,0.015995214285714286,-0.00360558173509462,1,SL
SHORT,0.016007,0.016054214285714286,-0.003940927838262275,4,SL
SHORT,0.015956,0.015837428571428572,0.006486785372806004,2,TP
SHORT,0.015921,0.015801000000000003,0.006594456047085529,5,TP
SHORT,0.015859,0.01573557142857143,0.0068439205076761276,5,TP
SHORT,0.015827,0.01570657142857143,0.006667400360176657,4,TP
SHORT,0.015771,0.0158325,-0.0048844149692088825,13,SL
SHORT,0.015712,0.015776214285714286,-0.005070322863986009,4,SL
SHORT,0.015704,0.015767999999999997,-0.005058853373921756,3,SL
SHORT,0.015738,0.015801142857142854,-0.004996094315058429,2,SL
SHORT,0.016019,0.01606492857142857,-0.003858934057774487,3,SL
SHORT,0.01595,0.015995785714285712,-0.003862361068317054,1,SL
LONG,0.016028,0.016127142857142857,0.005185603764840009,1,TP
LONG,0.01616,0.016102857142857144,-0.004536067892503492,4,SL
SHORT,0.016212,0.016092000000000002,0.006457121551081247,2,TP
SHORT,0.016159,0.016036714285714286,0.00662535966576694,3,TP
SHORT,0.016062,0.015933285714285712,0.007078326593923046,5,TP
SHORT,0.015919,0.015983999999999998,-0.005066566566566565,5,SL
SHORT,0.015879,0.015948,-0.005326561324303979,4,SL
LONG,0.015884,0.016004714285714285,0.00659974097924232,3,TP
SHORT,0.015888,0.015775,0.006163232963549815,16,TP
LONG,0.016009,0.015962499999999998,-0.0039046161534137527,2,SL
LONG,0.016081,0.016151571428571432,0.0033884975170342954,5,TP
SHORT,0.016113,0.01614728571428571,-0.00312331130397847,2,SL
SHORT,0.015938,0.015981357142857144,-0.003712982537689035,1,SL
LONG,0.015966,0.016049,0.004198546912188462,5,TP
LONG,0.016316,0.016380857142857145,0.0029750639162261514,2,TP
LONG,0.016239,0.016326285714285713,0.004375067078373874,6,TP
LONG,0.016291,0.016383571428571428,0.004682366249550652,6,TP
LONG,0.016403,0.01635821428571429,-0.003730336785082721,6,SL
LONG,0.016151,0.01611285714285714,-0.0033616405883758462,2,SL
SHORT,0.016113,0.01615242857142857,-0.0034410305394146903,3,SL
SHORT,0.015961,0.016001357142857144,-0.003522107499810411,7,SL
LONG,0.016131,0.01608392857142857,-0.0039180725665756136,5,SL
LONG,0.016319,0.016405857142857142,0.004322454982360503,2,TP
LONG,0.016376,0.01646957142857143,0.004713936771582162,2,TP
LONG,0.016472,0.016420285714285714,-0.004139526816068883,4,SL
SHORT,0.016446,0.016497571428571427,-0.004126001229618258,2,SL
SHORT,0.01644,0.016330142857142856,0.005727261593372447,2,TP
SHORT,0.016147,0.016020142857142858,0.00691860247367171,6,TP
SHORT,0.016129,0.016189785714285716,-0.004754571886154023,13,SL
SHORT,0.015929,0.015976857142857143,-0.003995404066596485,3,SL
LONG,0.016324,0.016404000000000002,0.0039007596177408352,1,TP
LONG,0.016423,0.016375214285714285,-0.003909682414036108,1,SL
LONG,0.016582,0.016522,-0.0046183813773972284,3,SL
LONG,0.01664,0.01657735714285714,-0.004764594780219843,1,SL
SHORT,0.016582,0.016451,0.006963041760379319,3,TP
SHORT,0.016524,0.016389142857142856,0.007228443917576156,9,TP
SHORT,0.016419,0.016493,-0.005486751955375068,6,SL
SHORT,0.016328,0.016394285714285712,-0.0050432206343673505,9,SL
LONG,0.016317,0.016276428571428574,-0.0034864514660433157,3,SL
LONG,0.016301,0.016270357142857142,-0.002879814560018289,1,SL
SHORT,0.015944,0.015973,-0.002815563763851613,5,SL
SHORT,0.015937,0.015867571428571425,0.0033755007967734016,5,TP
LONG,0.01583,0.015790571428571428,-0.0034907499323165716,10,SL
SHORT,0.015796,0.01573,0.0031958041958041203,2,TP
SHORT,0.015719,0.015754357142857143,-0.003244277093411795,5,SL
SHORT,0.015706,0.015741714285714286,-0.0032687672426310313,2,SL
SHORT,0.015758,0.015784785714285716,-0.002696932398738471,8,SL
SHORT,0.01572,0.01574764285714286,-0.0027553647484658264,2,SL
LONG,0.01574,0.01579785714285714,0.002675803231076191,7,TP
LONG,0.015831,0.01579892857142857,-0.003025862457926242,6,SL
SHORT,0.015679,0.01570892857142857,-0.002905194952824929,2,SL
LONG,0.015748,0.01571357142857143,-0.0031862186581516063,2,SL
LONG,0.015709,0.0156745,-0.003196193265007307,1,SL
SHORT,0.015507,0.015448857142857143,0.0027635701207672234,7,TP
SHORT,0.015325,0.015369642857142858,-0.0039046125246892096,7,SL
SHORT,0.01529,0.015335,-0.003934463645255958,3,SL
