vol_threshold,min_zone_bars,sl_atr_mult,rr_target,session,total_trades,total_return,avg_trade,win_rate,actual_rr,tp_count,sl_count,zones_found,acc_zones,dist_zones
1.3,5,1.0,3.0,all,100,16.2309096632468,0.16230909663246798,50.0,1.9007372567149778,42,48,170,40,60
1.3,5,1.5,2.0,all,100,15.05143555311255,0.1505143555311255,56.00000000000001,1.3584209135000243,45,40,170,40,60
1.3,5,1.5,4.0,all,100,14.743467338472872,0.1474346733847287,46.0,1.8896996899529028,13,47,170,40,60
1.3,5,1.0,4.0,all,100,14.335478451013254,0.14335478451013253,43.0,2.2619436093387244,27,54,170,40,60
1.3,5,1.5,7.0,all,100,14.282355549627049,0.1428235554962705,45.0,1.9381733483354882,2,48,170,40,60
1.3,5,1.5,5.0,all,100,13.871477765472173,0.13871477765472173,45.0,1.9175767169718134,6,48,170,40,60
1.3,5,1.5,3.0,all,100,13.764687658563027,0.13764687658563027,47.0,1.7836336161812976,25,46,170,40,60
1.3,5,1.0,7.0,all,100,12.200639678003022,0.12200639678003024,38.0,2.544994498565712,5,59,170,40,60
1.3,5,2.0,3.0,all,100,12.001337951024208,0.12001337951024207,47.0,1.6169078894234408,19,43,170,40,60
1.3,5,2.0,7.0,all,100,11.970793276207402,0.11970793276207405,46.0,1.6782481423366222,2,44,170,40,60
1.3,5,2.0,4.0,all,100,11.703297091709741,0.1170329709170974,47.0,1.6047579117457433,8,43,170,40,60
1.3,5,1.0,5.0,all,100,11.510746361165184,0.11510746361165183,38.0,2.4933448063448274,15,59,170,40,60
1.3,5,2.0,5.0,all,100,10.88734214151257,0.10887342141512571,46.0,1.632601841167044,3,44,170,40,60
1.3,5,1.5,5.0,asian,26,10.016516422939636,0.3852506316515245,69.23076923076923,1.836356462383806,1,7,170,40,60
1.3,5,1.5,4.0,asian,26,10.011666698430322,0.3850641037857816,69.23076923076923,1.8356825364855018,5,7,170,40,60
1.5,5,1.5,7.0,all,65,10.009782978090799,0.1539966612013969,41.53846153846154,2.1907498555051568,3,33,100,26,39
1.3,5,2.0,4.0,asian,26,9.81635676953898,0.3775521834438069,69.23076923076923,1.5658595778857942,2,7,170,40,60
1.3,5,1.0,2.0,all,100,9.743915838490805,0.09743915838490805,56.99999999999999,1.2121804094533366,55,42,170,40,60
