direction,entry,exit,pnl,bars,exit_reason,zone_bars
LONG,0.015327,0.015307285714285714,-0.002286245561054722,9,SL,6
LONG,0.015887,0.01600807142857143,0.006620786087457088,7,TP,5
LONG,0.014374,0.014522928571428572,0.009360969210280623,11,TP,5
LONG,0.014771,0.014755142857142856,-0.0020735321140845633,4,SL,5
LONG,0.01435,0.014519714285714285,0.01082677949228461,13,TP,7
LONG,0.012846,0.013082785714285715,0.01743264162273983,3,TP,11
LONG,0.013158,0.013080357142857142,-0.006900809936377649,25,SL,8
LONG,0.012626,0.012802357142857143,0.01296777624403156,5,TP,6
LONG,0.013049,0.013032428571428572,-0.0022699385831426158,7,SL,5
LONG,0.012841,0.012918785714285713,0.005057605660440224,5,TP,5
LONG,0.012285,0.012248285714285715,-0.00398854584568875,25,SL,8
LONG,0.012178,0.012262,0.005897684348825761,8,TP,5
LONG,0.012419,0.012453071428571428,0.0017434921146169966,3,TP,5
LONG,0.011538,0.011617285714285714,0.0058717034395662235,1,TP,6
LONG,0.011243,0.011309642857142855,0.004927497744628196,6,TP,5
LONG,0.010677,0.01071,0.0020907558302895044,30,TIME,5
LONG,0.01036,0.010334857142857142,-0.0034269167126309555,15,SL,5
LONG,0.010393,0.010350071428571427,-0.00513052741543074,2,SL,5
LONG,0.011008,0.010981285714285714,-0.003426806478405319,6,SL,5
LONG,0.011004,0.010985642857142857,-0.002668224541725105,2,SL,5
LONG,0.00977,0.009740071428571428,-0.00406331334990495,1,SL,8
LONG,0.009691,0.00973942857142857,0.003997272874684766,7,TP,5
LONG,0.011513,0.011461428571428572,-0.005479408370661742,7,SL,5
LONG,0.011859,0.011915785714285712,0.003788406635105158,2,TP,5
LONG,0.011995,0.011965,-0.003501042100875428,2,SL,5
LONG,0.011366,0.011338357142857141,-0.0034320655589352702,9,SL,7
SHORT,0.014902,0.014777071428571431,0.007454217199425518,7,TP,5
SHORT,0.015176,0.015236357142857144,-0.004961389345972344,4,SL,6
SHORT,0.015315,0.015185142857142857,0.007551591781440493,15,TP,7
SHORT,0.015629,0.0156805,-0.004284334045470461,3,SL,5
SHORT,0.016351,0.016400285714285714,-0.004005174125886301,19,SL,5
SHORT,0.015802,0.01584057142857143,-0.0034349770931785253,5,SL,5
SHORT,0.014681,0.014618642857142856,0.003265590415369891,4,TP,5
SHORT,0.013302,0.013323857142857142,-0.0026404516066775843,12,SL,6
SHORT,0.013388,0.013352,0.001696225284601672,30,TIME,5
SHORT,0.013095,0.013054071428571432,0.00213531082256735,9,TP,6
SHORT,0.012877,0.012901642857142856,-0.002910055751482287,5,SL,6
SHORT,0.012396,0.012449142857142858,-0.005268796474800385,6,SL,5
SHORT,0.012978,0.012938999999999997,0.0020141432877348606,3,TP,5
SHORT,0.012879,0.012607928571428574,0.020500076482485308,25,TP,9
SHORT,0.012152,0.012182071428571428,-0.0034684987892041877,8,SL,5
SHORT,0.01259,0.012605428571428571,-0.002223962465150996,3,SL,5
SHORT,0.011845,0.011902928571428571,-0.005866749479419896,8,SL,5
SHORT,0.010586,0.010647285714285713,-0.0067559941500850975,3,SL,8
SHORT,0.010367,0.010390857142857143,-0.0032959744830620688,1,SL,5
SHORT,0.010556,0.010522,0.002231324843185668,30,TIME,6
SHORT,0.011227,0.011157785714285716,0.005203227726955252,5,TP,5
SHORT,0.011284,0.011313428571428572,-0.003601207162158725,7,SL,5
SHORT,0.011344,0.011237928571428572,0.008438699302743768,6,TP,5
SHORT,0.011364,0.011384214285714287,-0.002775641709384601,4,SL,5
SHORT,0.011673,0.011578714285714286,0.007143021060813549,6,TP,5
SHORT,0.01103,0.010985214285714284,0.003076908571911675,4,TP,5
SHORT,0.011097,0.011028642857142855,0.005198146385062442,10,TP,6
SHORT,0.009738,0.0097525,-0.002486798256857269,1,SL,6
SHORT,0.009526,0.009487,0.0031108885843785803,30,TIME,6
SHORT,0.01013,0.010158428571428572,-0.0037985205810797664,1,SL,5
SHORT,0.01083,0.0108895,-0.006463979062399593,7,SL,6
SHORT,0.011699,0.011616,0.006145316804407775,30,TIME,5
SHORT,0.011868,0.011760642857142858,0.008128509738899115,25,TP,5
SHORT,0.011623,0.011642,-0.002632021989348864,2,SL,5
SHORT,0.010927,0.010951571428571429,-0.003243644095433206,7,SL,5
SHORT,0.010917,0.010929,-0.002097996157013448,30,TIME,8
SHORT,0.011575,0.011474499999999999,0.007758551570874795,3,TP,5
SHORT,0.011631,0.011675428571428573,-0.00480530540328905,1,SL,5
SHORT,0.011738,0.011789642857142858,-0.005380358062464063,3,SL,7
