entry_idx,exit_idx,entry_price,exit_price,pnl_gross,pnl_net,exit_reason,entry_rsi,entry_bb_dist,entry_atr,entry_bb_width,entry_volume_ratio,entry_hour,entry_trend_15m,entry_distance_from_sma50,hold_bars
350,358,6.22e-06,6.1825e-06,-0.006028938906752379,-0.007028938906752379,SL,38.46153846153821,-0.0404843605738521,2.5000000000000002e-08,0.7040068191757916,2.4346959553041847,18,0,-0.15730842081608257,8
556,557,6.26e-06,6.245e-06,-0.0023961661341852514,-0.0033961661341852514,SL,33.33333333333333,-0.008520511400252308,9.999999999999904e-09,0.619954475650526,1.185940210635851,22,0,-0.43579221935933926,1
610,622,6.22e-06,6.191071428571429e-06,-0.004650895728066096,-0.005650895728066096,SL,36.363636363636225,-0.1462197633059212,1.9285714285714162e-08,1.2092488512058952,2.427641448463859,23,0,-0.6865719303848173,12
717,719,6.11e-06,6.1457142857142854e-06,0.0058452186111759286,0.0048452186111759285,TP,23.52941176470577,-0.2589143667893741,1.7857142857142806e-08,1.9283571731108242,4.278781337843404,0,0,-1.591289782244553,2
831,837,6.22e-06,6.2399999999999995e-06,0.003215434083601254,0.002215434083601254,TP,24.999999999999815,-0.1710838091075844,9.999999999999965e-09,1.0645067094025942,0.11795908981154447,2,0,-0.47044516273563763,6
878,886,6.22e-06,6.247142857142857e-06,0.004363803399173083,0.003363803399173083,TP,26.666666666666515,-0.34427078394775823,1.3571428571428502e-08,1.0839736003917455,1.2012708209002279,3,0,-0.6167513501422034,8
968,976,6.21e-06,6.189642857142857e-06,-0.00327812284334017,-0.00427812284334017,SL,39.99999999999988,-0.024528921538432343,1.3571428571428684e-08,1.1676178055367927,2.4267931450985594,5,0,-0.28901734104045695,8
995,996,6.16e-06,6.141785714285715e-06,-0.0029568645640073443,-0.003956864564007344,SL,40.0,-0.02566515917814241,1.2142857142857027e-08,0.7411632413620077,1.3735896522633764,5,0,-0.9295892437839834,1
997,1000,6.14e-06,6.167142857142857e-06,0.0044206607724524005,0.0034206607724524005,TP,33.3333333333331,-0.17034845525445239,1.3571428571428562e-08,1.0198239089555956,1.788774290751523,5,0,-1.174955737968775,3
1017,1022,6.12e-06,6.094285714285713e-06,-0.004201680672269004,-0.005201680672269004,SL,36.842105263158075,-0.12704645651969745,1.71428571428574e-08,0.8195958434672662,3.622105740366249,5,0,-0.8714244063623873,5
1154,1155,6.11e-06,6.095e-06,-0.002454991816693952,-0.003454991816693952,SL,37.50000000000026,-0.045181048499837576,1.0000000000000025e-08,0.594949930582252,1.1582433799921261,8,0,-0.25466893039049765,1
1194,1199,6.17e-06,6.150714285714286e-06,-0.003125723547117376,-0.004125723547117376,SL,38.46153846153846,-0.009881279142982835,1.2857142857142733e-08,0.6103971185796562,1.7267536582835084,8,0,0.25021934812985225,5
1204,1210,6.13e-06,6.155714285714285e-06,0.004194826380796934,0.0031948263807969344,TP,33.333333333333144,-0.07722746004595686,1.2857142857142856e-08,1.3040420369936845,2.623186079750191,9,0,-0.49993507336709153,6
1245,1246,6.12e-06,6.101785714285715e-06,-0.0029761904761903546,-0.003976190476190355,SL,31.24999999999983,-0.24672518812077962,1.2142857142857087e-08,1.0494713213655806,3.7947322977672275,9,0,-0.6525762150579536,1
1247,1263,6.11e-06,6.138571428571428e-06,0.004676174888940787,0.0036761748889407872,TP,27.777777777777644,-0.014406997201106313,1.428571428571421e-08,1.6108954024063353,1.6899249873777065,9,0,-0.7730284526438767,16
1301,1303,6.16e-06,6.18e-06,0.0032467532467532756,0.0022467532467532756,TP,38.46153846153846,-0.008658819418367339,9.999999999999904e-09,0.6299861014606567,3.7664234801652623,10,0,0.042225614707502704,2
1354,1355,6.16e-06,6.147142857142858e-06,-0.0020871985157698836,-0.0030871985157698836,SL,28.57142857142857,-0.08497029570567191,8.571428571428489e-09,0.5099944511361258,5.614705392565559,11,0,-0.4138644593895536,1
1356,1360,6.13e-06,6.113928571428571e-06,-0.0026217664879981672,-0.0036217664879981673,SL,22.222222222222015,-0.23583551867237665,1.0714285714285671e-08,1.0525856576059038,2.696162890101215,11,0,-0.8668089785885211,4
1391,1393,6.1e-06,6.124285714285715e-06,0.003981264637002324,0.002981264637002324,TP,36.363636363636786,-0.08395912913599354,1.214285714285739e-08,0.8440446758074625,6.172852849940669,12,0,-0.7258405754646419,2
1423,1424,6.13e-06,6.148571428571429e-06,0.003029596830575798,0.002029596830575798,TP,36.3636363636363,-0.055851017646469284,9.285714285714379e-09,0.6362561156068459,0.6562916090611263,12,0,-0.166118367479906,1
