Pattern,Horizon,Avg_Return_%,WinRate_%,Sample_Size
After Lower BB touch,3 candles,0.10726209172216998,69.84517945109077,2842
After Lower BB touch,5 candles,0.10680729596856137,72.97677691766363,2842
After Lower BB touch,1 candles,0.07980867947803788,41.097818437719916,2842
After 3+ consecutive red,1 candle,0.0539936082741165,19.84732824427481,262
After >2% body candle,3 candles,0.02128342465845534,50.0,4
After bullish SMA50 cross,10 candles,0.007305107559741294,60.86871453727255,5111
After volume spike (>3x avg),3 candles,0.006024157070074731,51.218008017267955,3243
After bullish SMA50 cross,1 candles,0.0016835372144611749,24.554881627861473,5111
After bullish SMA20 cross,5 candles,0.0015835970735882982,58.27236554999359,7791
After bullish SMA50 cross,5 candles,0.0003220832995355604,58.40344355312072,5111
After rejection wick (>60% of range),1 candle,-0.0001843287984409588,26.87581321382102,6917
After bullish SMA20 cross,1 candles,-0.0005183290129338727,24.61498973305955,7792
After bullish SMA20 cross,10 candles,-0.0009478098348446237,59.79976896418945,7791
After volume spike (>3x avg),5 candles,-0.003812284493826348,57.66265803268579,3243
After volume spike (>3x avg),1 candles,-0.004545228529639104,23.743447425223557,3243
After >2% body candle,5 candles,-0.02172544099227902,25.0,4
After 3+ consecutive green,1 candle,-0.05650280788020003,24.0,250
After Upper BB touch,1 candles,-0.07481506593759589,40.63789868667917,2665
After Upper BB touch,3 candles,-0.10459565448206831,52.495309568480295,2665
After Upper BB touch,5 candles,-0.11977937079431604,55.38461538461539,2665
After >2% body candle,1 candles,-0.21979148612740196,25.0,4
