direction,pnl,bars,exit_reason,zone_bars,session,entry_idx
SHORT,-0.005675124378109541,21,SL,3,us,297
SHORT,-0.00567512437810943,20,SL,4,asia_eu,997
SHORT,-0.00567512437810943,4,SL,3,us,4380
SHORT,0.02494102564102555,37,TP,3,us,4645
SHORT,0.02494102564102555,45,TP,4,overnight,4955
SHORT,0.014546965336003005,90,TIME,3,us,6029
SHORT,0.009941666666666661,90,TIME,5,asia_eu,6954
SHORT,0.018192292305640935,90,TIME,3,asia_eu,8523
SHORT,0.02494102564102555,85,TP,4,us,8649
SHORT,0.0006417079733748505,90,TIME,4,asia_eu,14089
SHORT,-0.00567512437810943,8,SL,4,us,15924
SHORT,0.0003054299754300722,90,TIME,3,asia_eu,30084
SHORT,-0.005675124378109541,59,SL,3,overnight,37876
