config,sl,tp,trades,win_rate,return,rsi_threshold
RSI<20,,,64,39.0625,-2.912150080244394,20.0
RSI<25,,,153,37.254901960784316,-10.27342823735998,25.0
Session_Overnight,,,117,33.33333333333333,-15.717665102251763,
Session_Europe,,,225,32.0,-21.89000418265949,
Session_Asia,,,286,33.21678321678322,-22.911644747097753,
Session_US,,,252,32.93650793650794,-29.793688652955705,
SL2.0_TP4.0,2.0,4.0,252,32.93650793650794,-29.793688652955705,
RSI<30,,,252,32.93650793650794,-29.793688652955705,30.0
SL1.0_TP2.0,1.0,2.0,306,33.33333333333333,-30.392854721499795,
SL1.5_TP3.0,1.5,3.0,289,29.757785467128027,-36.73381687841966,
SL2.0_TP6.0,2.0,6.0,216,19.90740740740741,-37.77459871222146,
RSI<35,,,387,33.59173126614987,-45.99845983670743,35.0
SL3.0_TP9.0,3.0,9.0,154,9.740259740259742,-54.71040290556864,
RSI<40,,,580,31.896551724137932,-73.86067148137667,40.0
Session_All Day,,,880,32.84090909090909,-90.31300268496472,
