pattern,occurrences,next_1_avg,reversal_rate,continuation_rate,next_1_winrate,exhaustion_rate,mean_reversion_rate
3 consecutive green,3725,-0.003087726039088895,48.77852348993289,51.22147651006711,,,
3 consecutive red,6747,0.0027382701801895192,47.91759300429821,52.08240699570179,,,
4 consecutive green,1617,-0.0022576430726345856,48.97959183673469,51.02040816326531,,,
4 consecutive red,3514,0.0037695126468544568,47.751849743881614,52.248150256118386,,,
5 consecutive green,702,-0.00783311945727,49.85754985754986,50.14245014245014,,,
5 consecutive red,1836,0.005197806724794719,48.36601307189542,51.63398692810458,,,
Large upper wick (rejection),5718,0.0015388163155568763,,,43.16194473592165,,
Large lower wick (support),5795,-0.0016240899794422656,,,44.21052631578947,,
Volume spike (>3x avg),2741,,,48.02919708029197,,51.97080291970803,
BB upper touch,2198,,,,,,10.828025477707007
BB lower touch,2318,,,,,,8.369283865401208
