direction,pnl,bars,exit_reason,zone_bars,session
LONG,-0.0060000000000000045,39,SL,7,overnight
LONG,-0.0060000000000000045,16,SL,6,overnight
LONG,0.019000000000000017,15,TP,8,overnight
LONG,0.019000000000000017,9,TP,5,overnight
LONG,0.00891620111731839,90,TIME,7,overnight
LONG,-0.0059999999999998934,7,SL,7,overnight
LONG,0.00547948164146861,90,TIME,6,overnight
LONG,0.0011892893230044397,90,TIME,5,overnight
SHORT,-0.00597512437810943,1,SL,7,overnight
SHORT,0.017149053932295044,90,TIME,7,overnight
SHORT,0.0025250987027637404,90,TIME,6,overnight
SHORT,-0.0031660649819493783,90,TIME,7,overnight
SHORT,0.003280279010779875,90,TIME,8,overnight
SHORT,0.012873561406274603,90,TIME,7,overnight
SHORT,-0.00597512437810943,13,SL,5,overnight
SHORT,0.016271458478715917,90,TIME,5,overnight
SHORT,-0.0016580029610132599,90,TIME,6,overnight
SHORT,-0.00597512437810943,42,SL,6,overnight
SHORT,0.004943536404160454,90,TIME,5,overnight
SHORT,0.008947732254257379,90,TIME,5,overnight
SHORT,0.0017962250961202084,90,TIME,5,overnight
