direction,pnl,bars,exit_reason,zone_bars,session
LONG,-0.0060000000000000045,39,SL,7,overnight
LONG,-0.0060000000000000045,16,SL,6,overnight
LONG,-0.0060000000000000045,76,SL,7,asia_eu
LONG,0.014000000000000123,9,TP,7,us
LONG,-0.0060000000000000045,9,SL,7,us
LONG,0.014000000000000123,4,TP,8,overnight
LONG,0.013999999999999901,6,TP,5,overnight
LONG,0.014000000000000123,13,TP,6,asia_eu
LONG,0.00891620111731839,90,TIME,7,overnight
LONG,0.014000000000000123,59,TP,5,asia_eu
LONG,0.0030418118466898356,90,TIME,5,us
LONG,0.0005318200807687976,90,TIME,5,us
LONG,-0.0059999999999998934,73,SL,6,asia_eu
LONG,-0.0060000000000000045,25,SL,7,asia_eu
LONG,0.008209958267376583,90,TIME,5,asia_eu
LONG,0.013999999999999901,58,TP,7,us
LONG,0.0009628567114600148,90,TIME,6,us
LONG,0.013999999999999901,5,TP,6,asia_eu
LONG,-0.0060000000000001155,60,SL,5,us
LONG,-0.0060000000000000045,6,SL,5,us
LONG,-3.225806451612103e-05,90,TIME,7,asia_eu
LONG,-0.0060000000000000045,88,SL,6,asia_eu
LONG,0.0017896291434197362,90,TIME,5,asia_eu
LONG,-0.0059999999999998934,7,SL,7,overnight
LONG,-0.0060000000000000045,66,SL,5,asia_eu
LONG,-0.0027500875043753306,90,TIME,5,asia_eu
LONG,0.010480257436075946,90,TIME,5,asia_eu
LONG,0.0003262599469496816,90,TIME,5,us
LONG,0.00547948164146861,90,TIME,6,overnight
LONG,0.0011892893230044397,90,TIME,5,overnight
LONG,0.009932695592757113,90,TIME,5,asia_eu
LONG,0.005488951245177121,90,TIME,7,asia_eu
LONG,-0.0008235086480762313,90,TIME,5,asia_eu
SHORT,-0.00597512437810943,1,SL,7,overnight
SHORT,0.01422842639593902,74,TP,7,overnight
SHORT,0.0021152647975076775,90,TIME,5,asia_eu
SHORT,0.0025250987027637404,90,TIME,6,overnight
SHORT,-0.0031660649819493783,90,TIME,7,overnight
SHORT,-0.005975124378109541,56,SL,5,asia_eu
SHORT,0.01422842639593902,29,TP,5,us
SHORT,0.01422842639593902,42,TP,8,overnight
SHORT,0.01422842639593902,80,TP,7,overnight
SHORT,0.010609414758269708,90,TIME,5,us
SHORT,0.01422842639593902,14,TP,5,us
SHORT,-0.00597512437810943,13,SL,5,overnight
SHORT,-0.00597512437810943,39,SL,6,asia_eu
SHORT,0.01422842639593902,54,TP,5,overnight
SHORT,-0.0016580029610132599,90,TIME,6,overnight
SHORT,-0.00597512437810943,42,SL,6,overnight
SHORT,0.004943536404160454,90,TIME,5,overnight
SHORT,0.0011462770348357196,90,TIME,5,us
SHORT,0.008947732254257379,90,TIME,5,overnight
SHORT,0.0017962250961202084,90,TIME,5,overnight
