edge_type,lookforward,avg_return,win_rate,sample_size
rsi_overbought_fade,20,0.03996654658278878,43.522530329289424,4616
cross_above_sma200,20,0.03573935077759211,50.318471337579616,785
cross_below_sma200,20,0.028026504753982617,49.554140127388536,785
cross_above_sma200,10,0.023120571794013892,47.261146496815286,785
rsi_overbought_fade,10,0.018533757877263416,44.951351351351356,4625
cross_below_sma50,10,0.015515280923064284,48.842461885940146,1771
cross_above_sma50,10,0.013390280607861252,46.18859401468097,1771
hour_22,1,0.013142815775028144,48.22222222222222,1800
cross_above_sma200,5,0.011612703039266613,45.85987261146497,785
cross_above_sma200,1,0.010761800529315493,46.62420382165605,785
cross_below_sma50,5,0.010685172454995683,49.63297571993224,1771
cross_below_sma200,5,0.010101328556261701,47.261146496815286,785
hour_21,1,0.008986278826497138,48.77777777777778,1800
cross_below_sma200,10,0.008759641659962047,48.28025477707006,785
hour_10,1,0.008468149794641888,47.61111111111111,1800
hour_01,1,0.007324979811854797,49.55555555555556,1800
hour_14,1,0.006196797219874349,45.97701149425287,1740
day_Monday,1,0.006062517268538727,47.673611111111114,5760
cross_above_sma50,5,0.004977503938717133,45.962732919254655,1771
cross_above_sma50,20,0.004382969924416908,46.922642574816486,1771
cross_below_sma50,20,0.0039550487836832685,47.1485036702428,1771
hour_02,1,0.003794366096796953,48.333333333333336,1800
cross_below_sma200,1,0.0035047058047382963,46.496815286624205,785
hour_07,1,0.0030890412507630543,47.22222222222222,1800
rsi_oversold_bounce,1,0.0026806765095005254,47.609302325581396,5375
cross_below_sma50,1,0.0026054892677668225,47.48729531338227,1771
cross_below_sma20,1,0.0020482479606680273,47.03959317108609,2753
rsi_oversold_bounce,5,0.0014704411779106255,49.265116279069765,5375
cross_above_sma20,1,0.0014585663733611824,45.37172011661808,2744
rsi_overbought_fade,1,0.001372171908315823,45.753187810676465,4627
hour_03,1,0.0013477741727525275,44.666666666666664,1800
hour_20,1,0.0010986806705690327,46.0,1800
day_Sunday,1,0.0010081016798396516,45.86707410236822,6545
cross_below_sma20,20,0.0007015331107054302,47.98401743552488,2753
rsi_overbought_fade,5,0.0006327473042337495,45.08320726172466,4627
day_Saturday,1,0.0005889758332532002,45.708333333333336,7200
hour_18,1,0.0005168368499947679,47.11111111111111,1800
cross_below_sma20,5,-4.562546982116222e-05,48.0203414456956,2753
hour_11,1,-0.00033121620210188916,46.05555555555556,1800
cross_above_sma50,1,-0.0006437908959508209,44.60756634669678,1771
day_Tuesday,1,-0.0007832896506783108,46.822916666666664,5760
cross_above_sma20,10,-0.0011143537525829927,45.04373177842565,2744
day_Wednesday,1,-0.0012904343610892176,46.666666666666664,5760
hour_00,1,-0.0014789841174500714,46.77777777777778,1800
hour_19,1,-0.001650779482911813,44.22222222222222,1800
day_Thursday,1,-0.0019783958090192144,46.49305555555556,5760
hour_05,1,-0.002337517822501041,45.83333333333333,1800
day_Friday,1,-0.0026845221374149344,46.05855855855856,6216
hour_04,1,-0.0028277065234447543,45.22222222222222,1800
hour_17,1,-0.0031377338214338166,47.11111111111111,1800
cross_above_sma20,5,-0.0031842234071979897,44.71574344023323,2744
cross_below_sma20,10,-0.003191313640395605,47.33018525245187,2753
hour_15,1,-0.0032773200154877853,47.98850574712644,1740
hour_06,1,-0.0033680260599142334,44.72222222222222,1800
hour_13,1,-0.003515094108094979,45.95988538681948,1745
hour_12,1,-0.0036727206324409013,45.72222222222222,1800
hour_16,1,-0.0041204320805307325,46.28378378378378,1776
hour_08,1,-0.004687806477207599,44.388888888888886,1800
cross_above_sma20,20,-0.004689392977197997,46.2463556851312,2744
hour_09,1,-0.007175125157320716,45.38888888888889,1800
hour_23,1,-0.00926609170502177,45.166666666666664,1800
rsi_oversold_bounce,10,-0.01190501253700761,48.18604651162791,5375
rsi_oversold_bounce,20,-0.029008605062725776,47.77674418604651,5375
