volume_threshold,min_zone_bars,sl_type,sl_value,rr_ratio,session,total_return,max_drawdown,return_dd_ratio,win_rate,num_trades,avg_trade
1.3,3,atr,1.0,4.0,asia_eu,31.987881509958605,-1.779295506478335,17.97783526878597,45.12820512820513,195,0.16404041799978772
1.3,3,atr,2.0,3.0,all,78.69264939892234,-6.260059689830011,12.570590904550818,45.99406528189911,337,0.23350934539739568
1.3,5,atr,1.5,3.0,overnight,11.247704469636039,-0.9416053519276784,11.945242714062163,46.875,32,0.3514907646761262
1.3,3,fixed_pct,0.5,4.0,all,65.71614257786366,-5.586144352793002,11.764132544302479,43.02670623145401,337,0.19500339043876458
1.3,3,atr,1.5,3.0,asia_eu,41.40671149303706,-3.5621877780765523,11.623955297324366,49.743589743589745,195,0.21234211022070287
1.3,3,atr,1.5,4.0,all,67.55578279466769,-5.918238629109729,11.414846042602036,39.46587537091988,337,0.20046226348566082
1.3,3,atr,2.0,2.0,all,67.12195022430123,-5.916084640961599,11.345671047294422,56.37982195845698,337,0.19917492648160603
1.3,3,atr,2.0,4.0,all,79.84130554005897,-7.078394690626881,11.279578072381835,41.54302670623146,337,0.2369178205936468
1.3,5,fixed_pct,1.0,2.0,us,15.943396237030585,-1.4317154425612173,11.135869435416023,76.47058823529412,17,0.9378468374723874
1.3,5,atr,1.5,3.0,all,25.56454335487415,-2.3299956718228176,10.97192740056651,47.82608695652174,69,0.37050062833150943
1.3,3,atr,1.0,3.0,overnight,16.316987916557864,-1.5095782172625691,10.808971492809876,52.63157894736842,133,0.1226841196733674
1.3,3,atr,1.0,4.0,all,56.83864665699353,-5.268175069852752,10.78905805204803,43.916913946587535,337,0.1686606725726811
1.3,3,atr,1.5,2.0,overnight,20.52373970758915,-1.950393648994789,10.522870456518794,59.3984962406015,133,0.15431383238788834
1.3,5,atr,1.0,4.0,all,20.726004786498198,-1.984483787642891,10.444028273526946,40.57971014492754,69,0.300376880963742
1.3,3,atr,1.0,3.0,asia_eu,21.847996483715466,-2.1007729221181193,10.39998005195491,51.28205128205128,195,0.11204100760879726
1.3,5,atr,1.5,4.0,all,25.223073358027385,-2.5574422987289513,9.862616791222719,42.028985507246375,69,0.3655517877974983
1.3,5,atr,2.0,3.0,all,28.50440589992974,-2.9389339356487976,9.698893042193248,49.275362318840585,69,0.4131073318830397
1.5,3,atr,1.0,4.0,all,35.98741282947873,-3.7550531926716313,9.5837291731877,44.843049327354265,223,0.1613785328676176
1.3,3,atr,2.0,2.0,asia_eu,35.628004284881605,-3.7180408323507246,9.582467189408424,55.8974358974359,195,0.18270771428144414
1.3,5,fixed_pct,1.0,4.0,us,20.39392910453395,-2.1879000000000075,9.32123456489505,70.58823529411765,17,1.199642888501997
1.3,3,fixed_pct,1.0,4.0,all,88.09214738047602,-9.579885033369917,9.195532835062409,50.74183976261127,337,0.26140103080259947
1.3,3,atr,1.5,2.0,asia_eu,24.42113057860127,-2.66451341041293,9.165324701749816,57.948717948717956,195,0.12523656706975012
1.3,3,atr,1.5,3.0,all,65.35733598661224,-7.153687808623979,9.136173919670085,48.07121661721068,337,0.1939386824528553
1.3,3,fixed_pct,1.0,3.0,all,83.58534375550565,-9.161079824664656,9.123961951566699,51.038575667655785,337,0.24802772627746483
1.3,3,fixed_pct,0.5,3.0,all,50.728633087242756,-5.586144352793012,9.081153275582466,44.21364985163205,337,0.15053006850813874
1.3,3,fixed_pct,0.5,2.0,all,37.38602414060489,-4.168853403884293,8.967939267370445,49.25816023738873,337,0.11093775709378305
1.3,3,fixed_pct,1.0,2.0,all,76.27298701773131,-8.757304937076878,8.709641558192748,52.52225519287834,337,0.22632933833154692
1.3,3,atr,1.0,3.0,all,42.765325239240624,-5.0061173696071215,8.542613383153027,50.445103857566764,337,0.1269000748938891
1.3,3,atr,1.0,4.0,overnight,18.652842827642193,-2.1854216960136363,8.535122929211465,43.609022556390975,133,0.14024693855370068
1.3,3,atr,1.5,4.0,asia_eu,38.30720207923417,-4.4990490505351755,8.514510877510308,40.0,195,0.19644719014991885
1.3,3,atr,2.0,2.0,overnight,28.701625839330987,-3.3814952773809757,8.48785033985346,57.89473684210527,133,0.21580169804008262
1.3,5,atr,1.5,2.0,overnight,7.89497902975414,-0.9416053519276704,8.384594473248697,56.25,32,0.24671809467981687
1.3,5,atr,2.0,2.0,overnight,9.893634790101592,-1.1882272491006585,8.326382682765315,50.0,32,0.30917608719067474
1.3,5,atr,2.0,3.0,overnight,10.104207851603444,-1.2499330441879513,8.083799287159325,43.75,32,0.31575649536260764
1.3,3,atr,2.0,4.0,asia_eu,43.52749474089362,-5.610145781004082,7.758710101309211,42.05128205128205,195,0.22321792174817243
1.3,5,fixed_pct,1.0,3.0,us,16.92933465906771,-2.1879000000000124,7.737709520118659,70.58823529411765,17,0.995843215239277
1.5,3,atr,2.0,2.0,all,40.358692332999524,-5.2188907365306525,7.7331935789536494,57.399103139013455,223,0.1809806831076212
