strategy,trades,return,max_dd,win_rate,rr_ratio,avg_win,avg_loss,return_vs_baseline,dd_vs_baseline
Adaptive TP (3x ATR),235,942.2299395816838,-55.27026005417155,40.85106382978723,17.04768420952216,6.233014141528193,-3.0100000000000016,195.6899395816838,6.4197399458284465
ATR > 1.5%,176,579.5071465330983,-43.300616442619486,46.590909090909086,13.383346338753435,4.990000000000005,-3.010000000000002,-167.03285346690166,18.389383557380512
Adaptive TP (2.5x ATR),243,803.5677142487561,-65.11644877502701,44.8559670781893,12.340472021516852,5.181903268694084,-3.010000000000001,57.02771424875618,-3.426448775027012
Baseline (Fixed 3%/5%),238,746.5406781308648,-61.693534696084726,45.378151260504204,12.100792762296415,4.990000000000005,-3.0100000000000016,0.0006781308647987316,-0.003534696084727784
Adaptive TP + ATR>2.0,115,403.5430938589764,-42.86379400641705,38.26086956521739,9.414544447431853,7.533504977985867,-3.0100000000000016,-342.99690614102354,18.826205993582946
ATR > 2.0%,120,269.1972387116031,-30.762307238931434,46.666666666666664,8.750879334919288,4.990000000000005,-3.010000000000002,-477.34276128839684,30.927692761068563
Adaptive TP + ATR>1.5,174,325.953887892042,-44.72764364118512,44.827586206896555,7.287526490483491,5.071761711242947,-3.0100000000000016,-420.58611210795794,16.96235635881488
ATR > 2.5%,79,181.1088957555771,-28.46204254516622,48.10126582278481,6.363172828098216,4.9900000000000055,-3.010000000000001,-565.4311042444228,33.22795745483378
Adaptive TP (2x ATR),249,387.74779606462045,-61.41631586346018,47.389558232931726,6.313433012274059,4.363960751926303,-3.010000000000001,-358.7922039353795,0.2736841365398206
Adaptive Both (SL+TP),259,325.8362121486895,-61.296140908682595,40.54054054054054,5.315770410964564,5.520153912776535,-2.916756914883534,-420.70378785131044,0.3938590913174025
Adaptive TP + ATR>2.5,75,186.2296730693779,-39.048632763914334,30.666666666666664,4.769172692813887,10.668993006461557,-3.010000000000002,-560.3103269306221,22.641367236085664
