final_capital,return,trades,wins,wr,max_dd,sharpe,avg_pnl,avg_dur,token,price_change,candles
439992.45,4299.9,92,43,46.7,61.1,70.38,7.31,5.6,FARTCOIN,-58.1,8640
36285.36,262.9,87,36,41.4,60.8,4.32,2.26,5.7,CRV,-48.8,8640
23567.98,135.7,65,28,43.1,57.3,2.37,2.14,5.4,PENGU,-60.4,8640
13361.31,33.6,90,40,44.4,42.5,0.79,0.71,5.9,XLM,-29.0,8640
8459.09,-15.4,106,40,37.7,38.7,-0.4,0.06,5.8,ETH,-28.7,8640
7734.93,-22.7,75,32,42.7,53.5,-0.42,0.17,5.5,UNI,-36.0,8640
5906.8,-40.9,113,45,39.8,65.3,-0.63,-0.12,5.7,DOGE,-30.9,8640
5809.55,-41.9,115,43,37.4,54.2,-0.77,-0.36,6.0,BTC,-15.1,8640
4406.51,-55.9,84,30,35.7,57.3,-0.98,-0.65,5.5,TRUMP,-27.6,8640
3293.21,-67.1,120,39,32.5,78.2,-0.86,-0.58,5.3,PI,-32.4,8640
1888.79,-81.1,95,39,41.1,89.1,-0.91,-1.01,5.5,MELANIA,-37.0,8640
