trade_num,entry_time,exit_time,type,signal_price,stop,target,filled,result,gross_pnl_pct,entry_fee_pct,exit_fee_pct,profit_after_fees_pct,winner,running_balance
1,2025-11-07 01:09:00,2025-11-07 01:23:00,LONG,3298.61,3285.19,3325.4500000000003,YES,TP,0.8489732041754982,0.02,0.05,0.7789732041754982,WIN,10077.897320417549
2,2025-11-07 02:22:00,2025-11-07 02:43:00,LONG,3305.39,3294.5785714285716,3327.012857142857,YES,TP,0.6894109120142388,0.02,0.05,0.6194109120142388,WIN,10140.320916121806
3,2025-11-07 06:30:00,2025-11-07 06:50:00,LONG,3355.49,3350.8371428571427,3364.7957142857135,YES,STOP,-0.10370030968918928,0.02,0.05,-0.17370030968918926,LOSS,10122.707147287025
4,2025-11-07 07:25:00,2025-11-07 07:49:00,LONG,3340.99,3333.1814285714286,3356.607142857142,YES,TP,0.5026164904858198,0.02,0.05,0.4326164904858198,WIN,10166.499647689776
5,2025-11-07 22:13:00,2025-11-07 22:14:00,LONG,3456.16,3449.9285714285716,3468.622857142857,YES,STOP,-0.14535006502045114,0.02,0.05,-0.21535006502045112,LOSS,10144.606084088173
6,2025-11-08 13:06:00,2025-11-08 13:08:00,LONG,3394.56,3389.5114285714285,3404.6571428571424,YES,TP,0.3325671095419756,0.02,0.05,0.2625671095419756,WIN,10171.242483057582
7,2025-11-08 19:18:00,2025-11-08 19:19:00,LONG,3392.45,3387.847142857143,3401.6557142857137,YES,STOP,-0.10071468956881176,0.02,0.05,-0.17071468956881175,LOSS,10153.878678027339
8,2025-11-09 01:32:00,2025-11-09 01:37:00,LONG,3380.1,3375.9900000000002,3388.3199999999997,NO,SKIP,0.0,0.0,0.0,0.0,SKIP,10153.878678027339
9,2025-11-09 17:20:00,2025-11-09 17:41:00,LONG,3510.62,3504.9557142857143,3521.948571428571,YES,STOP,-0.12639139829668394,0.02,0.05,-0.19639139829668395,LOSS,10133.937333710212
10,2025-11-10 14:03:00,2025-11-10 14:13:00,LONG,3604.29,3598.7028571428573,3615.4642857142853,YES,STOP,-0.1200557075511295,0.02,0.05,-0.1900557075511295,LOSS,10114.67720740784
11,2025-11-11 04:11:00,2025-11-11 04:38:00,LONG,3588.93,3580.9228571428566,3604.944285714286,YES,STOP,-0.18817254837813313,0.02,0.05,-0.25817254837813314,LOSS,10088.563887501254
12,2025-11-11 07:38:00,2025-11-11 08:56:00,LONG,3548.59,3541.2957142857144,3563.1785714285716,YES,TP,0.4462651523780105,0.02,0.05,0.3762651523780105,WIN,10126.523637785313
13,2025-11-11 09:44:00,2025-11-11 09:47:00,LONG,3565.79,3559.8314285714287,3577.7071428571426,YES,STOP,-0.1321500760431817,0.02,0.05,-0.2021500760431817,LOSS,10106.052862551
14,2025-11-11 10:34:00,2025-11-11 11:01:00,LONG,3551.41,3545.4314285714286,3563.3671428571424,YES,TP,0.37181733515562665,0.02,0.05,0.30181733515562664,WIN,10136.55468199017
15,2025-11-11 11:50:00,2025-11-11 12:04:00,LONG,3568.39,3563.371428571428,3578.427142857143,YES,TP,0.31639004895615125,0.02,0.05,0.24639004895615124,WIN,10161.530144033593
16,2025-11-12 14:48:00,2025-11-12 14:49:00,LONG,3501.24,3484.4714285714285,3534.7771428571423,YES,STOP,-0.4440877926498121,0.02,0.05,-0.5140877926498121,LOSS,10109.290958016685
17,2025-11-12 17:37:00,2025-11-12 17:38:00,SHORT,3419.09,3428.6114285714284,3400.047142857143,YES,STOP,-0.24339325461973532,0.02,0.05,-0.31339325461973533,LOSS,10077.609122064378
18,2025-11-12 17:39:00,2025-11-12 17:50:00,SHORT,3447.98,3460.1899999999996,3423.5600000000004,YES,TP,0.7429807238044792,0.02,0.05,0.6729807238044793,WIN,10145.429488876232
19,2025-11-12 19:43:00,2025-11-12 22:14:00,SHORT,3425.42,3440.7114285714283,3394.837142857143,YES,TP,0.927496027372114,0.02,0.05,0.8574960273721141,WIN,10232.426143703186
20,2025-11-14 13:51:00,2025-11-14 14:05:00,SHORT,3119.65,3137.482857142857,3083.984285714286,YES,STOP,-0.536442304426279,0.02,0.05,-0.606442304426279,LOSS,10170.372382798594
21,2025-11-15 02:41:00,2025-11-15 02:45:00,SHORT,3184.43,3191.9442857142853,3169.4014285714284,YES,STOP,-0.20089925326207117,0.02,0.05,-0.27089925326207115,LOSS,10142.82091995962
22,2025-11-16 19:10:00,2025-11-16 21:04:00,SHORT,3109.33,3123.4642857142853,3081.0614285714287,YES,TP,0.9438228052538834,0.02,0.05,0.8738228052538835,WIN,10231.45120225429
23,2025-11-17 01:27:00,2025-11-17 01:52:00,SHORT,3144.6,3156.238571428571,3121.322857142857,YES,TP,0.7749546406179814,0.02,0.05,0.7049546406179814,WIN,10303.578292307146
