trade_num,entry_time,exit_time,type,signal_price,stop,target,filled,result,gross_pnl_pct,net_pnl_pct,winner,running_balance
1,2025-11-12 17:37:00,2025-11-12 17:38:00,SHORT,3419.09,3428.6114285714284,3400.047142857143,YES,STOP,-0.24339325461973532,-0.31339325461973533,LOSS,9968.660674538027
2,2025-11-12 17:39:00,2025-11-12 17:50:00,SHORT,3447.98,3460.1899999999996,3423.5600000000004,YES,TP,0.7429807238044792,0.6729807238044793,WIN,10035.747839299145
3,2025-11-12 19:43:00,2025-11-12 22:14:00,SHORT,3425.42,3440.7114285714283,3394.837142857143,YES,TP,0.927496027372114,0.8574960273721141,WIN,10121.803978338217
4,2025-11-14 13:51:00,2025-11-14 14:05:00,SHORT,3119.65,3137.482857142857,3083.984285714286,YES,STOP,-0.536442304426279,-0.606442304426279,LOSS,10060.421077042472
5,2025-11-15 02:41:00,2025-11-15 02:45:00,SHORT,3184.43,3191.9442857142853,3169.4014285714284,YES,STOP,-0.20089925326207117,-0.27089925326207115,LOSS,10033.167471469744
6,2025-11-16 19:10:00,2025-11-16 21:04:00,SHORT,3109.33,3123.4642857142853,3081.0614285714287,YES,TP,0.9438228052538834,0.8738228052538835,WIN,10120.83957692476
7,2025-11-17 01:27:00,2025-11-17 01:52:00,SHORT,3144.6,3156.238571428571,3121.322857142857,YES,TP,0.7749546406179814,0.7049546406179814,WIN,10192.186905191793
8,2025-11-17 14:36:00,2025-11-17 14:55:00,SHORT,3189.33,3210.64,3146.7100000000005,YES,TP,1.370851030244368,1.3008510302443679,WIN,10324.772073552413
9,2025-11-18 08:04:00,2025-11-18 08:33:00,SHORT,3038.44,3046.23,3022.86,YES,STOP,-0.22130410778601703,-0.291304107786017,LOSS,10294.69558838261
10,2025-11-18 14:25:00,2025-11-18 14:32:00,SHORT,3061.71,3070.862857142857,3043.404285714286,YES,STOP,-0.2638535717602176,-0.3338535717602176,LOSS,10260.326379458953
11,2025-11-19 06:32:00,2025-11-19 07:05:00,SHORT,3042.3,3049.694285714286,3027.511428571429,YES,STOP,-0.2079764050595039,-0.2779764050595039,LOSS,10231.805093041961
12,2025-11-19 07:33:00,2025-11-19 07:39:00,SHORT,3062.33,3069.205714285714,3048.5785714285716,YES,STOP,-0.18945927224914838,-0.2594592722491484,LOSS,10205.257726009604
13,2025-11-19 08:26:00,2025-11-19 08:28:00,SHORT,3092.07,3099.4157142857143,3077.378571428572,YES,STOP,-0.20249536172524613,-0.27249536172524613,LOSS,10177.448872054121
14,2025-11-19 21:20:00,2025-11-19 21:23:00,SHORT,2978.93,2994.9342857142856,2946.9214285714284,YES,STOP,-0.502073746794072,-0.572073746794072,LOSS,10119.22635896371
15,2025-11-20 01:53:00,2025-11-20 02:06:00,SHORT,3049.52,3056.0942857142854,3036.371428571429,YES,STOP,-0.1805210969218492,-0.2505210969218492,LOSS,10093.875562089228
16,2025-11-20 13:13:00,2025-11-20 13:20:00,SHORT,3037.34,3044.852857142857,3022.314285714286,NO,SKIP,0.0,0.0,SKIP,10093.875562089228
17,2025-11-20 21:19:00,2025-11-20 21:21:00,SHORT,2862.68,2871.722857142857,2844.5942857142854,YES,STOP,-0.28078953308873494,-0.35078953308873495,LOSS,10058.467303134417
18,2025-11-21 10:10:00,2025-11-21 12:18:00,SHORT,2704.69,2724.1985714285715,2665.672857142857,YES,TP,1.4770565915675689,1.4070565915675688,WIN,10199.995630333839
19,2025-11-21 21:17:00,2025-11-21 21:22:00,SHORT,2752.47,2763.0328571428568,2731.3442857142854,YES,STOP,-0.34863718754275314,-0.41863718754275314,LOSS,10157.294655497526
20,2025-11-22 18:09:00,2025-11-22 18:31:00,SHORT,2753.8,2757.795714285714,2745.808571428572,YES,TP,0.32508262501138624,0.25508262501138623,WIN,10183.20414933491
21,2025-11-29 15:16:00,2025-11-29 15:17:00,SHORT,3006.55,3011.1028571428574,2997.4442857142863,YES,STOP,-0.11639054311091801,-0.18639054311091802,LOSS,10164.223619814871
22,2025-11-29 18:33:00,2025-11-29 18:36:00,SHORT,2982.08,2987.315714285714,2971.6085714285714,YES,STOP,-0.14052337978366072,-0.2105233797836607,LOSS,10142.825552721668
23,2025-11-30 01:05:00,2025-11-30 01:07:00,SHORT,3008.9,3011.8785714285714,3002.9428571428575,YES,STOP,-0.06396964852959591,-0.13396964852959592,LOSS,10129.237244977716
24,2025-11-30 03:43:00,2025-11-30 05:04:00,SHORT,3003.59,3008.097142857143,2994.575714285715,YES,TP,0.33499980047569494,0.26499980047569494,WIN,10156.079703466616
25,2025-11-30 07:47:00,2025-11-30 08:15:00,SHORT,3008.38,3010.9485714285715,3003.2428571428577,NO,SKIP,0.0,0.0,SKIP,10156.079703466616
26,2025-11-30 11:06:00,2025-11-30 11:08:00,SHORT,3013.12,3015.0899999999997,3009.1800000000003,YES,STOP,-0.030370105382382183,-0.10037010538238217,LOSS,10145.886035565527
27,2025-12-01 02:03:00,2025-12-01 02:04:00,SHORT,2860.2,2867.0228571428565,2846.554285714286,YES,STOP,-0.2034735413703891,-0.2734735413703891,LOSS,10118.139721720661
28,2025-12-01 14:04:00,2025-12-01 14:31:00,SHORT,2821.57,2828.4357142857143,2807.8385714285723,YES,TP,0.5214766329223415,0.45147663292234147,WIN,10163.820758250664
29,2025-12-01 18:12:00,2025-12-01 18:35:00,SHORT,2757.18,2765.1442857142856,2741.2514285714287,NO,SKIP,0.0,0.0,SKIP,10163.820758250664
30,2025-12-01 18:57:00,2025-12-01 19:21:00,SHORT,2754.83,2763.6985714285715,2737.092857142857,YES,TP,0.6786186508996882,0.6086186508996883,WIN,10225.679667029392
31,2025-12-02 01:06:00,2025-12-02 01:12:00,SHORT,2821.35,2829.2685714285712,2805.5128571428572,YES,TP,0.5961234445234508,0.5261234445234508,WIN,10279.479365119501
32,2025-12-02 10:51:00,2025-12-02 11:11:00,SHORT,2831.87,2837.658571428571,2820.292857142858,YES,TP,0.443660902235793,0.373660902235793,WIN,10317.88976046035
33,2025-12-02 13:16:00,2025-12-02 13:17:00,SHORT,2837.54,2843.828571428571,2824.9628571428575,YES,STOP,-0.1865552441792745,-0.2565552441792745,LOSS,10291.418673191252
34,2025-12-05 15:02:00,2025-12-05 15:04:00,SHORT,3131.78,3143.8214285714284,3107.6971428571433,YES,STOP,-0.34936924224590477,-0.41936924224590477,LOSS,10248.259628685137
35,2025-12-05 19:56:00,2025-12-05 20:38:00,SHORT,3043.35,3051.258571428571,3027.532857142857,YES,TP,0.5545339383944665,0.4845339383944665,WIN,10297.915924680894
36,2025-12-05 23:28:00,2025-12-06 00:02:00,SHORT,3024.73,3028.9442857142853,3016.301428571429,NO,SKIP,0.0,0.0,SKIP,10297.915924680894
37,2025-12-06 02:36:00,2025-12-06 03:04:00,SHORT,3029.22,3032.2442857142855,3023.1714285714284,YES,STOP,-0.06481442530579958,-0.13481442530579957,LOSS,10284.032848508561
38,2025-12-06 03:06:00,2025-12-06 03:09:00,SHORT,3040.43,3044.081428571428,3033.127142857143,YES,STOP,-0.0850660216131836,-0.1550660216131836,LOSS,10268.085807908987
39,2025-12-06 09:11:00,2025-12-06 09:26:00,SHORT,3024.08,3029.165714285714,3013.9085714285716,YES,STOP,-0.13312733884962144,-0.20312733884962142,LOSS,10247.228518456586
40,2025-12-06 14:15:00,2025-12-06 14:17:00,SHORT,3050.38,3054.7785714285715,3041.5828571428574,YES,STOP,-0.10915928533554631,-0.17915928533554631,LOSS,10228.869657076219
41,2025-12-06 16:37:00,2025-12-06 16:39:00,SHORT,3061.58,3065.3971428571426,3053.945714285714,YES,STOP,-0.0896474773453432,-0.15964747734534318,LOSS,10212.539524707754
