name,trades,wins,losses,win_rate,net_pct,max_dd,profit,rr,coin,strategy
BTC Conservative (2/4),104,25,79,24.03846153846154,-8.678959616790987,8.34785391053573,-834.5270567448897,-0.9996905380575034,BTC,Conservative (2/4)
BTC Optimized (3/6),99,22,77,22.22222222222222,-10.866955828369104,10.509795877449008,-1036.1200455913877,-0.9858612457113488,BTC,Optimized (3/6)
BTC Aggressive (2.5/5),310,88,222,28.387096774193548,-15.733604554718886,15.32392172056039,-1473.4526606966137,-0.961537579978404,BTC,Aggressive (2.5/5)
DOGE Conservative (2/4),235,61,174,25.957446808510635,-21.93219525277612,21.130956720837762,-1985.9720150753537,-0.9398400845319689,DOGE,Conservative (2/4)
DOGE Optimized (3/6),202,60,142,29.7029702970297,-10.3783282400268,14.792811536854986,-1028.9722460046814,-0.6955893701755665,DOGE,Optimized (3/6)
DOGE Aggressive (2.5/5),361,105,256,29.085872576177284,-23.47211975038956,22.763131913708364,-2150.7056531976914,-0.9448197468391852,DOGE,Aggressive (2.5/5)
XRP Conservative (2/4),92,24,68,26.08695652173913,-5.44542594634056,5.441327652763958,-538.9952552984287,-0.990558352104826,XRP,Conservative (2/4)
XRP Optimized (3/6),82,26,56,31.70731707317073,-2.4990317242563895,6.555793151754079,-266.72896445811057,-0.40685994552275356,XRP,Optimized (3/6)
XRP Aggressive (2.5/5),306,89,217,29.08496732026144,-18.02458064910368,17.82302664951753,-1691.069463136957,-0.9488116111764521,XRP,Aggressive (2.5/5)
SOL Conservative (2/4),116,31,85,26.72413793103448,-10.551216819997851,11.152618106082617,-1012.1011131450396,-0.9075009145996326,SOL,Conservative (2/4)
SOL Optimized (3/6),107,31,76,28.971962616822427,-3.0991595752078087,6.651193887335313,-333.7190116804777,-0.5017430213783416,SOL,Optimized (3/6)
SOL Aggressive (2.5/5),315,96,219,30.476190476190478,-13.380160288396148,15.309107052689438,-1305.7324360816547,-0.8529122120498003,SOL,Aggressive (2.5/5)
PEPE Conservative (2/4),76,12,64,15.789473684210526,-17.38476636393027,16.135816505793862,-1605.5956778165819,-0.9950507786451731,PEPE,Conservative (2/4)
PEPE Optimized (3/6),73,18,55,24.65753424657534,-10.270376646626346,12.15864284502908,-1003.7222262276628,-0.825521597287499,PEPE,Optimized (3/6)
PEPE Aggressive (2.5/5),236,54,182,22.88135593220339,-48.88516612882336,41.94986436423821,-3908.8611451623856,-0.9317935121846653,PEPE,Aggressive (2.5/5)
SHIB Conservative (2/4),57,18,39,31.57894736842105,-3.3837260463160344,5.820788403633532,-351.02575468927535,-0.603055342932846,SHIB,Conservative (2/4)
SHIB Optimized (3/6),43,10,33,23.25581395348837,-8.820753850468506,8.74878465832351,-874.8784658323511,-1.0000000000000002,SHIB,Optimized (3/6)
SHIB Aggressive (2.5/5),139,44,95,31.654676258992804,-5.828781714150766,17.071939804460683,-635.8126548203127,-0.3724314062155859,SHIB,Aggressive (2.5/5)
AVAX Conservative (2/4),89,34,55,38.20224719101123,6.772239377442557,3.7796759360949226,682.345929432202,1.8053027322156794,AVAX,Conservative (2/4)
AVAX Optimized (3/6),81,27,54,33.33333333333333,1.6734397246247514,8.239656724095731,135.78186874619678,0.16479068642401276,AVAX,Optimized (3/6)
AVAX Aggressive (2.5/5),259,84,175,32.432432432432435,-6.543017283969839,11.744507063613822,-698.4330750119752,-0.5946891352944235,AVAX,Aggressive (2.5/5)
LINK Conservative (2/4),70,32,38,45.714285714285715,12.298881092568246,3.7930136936188705,1287.4765689511605,3.3943367278560865,LINK,Conservative (2/4)
LINK Optimized (3/6),61,21,40,34.42622950819672,1.2172422645530252,7.446989325546864,91.34172290213792,0.12265590684921561,LINK,Optimized (3/6)
LINK Aggressive (2.5/5),234,78,156,33.33333333333333,-7.4192889269945805,14.355005389912822,-792.9930503567412,-0.5524157106300864,LINK,Aggressive (2.5/5)
UNI Conservative (2/4),115,37,78,32.17391304347826,0.18044155369002612,4.903886349248977,-3.951037813889343,-0.008056952246649107,UNI,Conservative (2/4)
UNI Optimized (3/6),104,32,72,30.76923076923077,-6.121874723933512,10.797307086934287,-631.7253859441826,-0.5850767981848243,UNI,Optimized (3/6)
UNI Aggressive (2.5/5),337,96,241,28.486646884272997,-26.838146885935902,27.62338690900234,-2419.6400484701535,-0.8759389485586953,UNI,Aggressive (2.5/5)
XLM Conservative (2/4),111,37,74,33.33333333333333,-0.5876281735437521,6.125979559114497,-71.32319325719982,-0.11642740980270182,XLM,Conservative (2/4)
XLM Optimized (3/6),104,41,63,39.42307692307692,9.107073706053797,4.765546694485111,920.8862142362032,1.9323831519726604,XLM,Optimized (3/6)
XLM Aggressive (2.5/5),343,117,226,34.11078717201166,4.7615709701725475,8.515152498430707,420.27253269422545,0.4935584333594486,XLM,Aggressive (2.5/5)
