trade,entry_time,exit_time,type,entry_price,stop_loss,take_profit,filled,result,position_size,profit_pct,profit_usd,balance,winner
1,2025-11-07 14:36:00,2025-11-07 14:44:00,LONG,3207.33,3186.655714285714,3248.678571428571,YES,TP,1.0,1.2547,125.47,10125.47,WIN
2,2025-11-08 15:12:00,2025-11-08 15:21:00,LONG,3393.49,3386.326428571429,3407.8171428571422,YES,STOP,1.0,-0.2462,-24.92,10100.54,LOSS
3,2025-11-09 03:24:00,2025-11-09 04:15:00,LONG,3362.48,3353.2314285714288,3380.977142857142,YES,TP,1.0,0.5153,52.05,10152.59,WIN
4,2025-11-12 02:20:00,2025-11-12 02:32:00,LONG,3437.68,3426.37,3460.3,YES,STOP,1.0,-0.3641,-36.97,10115.62,LOSS
5,2025-11-12 06:40:00,2025-11-12 06:59:00,LONG,3446.16,3440.46,3457.5599999999995,YES,STOP,1.0,-0.2004,-20.28,10095.35,LOSS
6,2025-11-12 17:37:00,2025-11-12 17:38:00,SHORT,3419.09,3428.6114285714284,3400.047142857143,YES,STOP,0.5,-0.3134,-15.82,10079.53,LOSS
7,2025-11-12 17:39:00,2025-11-12 17:50:00,SHORT,3447.98,3460.19,3423.5600000000004,YES,TP,0.5,0.673,33.92,10113.44,WIN
8,2025-11-12 19:28:00,2025-11-12 19:43:00,LONG,3381.88,3366.9635714285714,3411.712857142857,YES,TP,1.0,0.8475,85.71,10199.15,WIN
9,2025-11-13 00:21:00,2025-11-13 00:36:00,LONG,3408.19,3398.431428571429,3427.707142857142,YES,TP,1.0,0.5379,54.86,10254.01,WIN
10,2025-11-13 03:10:00,2025-11-13 03:15:00,LONG,3410.5,3399.49,3432.519999999999,YES,STOP,1.0,-0.3579,-36.7,10217.31,LOSS
11,2025-11-13 14:35:00,2025-11-13 14:37:00,LONG,3412.58,3394.2457142857147,3449.248571428571,YES,STOP,1.0,-0.5724,-58.49,10158.82,LOSS
12,2025-11-13 19:55:00,2025-11-13 20:21:00,LONG,3180.53,3157.297142857144,3226.995714285714,YES,STOP,1.0,-0.7657,-77.79,10081.03,LOSS
13,2025-11-14 04:32:00,2025-11-14 04:36:00,LONG,3192.55,3177.925,3221.8,YES,STOP,1.0,-0.4932,-49.72,10031.31,LOSS
14,2025-11-14 04:38:00,2025-11-14 05:49:00,LONG,3134.23,3104.7207142857146,3193.2485714285717,YES,TP,1.0,1.8487,185.45,10216.76,WIN
15,2025-11-14 12:34:00,2025-11-14 13:02:00,LONG,3091.75,3066.0935714285715,3143.062857142857,YES,TP,1.0,1.6253,166.05,10382.81,WIN
16,2025-11-14 13:51:00,2025-11-14 14:05:00,SHORT,3119.65,3137.482857142857,3083.984285714286,YES,STOP,1.5,-0.6064,-94.45,10288.36,LOSS
17,2025-11-14 17:47:00,2025-11-14 17:51:00,LONG,3191.43,3175.0392857142856,3224.2114285714283,YES,STOP,1.0,-0.5488,-56.46,10231.9,LOSS
18,2025-11-14 22:14:00,2025-11-14 22:30:00,LONG,3144.7,3129.955,3174.189999999999,YES,TP,1.0,0.9031,92.41,10324.31,WIN
19,2025-11-15 02:41:00,2025-11-15 02:45:00,SHORT,3184.43,3191.9442857142853,3169.4014285714284,YES,STOP,1.0,-0.2709,-27.97,10296.34,LOSS
20,2025-11-15 05:12:00,2025-11-15 05:17:00,LONG,3161.42,3154.627142857143,3175.005714285714,NO,SKIP,0.0,0.0,0.0,10296.34,SKIP
21,2025-11-15 08:22:00,2025-11-15 08:25:00,LONG,3159.95,3152.347142857143,3175.155714285714,YES,STOP,1.0,-0.2757,-28.38,10267.95,LOSS
22,2025-11-15 12:43:00,2025-11-15 13:08:00,LONG,3156.53,3149.7607142857146,3170.0685714285714,YES,TP,1.0,0.3941,40.46,10308.42,WIN
23,2025-11-15 16:06:00,2025-11-15 16:07:00,LONG,3176.41,3168.061428571428,3193.107142857143,YES,STOP,1.0,-0.2979,-30.71,10277.71,LOSS
24,2025-11-15 20:16:00,2025-11-15 20:37:00,LONG,3189.62,3183.433571428572,3201.9928571428563,YES,STOP,1.0,-0.229,-23.54,10254.17,LOSS
25,2025-11-16 01:00:00,2025-11-16 01:14:00,LONG,3138.46,3129.243571428572,3156.892857142857,YES,TP,1.0,0.5525,56.66,10310.83,WIN
26,2025-11-16 01:33:00,2025-11-16 02:10:00,LONG,3140.68,3129.142857142857,3163.7542857142853,YES,TP,1.0,0.7,72.17,10383.0,WIN
27,2025-11-16 06:57:00,2025-11-16 07:46:00,LONG,3202.35,3196.3092857142856,3214.431428571428,YES,TP,1.0,0.3424,35.55,10418.55,WIN
28,2025-11-16 11:06:00,2025-11-16 11:10:00,LONG,3228.4,3223.122142857143,3238.9557142857143,YES,STOP,1.0,-0.1985,-20.68,10397.87,LOSS
29,2025-11-16 15:54:00,2025-11-16 15:58:00,LONG,3128.05,3110.075714285714,3163.998571428572,YES,STOP,1.0,-0.6098,-63.41,10334.46,LOSS
30,2025-11-16 17:55:00,2025-11-16 17:59:00,LONG,3035.09,3016.7385714285715,3071.792857142857,YES,TP,1.0,1.1747,121.4,10455.86,WIN
31,2025-11-16 19:10:00,2025-11-16 21:04:00,SHORT,3109.33,3123.4642857142853,3081.0614285714287,YES,TP,1.0,0.8738,91.37,10547.23,WIN
32,2025-11-17 00:16:00,2025-11-17 00:30:00,LONG,3082.65,3062.048571428572,3123.852857142857,YES,TP,1.0,1.3021,137.33,10684.56,WIN
33,2025-11-17 01:27:00,2025-11-17 01:52:00,SHORT,3144.6,3156.238571428571,3121.322857142857,YES,TP,1.5,0.705,112.98,10797.54,WIN
34,2025-11-17 14:36:00,2025-11-17 14:55:00,SHORT,3189.33,3210.64,3146.7100000000005,YES,TP,1.5,1.3009,210.69,11008.23,WIN
