trade_num,entry_time,exit_time,signal_price,limit_price,max_price,stop,target,filled,result,actual_entry,exit_price,gross_pnl_pct,entry_fee_pct,exit_fee_pct,total_fee_pct,profit_after_fees_pct,winner,profit_after_fees_dollar,running_balance
1,2025-11-07 18:19:00,2025-11-07 18:40:00,3418.49,3419.6864715,3435.36,3431.6914285714283,3392.0871428571427,YES,STOP,3419.6864715,3431.6914285714283,-0.351054319496207,0.02,0.05,0.06999999999999999,-0.42105431949620703,LOSS,-42.10543194962071,9957.894568050378
2,2025-11-08 02:12:00,2025-11-08 02:19:00,3449.53,3450.7373355000004,3457.8,3456.2442857142855,3436.101428571429,YES,STOP,3450.7373355000004,3456.2442857142855,-0.1595876382021745,0.02,0.05,0.06999999999999999,-0.22958763820217448,LOSS,-22.862094953449486,9935.03247309693
3,2025-11-08 09:20:00,2025-11-08 09:31:00,3459.82,3461.0309370000004,3464.38,3464.2285714285717,3451.0028571428575,YES,STOP,3461.0309370000004,3464.2285714285717,-0.09238965171871535,0.02,0.05,0.06999999999999999,-0.16238965171871533,LOSS,-16.133464631203374,9918.899008465727
4,2025-11-09 08:59:00,2025-11-09 09:07:00,3421.21,3422.4074235000003,3425.06,3424.2114285714283,3415.207142857143,YES,STOP,3422.4074235000003,3424.2114285714283,-0.05271158129919936,0.02,0.05,0.06999999999999999,-0.12271158129919935,LOSS,-12.171637820758898,9906.727370644969
5,2025-11-09 11:04:00,2025-11-09 11:15:00,3418.87,3420.0666045000003,3425.18,3424.2799999999997,3408.05,YES,STOP,3420.0666045000003,3424.2799999999997,-0.12319629958245973,0.02,0.05,0.06999999999999999,-0.1931962995824597,LOSS,-19.139430689808787,9887.58793995516
6,2025-11-09 12:15:00,2025-11-09 12:18:00,3436.05,3437.2526175000003,3451.91,3442.134285714286,3423.881428571429,YES,STOP,3437.2526175000003,3442.134285714286,-0.14202238699104233,0.02,0.05,0.06999999999999999,-0.2120223869910423,LOSS,-20.963899966131358,9866.624039989028
7,2025-11-09 14:26:00,2025-11-09 14:28:00,3532.41,3533.6463435,3552.4,3549.1071428571427,3499.0157142857142,YES,STOP,3533.6463435,3549.1071428571427,-0.43753103322244236,0.02,0.05,0.06999999999999999,-0.5075310332224423,LOSS,-50.076178934330194,9816.547861054698
8,2025-11-10 19:39:00,2025-11-10 19:41:00,3556.07,3557.3146245000003,3571.29,3563.217142857143,3541.7757142857145,YES,STOP,3557.3146245000003,3563.217142857143,-0.16592623875579057,0.02,0.05,0.06999999999999999,-0.23592623875579055,LOSS,-23.159812144248356,9793.38804891045
9,2025-11-10 22:48:00,2025-11-11 00:37:00,3573.53,3574.7807355000004,3581.28,3581.3485714285716,3557.8928571428573,YES,TP,3574.7807355000004,3557.8928571428573,0.47241718042829894,0.02,0.05,0.06999999999999999,0.40241718042829894,WIN,39.41027605482743,9832.798324965277
10,2025-11-11 01:16:00,2025-11-11 01:17:00,3605.7,3606.961995,3619.22,3614.2142857142853,3588.6714285714284,YES,STOP,3606.961995,3614.2142857142853,-0.20106368529356264,0.02,0.05,0.06999999999999999,-0.2710636852935626,LOSS,-26.653145507134575,9806.145179458143
