strat,rr,lev,fees,ret,trades,wr,dd,avg_dur
prev_candle_breakout,1.5,1,0.0,-10.8,649,39.1,21.2,8.6
prev_candle_breakout,1.5,2,0.001,-78.8,649,37.0,79.6,8.6
prev_candle_breakout,1.5,3,0.001,-90.5,649,37.0,91.0,8.6
prev_candle_breakout,1.5,5,0.001,-98.2,649,37.0,98.4,8.6
prev_candle_breakout,2.0,1,0.0,-16.2,558,33.7,25.0,10.9
prev_candle_breakout,2.0,2,0.001,-77.5,558,31.5,79.3,10.9
prev_candle_breakout,2.0,3,0.001,-89.7,558,31.5,90.9,10.9
prev_candle_breakout,2.0,5,0.001,-98.0,558,31.5,98.3,10.9
prev_candle_breakout,3.0,1,0.0,-19.0,455,30.1,27.6,14.4
prev_candle_breakout,3.0,2,0.001,-74.2,455,27.9,76.9,14.4
prev_candle_breakout,3.0,3,0.001,-87.3,455,27.9,89.2,14.4
prev_candle_breakout,3.0,5,0.001,-97.1,455,27.9,97.8,14.4
period_12_breakout,1.5,1,0.0,-11.6,171,45.0,18.2,29.3
period_12_breakout,1.5,2,0.001,-45.7,171,42.7,50.1,29.3
period_12_breakout,1.5,3,0.001,-61.2,171,42.7,65.8,29.3
period_12_breakout,1.5,5,0.001,-81.5,171,42.7,84.9,29.3
period_12_breakout,2.0,1,0.0,-4.6,157,45.2,18.5,32.0
period_12_breakout,2.0,2,0.001,-35.0,157,42.7,46.1,32.0
period_12_breakout,2.0,3,0.001,-49.3,157,42.7,61.5,32.0
period_12_breakout,2.0,5,0.001,-71.1,157,42.7,81.5,32.0
period_12_breakout,3.0,1,0.0,-5.4,148,41.9,16.1,34.6
period_12_breakout,3.0,2,0.001,-35.0,148,38.5,40.9,34.6
period_12_breakout,3.0,3,0.001,-49.3,148,38.5,55.6,34.6
period_12_breakout,3.0,5,0.001,-71.2,148,38.5,76.2,34.6
ema20_pullback,1.5,1,0.0,-5.3,590,40.2,13.8,7.9
ema20_pullback,1.5,2,0.001,-72.9,590,38.8,74.4,7.9
ema20_pullback,1.5,3,0.001,-86.2,590,38.8,87.4,7.9
ema20_pullback,1.5,5,0.001,-96.6,590,38.8,97.1,7.9
ema20_pullback,2.0,1,0.0,-3.3,485,35.9,13.0,10.4
ema20_pullback,2.0,2,0.001,-65.2,485,34.0,68.5,10.4
ema20_pullback,2.0,3,0.001,-80.0,485,34.0,82.8,10.4
ema20_pullback,2.0,5,0.001,-93.7,485,34.0,95.1,10.4
ema20_pullback,3.0,1,0.0,-10.5,400,29.8,21.3,13.7
ema20_pullback,3.0,2,0.001,-64.7,400,27.5,69.7,13.7
ema20_pullback,3.0,3,0.001,-79.6,400,27.5,83.7,13.7
ema20_pullback,3.0,5,0.001,-93.6,400,27.5,95.5,13.7
ema50_pullback,1.5,1,0.0,1.0,430,41.2,11.4,8.6
ema50_pullback,1.5,2,0.001,-57.3,430,40.0,59.5,8.6
ema50_pullback,1.5,3,0.001,-72.6,430,40.0,74.7,8.6
ema50_pullback,1.5,5,0.001,-89.0,430,40.0,90.4,8.6
ema50_pullback,2.0,1,0.0,4.4,378,37.0,11.3,10.3
ema50_pullback,2.0,2,0.001,-49.4,378,35.4,53.0,10.3
ema50_pullback,2.0,3,0.001,-64.7,378,35.4,68.3,10.3
ema50_pullback,2.0,5,0.001,-83.4,378,35.4,86.1,10.3
ema50_pullback,3.0,1,0.0,-4.2,295,30.2,13.4,14.6
ema50_pullback,3.0,2,0.001,-49.8,295,29.2,54.3,14.6
ema50_pullback,3.0,3,0.001,-65.1,295,29.2,69.7,14.6
ema50_pullback,3.0,5,0.001,-83.8,295,29.2,87.1,14.6
green_above_ema20,1.5,1,0.0,-6.8,623,39.8,14.0,7.8
green_above_ema20,1.5,2,0.001,-75.5,623,38.4,77.1,7.8
green_above_ema20,1.5,3,0.001,-88.2,623,38.4,89.3,7.8
green_above_ema20,1.5,5,0.001,-97.4,623,38.4,97.8,7.8
green_above_ema20,2.0,1,0.0,-4.7,506,35.4,15.4,10.3
green_above_ema20,2.0,2,0.001,-67.6,506,33.4,71.2,10.3
green_above_ema20,2.0,3,0.001,-82.1,506,33.4,85.0,10.3
green_above_ema20,2.0,5,0.001,-94.8,506,33.4,96.1,10.3
green_above_ema20,3.0,1,0.0,-12.1,413,29.8,22.3,13.7
green_above_ema20,3.0,2,0.001,-66.8,413,27.6,71.4,13.7
green_above_ema20,3.0,3,0.001,-81.4,413,27.6,85.1,13.7
green_above_ema20,3.0,5,0.001,-94.5,413,27.6,96.2,13.7
