strategy,win_mult,max_cap,loss_mult,return,max_dd,final_equity,rr_ratio
Fixed 100% (Baseline),1.0,1.0,1.0,288.403548196959,-30.447784587043035,3.88403548196959,9.472070040842587
Win 1.2x Cap 1.3x,1.2,1.3,1.0,313.4435517135346,-33.39262106551749,4.134435517135346,9.38661122463395
Win 1.15x Cap 1.3x,1.15,1.3,1.0,310.72187273558234,-33.135633935770095,4.107218727355823,9.377272616479397
Win 1.12x Cap 1.3x,1.12,1.3,1.0,305.86980379194557,-32.69444354806986,4.058698037919456,9.355406319799647
Win 1.1x Cap 1.3x,1.1,1.3,1.0,301.6567209443724,-32.31061733369586,4.016567209443724,9.336148481130468
Win 1.05x Cap 2.5x,1.05,2.5,1.0,291.61311569505386,-31.36723949531853,3.9161311569505384,9.296741453406389
Win 1.05x Cap 1.3x,1.05,1.3,1.0,291.61311569505386,-31.36723949531853,3.9161311569505384,9.296741453406389
Win 1.05x Cap 1.8x,1.05,1.8,1.0,291.61311569505386,-31.36723949531853,3.9161311569505384,9.296741453406389
Win 1.05x Cap 1.5x,1.05,1.5,1.0,291.61311569505386,-31.36723949531853,3.9161311569505384,9.296741453406389
Win 1.05x Cap 2.0x,1.05,2.0,1.0,291.61311569505386,-31.36723949531853,3.9161311569505384,9.296741453406389
Win 1.05x Cap 3.0x,1.05,3.0,1.0,291.61311569505386,-31.36723949531853,3.9161311569505384,9.296741453406389
Win 1.08x Cap 1.3x,1.08,1.3,1.0,296.7564501305943,-31.930459023683728,3.9675645013059433,9.293836017530523
Win 1.2x Cap 1.5x,1.2,1.5,1.0,317.7733386334489,-34.26512512845611,4.177733386334489,9.273958213844317
Win 1.15x Cap 1.5x,1.15,1.5,1.0,306.908783004506,-33.276918340435714,4.06908783004506,9.222872739137403
Win 1.08x Cap 1.5x,1.08,1.5,1.0,292.77936185576476,-31.93045902368368,3.9277936185576476,9.169281332241495
Win 1.08x Cap 2.5x,1.08,2.5,1.0,292.77936185576476,-31.93045902368368,3.9277936185576476,9.169281332241495
Win 1.08x Cap 1.8x,1.08,1.8,1.0,292.77936185576476,-31.93045902368368,3.9277936185576476,9.169281332241495
Win 1.08x Cap 2.0x,1.08,2.0,1.0,292.77936185576476,-31.93045902368368,3.9277936185576476,9.169281332241495
Win 1.08x Cap 3.0x,1.08,3.0,1.0,292.77936185576476,-31.93045902368368,3.9277936185576476,9.169281332241495
Win 1.12x Cap 1.5x,1.12,1.5,1.0,298.89841672010937,-32.69444354806988,3.9889841672010937,9.142177822376638
Win 1.1x Cap 1.5x,1.1,1.5,1.0,294.5660805251357,-32.31061733369587,3.9456608052513573,9.116696146128433
Win 1.1x Cap 2.0x,1.1,2.0,1.0,293.19155544106917,-32.31061733369584,3.9319155544106916,9.074155173609386
Win 1.1x Cap 1.8x,1.1,1.8,1.0,293.19155544106917,-32.31061733369584,3.9319155544106916,9.074155173609386
Win 1.1x Cap 3.0x,1.1,3.0,1.0,293.19155544106917,-32.31061733369584,3.9319155544106916,9.074155173609386
Win 1.1x Cap 2.5x,1.1,2.5,1.0,293.19155544106917,-32.31061733369584,3.9319155544106916,9.074155173609386
Win 1.2x Cap 1.8x,1.2,1.8,1.0,307.7390698926135,-34.2651251284561,4.077390698926135,8.981116185594955
Win 1.12x Cap 3.0x,1.12,3.0,1.0,293.2827516747493,-32.69444354806981,3.932827516747493,8.970415760205341
Win 1.12x Cap 2.0x,1.12,2.0,1.0,293.2827516747493,-32.69444354806981,3.932827516747493,8.970415760205341
Win 1.12x Cap 2.5x,1.12,2.5,1.0,293.2827516747493,-32.69444354806981,3.932827516747493,8.970415760205341
Win 1.12x Cap 1.8x,1.12,1.8,1.0,293.2827516747493,-32.69444354806981,3.932827516747493,8.970415760205341
Win 1.15x Cap 1.8x,1.15,1.8,1.0,295.42167089369224,-33.27691834043571,3.9542167089369222,8.877675146220412
Win 1.15x Cap 2.0x,1.15,2.0,1.0,292.90487228636687,-33.276918340435735,3.929048722863669,8.802043184703487
Win 1.15x Cap 3.0x,1.15,3.0,1.0,292.76195351795155,-33.29629577376858,3.927619535179516,8.79262833040409
Win 1.15x Cap 2.5x,1.15,2.5,1.0,292.76195351795155,-33.29629577376858,3.927619535179516,8.79262833040409
Win 1.15x Loss 0.98x Cap 1.5x,1.15,1.5,0.98,290.6128413983264,-33.15438211526608,3.906128413983264,8.765442842154867
Win 1.2x Cap 2.0x,1.2,2.0,1.0,298.54375368635135,-34.36278860939696,3.9854375368635138,8.687995525622464
Win 1.1x Loss 0.98x Cap 1.5x,1.1,1.5,0.98,278.7644412473083,-32.18630650707202,3.787644412473083,8.66096397814573
Win 1.1x Loss 0.98x Cap 2.0x,1.1,2.0,0.98,277.44496334197527,-32.18630650707199,3.774449633419753,8.619968969754728
Win 1.1x Loss 0.98x Cap 2.5x,1.1,2.5,0.98,277.44496334197527,-32.18630650707199,3.774449633419753,8.619968969754728
Win 1.15x Loss 0.98x Cap 2.0x,1.15,2.0,0.98,277.1697613155839,-33.2765096799803,3.771697613155839,8.329291863272964
Win 1.15x Loss 0.98x Cap 2.5x,1.15,2.5,0.98,277.03256617861047,-33.300780285242716,3.7703256617861047,8.319101348546413
Win 1.2x Cap 2.5x,1.2,2.5,1.0,289.9222431705904,-35.389351801878774,3.899222431705904,8.192358107988822
Win 1.2x Cap 3.0x,1.2,3.0,1.0,289.9222431705904,-35.389351801878774,3.899222431705904,8.192358107988822
Win 1.15x Loss 0.95x Cap 1.5x,1.15,1.5,0.95,268.3660661272899,-32.924780372077606,3.6836606612728993,8.150884017889519
Win 1.1x Loss 0.95x Cap 1.5x,1.1,1.5,0.95,257.19247404079323,-31.95337961177614,3.5719247404079324,8.04899128560433
Win 1.1x Loss 0.95x Cap 2.5x,1.1,2.5,0.95,255.94814504334,-31.95337961177619,3.5594814504334,8.010049270312932
Win 1.1x Loss 0.95x Cap 2.0x,1.1,2.0,0.95,255.94814504334,-31.95337961177619,3.5594814504334,8.010049270312932
Win 1.15x Loss 0.95x Cap 2.0x,1.15,2.0,0.95,255.6886167403551,-33.238301654753776,3.556886167403551,7.692589693546699
Win 1.15x Loss 0.95x Cap 2.5x,1.15,2.5,0.95,255.55923534900717,-33.26258615814845,3.5555923534900717,7.683083754640705
