strategy,exit_method,session,total_trades,total_return_pct,win_rate,profit_factor,avg_win,avg_loss,max_drawdown,sharpe_ratio,avg_duration,largest_win,largest_loss
prev_candle_breakout,fixed_rr_3.0,all,588,114.31,29.59,1.2,3.27,-1.15,27.64,0.99,9.2,23.49,-8.0
period_12_breakout,fixed_rr_3.0,all,140,99.29,47.14,1.29,4.6,-2.98,34.02,1.94,32.4,21.76,-7.99
period_12_breakout,fixed_rr_2.0,all,155,92.83,49.68,1.27,4.05,-3.0,26.96,1.85,28.9,17.96,-7.99
ema20_pullback,time_based_8,all,494,91.0,35.83,1.28,2.04,-0.9,21.56,1.1,5.2,20.63,-3.42
ema50_pullback,time_based_8,all,386,79.59,36.53,1.32,1.95,-0.86,15.93,1.24,5.1,20.63,-4.47
green_candle_min_size,fixed_rr_3.0,all,597,71.71,28.81,1.11,3.35,-1.19,24.57,0.76,9.9,23.49,-5.43
green_candle_min_size,time_based_4,all,1348,68.16,39.61,1.08,1.4,-0.84,34.42,0.52,3.1,12.5,-3.92
price_cross_ema20,fixed_rr_1.5,all,256,66.54,46.09,1.18,2.84,-1.99,27.49,1.38,13.7,10.61,-6.26
period_12_breakout,fixed_rr_1.5,all,171,63.7,51.46,1.18,3.65,-3.14,34.98,1.44,26.1,13.47,-7.99
green_above_ema50,time_based_4,all,1130,61.31,35.49,1.11,1.38,-0.68,27.37,0.59,2.9,9.94,-4.02
breakout_8_above_ema20,fixed_rr_3.0,all,174,60.57,42.53,1.16,4.69,-2.84,31.91,1.27,27.5,22.04,-7.37
breakout_8_above_ema20,fixed_rr_2.0,all,182,59.84,47.25,1.15,3.93,-2.89,31.65,1.29,26.2,18.14,-7.37
green_candle_min_size,time_based_8,all,943,59.45,34.68,1.09,1.93,-0.93,25.28,0.55,5.1,20.63,-4.38
green_above_ema50,time_based_8,all,820,59.44,28.41,1.13,2.04,-0.71,29.23,0.63,4.3,20.05,-2.98
green_candle_min_size,fixed_rr_2.0,all,742,58.61,35.85,1.08,2.44,-1.23,25.94,0.63,7.7,15.66,-6.38
period_12_breakout,fixed_rr_1.0,all,195,57.18,54.36,1.15,3.11,-3.08,32.12,1.3,22.8,8.98,-7.99
ema20_pullback,fixed_rr_2.0,all,421,56.6,36.58,1.17,2.27,-1.11,24.02,0.98,7.0,15.84,-5.53
price_cross_ema50,time_based_8,all,259,52.46,47.88,1.22,1.98,-1.44,22.42,1.2,6.7,20.63,-5.01
ema_10_50_cross,fixed_rr_3.0,all,107,50.87,37.38,1.34,4.26,-1.85,23.62,1.9,18.6,16.84,-4.66
price_cross_ema50,fixed_rr_1.5,all,190,49.71,46.84,1.19,2.84,-2.03,29.37,1.42,12.4,11.29,-5.46
green_candle_min_size,fixed_rr_1.5,all,927,48.82,40.56,1.06,1.94,-1.22,35.45,0.51,6.0,11.74,-6.38
rsi7_momentum_50,fixed_rr_2.0,all,275,47.09,39.27,1.12,3.75,-2.11,27.03,0.94,18.1,9.74,-5.23
ema50_pullback,fixed_rr_3.0,all,289,46.21,29.76,1.17,3.02,-1.05,19.01,1.02,8.3,23.76,-4.32
rsi7_momentum_50,fixed_rr_1.5,all,311,44.22,43.09,1.11,3.11,-2.07,25.51,0.87,14.6,9.89,-5.23
breakout_8_above_ema20,fixed_rr_1.0,all,245,40.87,52.65,1.09,2.94,-2.88,33.38,0.92,18.8,9.07,-9.41
period_8_breakout,fixed_rr_3.0,all,179,39.97,41.9,1.11,4.69,-2.86,30.1,0.99,26.9,21.76,-14.85
price_cross_ema50,fixed_rr_1.0,all,208,39.32,55.29,1.18,2.0,-2.06,29.94,1.28,9.6,7.52,-5.46
price_cross_ema20,fixed_rr_3.0,all,212,38.95,35.38,1.12,4.31,-2.03,25.31,0.97,20.0,12.05,-6.26
price_cross_ema20,time_based_8,all,378,38.95,45.24,1.12,1.78,-1.29,22.1,0.77,7.0,20.63,-5.41
period_8_breakout,fixed_rr_1.0,all,251,38.63,53.39,1.09,2.89,-2.9,29.82,0.87,18.6,8.98,-14.85
ema_10_50_cross,fixed_rr_2.0,all,108,37.69,42.59,1.27,3.41,-1.96,22.65,1.7,14.3,11.23,-4.66
prev_candle_breakout,fixed_rr_2.0,all,714,36.98,36.41,1.06,2.32,-1.23,24.7,0.49,7.3,15.66,-8.0
period_8_breakout,fixed_rr_2.0,all,188,36.44,46.81,1.1,3.85,-2.91,31.86,0.95,25.6,17.96,-14.85
prev_candle_breakout,time_based_8,all,844,36.01,31.75,1.07,2.08,-0.89,27.58,0.45,5.0,20.63,-4.38
ema_10_50_cross,fixed_rr_1.5,all,109,35.77,46.79,1.27,2.9,-1.98,23.27,1.74,12.1,9.1,-4.66
ema20_pullback,fixed_rr_3.0,all,363,35.7,28.37,1.11,3.17,-1.1,29.47,0.71,8.9,23.76,-5.53
price_cross_ema50,time_based_4,all,315,35.65,50.16,1.18,1.28,-1.07,19.19,1.0,3.7,12.03,-5.01
price_cross_ema20,fixed_rr_2.0,all,228,34.25,39.91,1.1,3.47,-2.02,28.36,0.91,16.9,9.6,-6.26
green_above_ema50,fixed_rr_3.0,all,657,27.74,28.31,1.06,2.49,-0.9,32.0,0.44,6.0,23.64,-5.4
breakout_8_above_ema20,fixed_rr_1.5,all,207,27.5,47.83,1.07,3.57,-2.94,41.12,0.78,22.7,13.6,-7.37
green_candle_2_consec,fixed_rr_2.0,all,476,27.02,36.34,1.06,2.99,-1.57,29.31,0.5,11.4,14.13,-8.02
ema50_pullback,fixed_rr_2.0,all,338,26.11,35.8,1.1,2.14,-1.06,17.97,0.71,6.8,15.84,-4.47
ema50_pullback,fixed_rr_1.5,all,405,25.25,41.98,1.09,1.66,-1.08,22.09,0.66,5.3,11.88,-4.47
ema50_pullback,time_based_4,all,510,24.76,40.59,1.1,1.23,-0.76,16.8,0.6,3.1,12.03,-3.95
period_8_breakout,fixed_rr_1.5,all,211,24.75,49.29,1.07,3.45,-2.99,36.15,0.73,22.7,13.47,-14.85
prev_candle_breakout,time_based_4,all,1099,24.49,38.49,1.04,1.39,-0.82,24.2,0.33,3.1,12.03,-8.0
green_above_ema20,time_based_8,all,926,23.88,25.81,1.05,2.01,-0.65,30.97,0.35,4.0,16.96,-3.39
green_candle_2_consec,fixed_rr_3.0,all,403,23.78,29.53,1.06,3.9,-1.49,28.14,0.51,13.7,14.9,-8.02
green_above_sma20,time_based_8,all,913,23.68,25.85,1.06,2.04,-0.66,32.4,0.35,4.0,16.96,-2.98
