vol_thresh,min_bars,sl_type,sl_value,tp_type,tp_value,session,max_hold,trades,return,max_dd,return_dd,win_rate,top5_pct,without_top5
1.5,5,atr,1.5,atr_multiple,4.0,asia_eu,90,22,5.152791643443322,-0.4795075883216092,10.746006463587616,63.63636363636363,95.26377671506151,0.24404771764112898
1.5,5,atr,1.5,rr_multiple,2.5,asia_eu,90,22,4.688127085958083,-0.48109321143379474,9.744737557169284,63.63636363636363,99.18706293818627,0.0381115225866831
1.5,5,atr,2.0,atr_multiple,4.0,asia_eu,90,22,4.631238266570393,-0.5771447744522737,8.024396081495437,63.63636363636363,105.99204021168416,-0.2775056592318007
1.5,5,atr,2.0,rr_multiple,2.0,asia_eu,90,22,4.631238266570393,-0.577144774452274,8.024396081495434,63.63636363636363,105.99204021168367,-0.2775056592317785
1.5,5,atr,1.5,rr_multiple,2.0,asia_eu,90,22,3.2944870675556968,-0.4859136307695699,6.779984875785486,63.63636363636363,117.58523851037756,-0.5793434085232123
1.5,5,atr,1.5,atr_multiple,3.0,asia_eu,90,22,3.29448706755563,-0.4859136307695702,6.7799848757853445,63.63636363636363,117.58523851037792,-0.5793434085232123
1.5,5,atr,2.0,atr_multiple,3.0,asia_eu,90,22,3.334629390244804,-0.5280379688868272,6.315131840376246,68.18181818181817,116.16974550189684,-0.5392010858340384
1.5,5,atr,1.5,atr_multiple,6.0,asia_eu,90,22,5.993394602406134,-1.1913292928325685,5.0308463314588,50.0,116.43769997135078,-0.9851762228426523
1.5,5,atr,1.5,atr_multiple,2.0,asia_eu,90,22,2.619103011021596,-0.6693020737020441,3.9131852625748067,68.18181818181817,138.94738038456214,-1.0200720123661005
1.5,5,atr,1.5,atr_multiple,5.0,asia_eu,90,22,4.668260095947719,-1.3529540011990577,3.4504204073534397,50.0,127.32061310561707,-1.2753972795777817
1.5,5,atr,2.0,atr_multiple,6.0,asia_eu,90,22,5.368854353583197,-1.5580589069225683,3.4458609554035404,50.0,129.98249469351424,-1.609716471665588
1.5,5,atr,2.0,atr_multiple,2.0,asia_eu,90,22,2.591898233668223,-0.7891623571486628,3.2843662779773974,72.72727272727273,140.40578353407417,-1.047276789719474
1.5,5,atr,2.0,rr_multiple,2.5,asia_eu,90,22,4.043719847124761,-1.7240930697490793,2.3454185380568084,50.0,146.9848951022565,-1.8999375284006952
1.5,5,atr,2.0,atr_multiple,5.0,asia_eu,90,22,4.043719847124783,-1.7240930697490922,2.345418538056804,50.0,146.98489510225684,-1.8999375284007174
1.3,5,atr,1.5,atr_multiple,4.0,asia_eu,90,39,3.5326602245961647,-1.7956875803050685,1.9673022542128418,48.717948717948715,140.65755681331754,-1.4362933378366547
1.3,5,atr,1.5,rr_multiple,2.5,asia_eu,90,39,3.3452926144154205,-1.797278867298973,1.8613097139693564,51.28205128205128,140.68910078095053,-1.3611694832971828
1.5,5,atr,2.0,atr_multiple,3.0,overnight,90,32,2.5575318535789004,-1.4830929533590231,1.724458232901994,46.875,216.09591678092897,-2.9691900523767103
1.3,5,atr,1.5,rr_multiple,2.0,asia_eu,90,39,2.001258628406357,-1.3475295453934137,1.4851315395998135,53.84615384615385,195.82614900067352,-1.9177290751455098
1.3,5,atr,1.5,atr_multiple,3.0,asia_eu,90,39,2.0012586284062905,-1.3475295453934417,1.485131539599733,53.84615384615385,195.82614900067782,-1.917729075145532
1.3,5,atr,1.5,atr_multiple,6.0,asia_eu,90,39,3.914399883217258,-2.673503730220396,1.4641460338993304,35.8974358974359,180.5866924966487,-3.1544853969774653
1.2,5,atr,1.5,atr_multiple,6.0,asia_eu,90,52,3.819684020875205,-3.1176908956993143,1.2251644401772646,36.53846153846153,185.0646608871859,-3.249201259319518
1.5,5,atr,2.0,atr_multiple,6.0,overnight,90,32,3.3075661472173676,-3.0194996378754797,1.0954020678553786,37.5,278.33160614599046,-5.898435834673785
1.5,5,atr,2.0,atr_multiple,4.0,overnight,90,32,2.121553671229794,-1.9708930862902652,1.0764427994534758,40.625,288.63585606324904,-4.0020109295656106
1.5,5,atr,2.0,rr_multiple,2.0,overnight,90,32,2.1215536712297274,-1.9708930862902663,1.0764427994534413,40.625,288.63585606325717,-4.002010929565655
1.3,5,atr,2.0,rr_multiple,2.5,overnight,90,56,4.200341689217681,-4.028163168779881,1.0427436807357415,39.285714285714285,201.38662502972755,-4.2585846784144525
1.3,5,atr,2.0,atr_multiple,5.0,overnight,90,56,4.200341689217614,-4.028163168779934,1.042743680735711,39.285714285714285,201.38662502973023,-4.258584678414497
1.3,5,atr,2.0,atr_multiple,4.0,asia_eu,90,39,2.307523669268043,-2.215815333622359,1.0413880769999733,48.717948717948715,215.33705714962377,-2.661429893164776
1.3,5,atr,2.0,rr_multiple,2.0,asia_eu,90,39,2.3075236692679986,-2.215815333622359,1.0413880769999533,48.717948717948715,215.33705714962696,-2.661429893164798
1.5,5,atr,1.5,rr_multiple,2.5,all,90,86,3.6631603730225364,-3.6180417664402427,1.0124704493466048,41.86046511627907,179.35321860401484,-2.906835658620219
1.5,5,atr,2.0,atr_multiple,4.0,all,90,86,3.4888353517519093,-3.45608965054323,1.009474783503817,44.18604651162791,199.46972359186,-3.470334880962721
1.5,5,atr,2.0,rr_multiple,2.0,all,90,86,3.4888353517518205,-3.456089650543258,1.009474783503783,44.18604651162791,199.4697235918644,-3.4703348809627874
1.5,5,atr,1.5,atr_multiple,6.0,all,90,86,4.873901057645449,-4.914146721674153,0.991810243709005,32.55813953488372,212.5048086741557,-5.483373059871662
1.2,5,atr,1.0,rr_multiple,2.0,all,90,183,-16.800344611698904,-16.947443763103525,0.9913202749948123,36.0655737704918,0.0,-21.702113578030126
