direction,entry_time,entry,exit,pnl,bars,exit_reason,cumulative_pnl,equity,running_max,drawdown,drawdown_pct
LONG,2025-11-11 12:42:00,0.1769,0.17778125,0.003981628038439823,11,TP,0.3981628038439823,100.39816280384399,100.39816280384399,0.0,0.0
LONG,2025-11-13 09:11:00,0.17441,0.1753555357142857,0.0044213388812893726,54,TP,0.8402966919729196,100.84029669197292,100.84029669197292,0.0,0.0
LONG,2025-11-17 13:16:00,0.16125,0.16090714285714286,-0.0031262458471761337,9,SL,0.5276721072553062,100.52767210725531,100.84029669197292,-0.3126245847176108,-0.3100195011053516
LONG,2025-11-18 13:42:00,0.15639,0.15754982142857143,0.00641621221671096,42,TP,1.1692933289264023,101.1692933289264,101.1692933289264,0.0,0.0
LONG,2025-11-21 07:37:00,0.13947,0.14124,0.011690901269090115,90,TIME,2.3383834558354137,102.33838345583541,102.33838345583541,0.0,0.0
LONG,2025-11-21 11:42:00,0.13721,0.13683499999999998,-0.0037330369506596286,7,SL,1.9650797607694508,101.96507976076946,102.33838345583541,-0.37330369506595673,-0.3647738829361689
LONG,2025-11-21 12:27:00,0.13386,0.13581803571428575,0.01362748927450863,4,TP,3.327828688220314,103.32782868822031,103.32782868822031,0.0,0.0
LONG,2025-11-22 08:37:00,0.13624,0.13778553571428573,0.010344213992114937,58,TP,4.362250087431807,104.3622500874318,104.3622500874318,0.0,0.0
LONG,2025-11-26 09:19:00,0.15058,0.15024892857142857,-0.003198641443560967,14,SL,4.04238594307571,104.04238594307571,104.3622500874318,-0.3198641443560888,-0.30649410499305585
LONG,2025-11-29 10:23:00,0.14881,0.14938321428571427,0.0028519876736393677,79,TP,4.327584710439647,104.32758471043965,104.3622500874318,-0.034665376992151664,-0.03321639478174337
LONG,2025-12-04 07:15:00,0.14939,0.1500275,0.0032673539058839527,49,TP,4.654320101028043,104.65432010102805,104.65432010102805,0.0,0.0
LONG,2025-12-04 13:06:00,0.14942,0.1491682142857143,-0.0026850870986862,2,SL,4.385811391159423,104.38581139115942,104.65432010102805,-0.26850870986862674,-0.25656724883351384
LONG,2025-12-05 13:08:00,0.14447,0.144275,-0.0023497611960960887,6,SL,4.1508352715498145,104.15083527154981,104.65432010102805,-0.5034848294782392,-0.48109321143379474
SHORT,2025-11-09 12:23:00,0.17576,0.17494035714285716,0.003685270285995413,7,TP,4.519362300149356,104.51936230014935,104.65432010102805,-0.1349578008786949,-0.1289557858179322
SHORT,2025-11-16 08:03:00,0.16385,0.16334375,0.0020992921369810133,15,TP,4.729291513847458,104.72929151384746,104.72929151384746,0.0,0.0
SHORT,2025-11-16 09:32:00,0.16399,0.16417428571428572,-0.002122500478585531,5,SL,4.517041465988905,104.51704146598891,104.72929151384746,-0.2122500478585465,-0.20266540982995432
SHORT,2025-11-17 11:37:00,0.16253,0.16195410714285713,0.002555901528541572,9,TP,4.772631618843063,104.77263161884306,104.77263161884306,0.0,0.0
SHORT,2025-11-24 13:11:00,0.14604,0.14645357142857143,-0.003823908113248952,10,SL,4.390240807518167,104.39024080751817,104.77263161884306,-0.38239081132489616,-0.36497204032825326
SHORT,2025-11-29 12:10:00,0.14987,0.1495244642857143,0.001310897523935873,5,TP,4.521330559911755,104.52133055991176,104.77263161884306,-0.25130105893130406,-0.23985372424883167
SHORT,2025-11-30 08:27:00,0.14943,0.14882464285714286,0.0030675867331878557,9,TP,4.828089233230541,104.82808923323054,104.82808923323054,0.0,0.0
SHORT,2025-11-30 12:49:00,0.14959,0.14983321428571428,-0.002623233452433981,29,SL,4.565765887987143,104.56576588798714,104.82808923323054,-0.2623233452434022,-0.2502414640600409
SHORT,2025-12-08 09:08:00,0.14423,0.14391,0.001223611979709439,90,TIME,4.6881270859580875,104.68812708595809,104.82808923323054,-0.13996214727245615,-0.13351588137894638
