filter,ret,trades,wr,dd,sharpe
NO_FILTER,40.0,646,33.7,27.8,1.44
daily_above_ema5,166.4,291,39.9,12.4,13.43
daily_above_ema10,84.1,263,36.5,16.8,5.01
daily_above_ema20,53.5,183,36.1,12.5,4.28
daily_above_sma5,164.0,307,39.7,12.4,13.23
daily_above_sma10,76.3,225,36.4,16.9,4.51
daily_is_green,204.1,365,39.2,20.9,9.78
above_daily_open,-23.9,414,32.1,39.3,-0.61
above_ema50,42.0,509,33.6,29.4,1.43
above_ema96,19.1,428,32.7,38.4,0.5
above_ema200,20.1,375,33.6,36.1,0.56
ema20_above_ema50,7.5,375,31.5,27.5,0.27
above_prev_day_high,-34.3,124,25.8,38.4,-0.89
us_session_14_23,125.1,276,39.5,16.2,7.72
us_session_16_22,93.6,190,41.1,8.8,10.63
us_session_18_23,97.0,166,43.4,7.7,12.66
avoid_asian,75.3,413,34.9,25.7,2.93
london_14_17,26.2,125,36.0,18.4,1.43
positive_momentum_5,4.2,541,33.5,31.0,0.14
positive_momentum_10,2.1,549,32.1,31.3,0.07
strong_momentum,33.8,132,40.2,26.2,1.29
close_to_ema20,47.9,634,33.6,27.8,1.73
not_extended,40.0,646,33.7,27.8,1.44
rsi_under_60,-18.3,497,31.6,38.2,-0.48
rsi_30_70,34.2,621,33.5,26.5,1.29
high_volatility,74.1,279,36.9,22.9,3.24
low_volatility,-10.9,445,30.8,33.9,-0.32
daily_ema5_AND_us,104.4,89,49.4,7.5,13.87
daily_ema10_AND_us,65.2,86,43.0,7.0,9.3
daily_green_AND_us,68.9,109,45.0,11.6,5.92
ema50_AND_us_16_22,54.5,150,38.7,10.2,5.35
ema96_AND_us_16_22,51.3,127,40.9,14.4,3.55
daily_open_AND_us,27.4,107,38.3,15.1,1.81
daily_ema5_us_momentum,51.4,78,48.7,9.6,5.34
us_ema50_rsi60,5.0,102,35.3,16.6,0.3
