filter,ret,trades,wr,dd,sharpe,avg_dur,avg_pnl
NO_FILTER,41.6,651,33.9,27.8,1.5,5.1,0.07
above_daily_open,-25.4,419,32.0,39.3,-0.65,5.1,-0.05
above_ema50,38.9,514,33.5,29.4,1.32,5.1,0.09
above_ema96,18.7,431,32.7,38.4,0.49,5.0,0.06
above_sma50,20.0,518,33.4,34.4,0.58,5.0,0.06
ema20_above_ema50,6.7,377,31.3,27.5,0.24,5.0,0.04
rsi_under_70,39.0,625,33.9,26.5,1.47,5.1,0.07
rsi_over_30,39.8,651,33.8,27.8,1.43,5.1,0.07
rsi_40_60,-18.2,495,31.1,37.9,-0.48,5.1,-0.02
rsi_under_50,-16.8,234,32.5,34.8,-0.48,5.2,-0.07
us_session_14_23,126.2,279,39.4,16.2,7.79,5.2,0.33
us_session_16_22,94.8,193,40.9,8.8,10.76,5.6,0.37
avoid_asian,77.6,416,35.1,25.7,3.02,5.1,0.16
high_volatility,75.1,278,37.1,22.9,3.28,5.3,0.23
low_volatility,-10.4,451,31.0,33.9,-0.31,4.8,-0.01
ema96_AND_us_session,70.9,183,40.4,22.7,3.12,5.2,0.33
ema50_AND_us_session,51.6,153,37.9,10.2,5.06,5.3,0.3
ema50_AND_rsi_under70,39.2,494,33.6,28.3,1.38,5.1,0.09
daily_open_AND_us,25.2,110,37.3,15.1,1.67,5.5,0.24
ema96_AND_low_vol,-20.4,295,29.2,38.3,-0.53,4.7,-0.07
