session,leverage,sl_mult,tp_mult,total_return,max_drawdown,profit_dd_ratio,win_rate,total_trades,final_balance
All Hours,20,1.5,4.0,10.76507840427117,-2.2406346115846136,4.804477422875268,32.33287858117326,733,11076.507840427117
All Hours,15,1.5,4.0,7.986281645727614,-1.6831050339262317,4.744969259047229,32.33287858117326,733,10798.628164572761
All Hours,10,1.5,4.0,5.266469322140474,-1.1238179967436028,4.686229743072899,32.33287858117326,733,10526.646932214047
All Hours,5,1.5,4.0,2.6046900790328618,-0.5627805800532775,4.628251527062786,32.33287858117326,733,10260.469007903286
Euro (07-15),20,2.0,5.0,4.75529671016644,-1.4840458686566573,3.204278796632401,33.6322869955157,223,10475.529671016644
Euro (07-15),15,2.0,5.0,3.5536202900105307,-1.1145892284981718,3.1882779764512676,33.6322869955157,223,10355.362029001053
Euro (07-15),10,2.0,5.0,2.360503398766214,-0.7440968805032123,3.172306537785604,33.6322869955157,223,10236.050339876621
Euro (07-15),5,2.0,5.0,1.1759592810559298,-0.3725675575897276,3.1563652204814336,33.6322869955157,223,10117.595928105593
All Hours,20,2.0,5.0,11.007336247084094,-3.839861662527836,2.8665970846037734,32.80507131537242,631,11100.73362470841
All Hours,15,2.0,5.0,8.170331294802727,-2.8902272849637693,2.8268819332335475,32.80507131537242,631,10817.033129480273
All Hours,10,2.0,5.0,5.390573632724463,-1.9337155361734182,2.787676642135138,32.80507131537242,631,10539.057363272446
All Hours,5,2.0,5.0,2.667364367876362,-0.970311306650359,2.748977930685412,32.80507131537242,631,10266.736436787636
All Hours,20,1.5,3.0,5.279539725983486,-1.9292610750190387,2.736560538304224,36.702127659574465,752,10527.953972598349
All Hours,15,1.5,3.0,3.9453826740123077,-1.4494904959180475,2.7219099988051076,36.702127659574465,752,10394.53826740123
Euro (07-15),20,1.5,4.0,3.5469355740199897,-1.30526860281037,2.7173989831541903,31.57894736842105,266,10354.693557401999
Euro (07-15),15,1.5,4.0,2.653824069562179,-0.9801745102812044,2.707501614993862,31.57894736842105,266,10265.382406956218
All Hours,10,1.5,3.0,2.620697933297397,-0.9680245843910376,2.707263819075441,36.702127659574465,752,10262.06979332974
Euro (07-15),10,1.5,4.0,1.7649518652139342,-0.6542656498570654,2.6976074100780254,31.57894736842105,266,10176.495186521393
All Hours,5,1.5,3.0,1.3055498277002335,-0.48486164198022536,2.692623451028694,36.702127659574465,752,10130.554982770023
