hour,candle_count,avg_volume,avg_atr_pct,avg_range_pct,trend_up_pct,volatility_rank
0,1800,185.3411,0.1278,0.131,42.94,7
1,1800,171.9525,0.127,0.126,67.5,9
2,1800,177.407,0.1209,0.1208,61.22,11
3,1800,162.5944,0.1079,0.1048,50.78,14
4,1800,159.1888,0.1008,0.1023,42.11,17
5,1800,170.348,0.0948,0.0936,56.22,19
6,1800,165.4855,0.0893,0.0894,54.22,22
7,1800,163.6176,0.0946,0.0948,52.72,20
8,1800,162.5672,0.0938,0.0938,42.33,21
9,1800,192.4719,0.0975,0.0969,47.67,18
10,1800,140.0011,0.0854,0.0839,55.56,24
11,1800,148.143,0.0878,0.0893,55.61,23
12,1800,212.7501,0.1075,0.1093,42.17,15
13,1800,227.9484,0.1218,0.1246,56.0,10
14,1800,329.1246,0.1791,0.1874,46.78,2
15,1800,337.3921,0.1965,0.1938,50.56,1
16,1800,328.924,0.1763,0.1732,47.11,3
17,1800,288.9923,0.1545,0.1538,49.0,4
18,1800,251.3865,0.1416,0.1396,57.44,5
19,1800,194.0554,0.1298,0.1282,47.5,6
20,1801,180.7618,0.1271,0.1297,58.8,8
21,1800,146.5371,0.1152,0.1106,54.44,12
22,1800,138.6535,0.1051,0.1062,56.0,16
23,1800,142.9387,0.11,0.108,49.83,13
