strat,rr,lev,fees,ret,trades,wr,dd,avg_dur
prev_candle_breakout,1.5,1,0.0,-10.3,739,38.2,28.2,7.0
prev_candle_breakout,1.5,2,0.001,-82.6,739,37.2,84.6,7.0
prev_candle_breakout,1.5,3,0.001,-93.3,739,37.2,94.4,7.0
prev_candle_breakout,1.5,5,0.001,-99.1,646,36.2,99.1,7.0
prev_candle_breakout,2.0,1,0.0,-10.9,626,32.6,29.9,9.2
prev_candle_breakout,2.0,2,0.001,-78.7,626,31.6,81.9,9.2
prev_candle_breakout,2.0,3,0.001,-91.0,626,31.6,93.0,9.2
prev_candle_breakout,2.0,5,0.001,-99.0,618,30.9,99.1,9.2
prev_candle_breakout,3.0,1,0.0,-25.2,521,26.9,35.2,12.0
prev_candle_breakout,3.0,2,0.001,-81.3,521,25.7,84.6,12.0
prev_candle_breakout,3.0,3,0.001,-92.5,521,25.7,94.4,12.0
prev_candle_breakout,3.0,5,0.001,-99.0,507,25.4,99.2,12.0
period_12_breakout,1.5,1,0.0,-20.7,168,45.2,30.3,28.7
period_12_breakout,1.5,2,0.001,-57.1,168,43.5,63.8,28.7
period_12_breakout,1.5,3,0.001,-73.9,168,43.5,79.5,28.7
period_12_breakout,1.5,5,0.001,-91.6,168,43.5,94.3,28.7
period_12_breakout,2.0,1,0.0,-21.1,158,41.8,34.5,32.4
period_12_breakout,2.0,2,0.001,-56.8,158,39.9,68.2,32.4
period_12_breakout,2.0,3,0.001,-73.6,158,39.9,83.2,32.4
period_12_breakout,2.0,5,0.001,-91.5,158,39.9,95.8,32.4
period_12_breakout,3.0,1,0.0,-14.8,151,41.1,27.6,34.4
period_12_breakout,3.0,2,0.001,-49.2,151,38.4,60.8,34.4
period_12_breakout,3.0,3,0.001,-66.5,151,38.4,77.1,34.4
period_12_breakout,3.0,5,0.001,-87.6,151,38.4,93.1,34.4
ema20_pullback,1.5,1,0.0,-25.7,608,37.3,33.0,7.1
ema20_pullback,1.5,2,0.001,-84.2,608,36.2,85.9,7.1
ema20_pullback,1.5,3,0.001,-94.0,608,36.2,95.0,7.1
ema20_pullback,1.5,5,0.001,-99.0,521,35.3,99.1,7.2
ema20_pullback,2.0,1,0.0,-25.1,531,32.8,34.8,8.7
ema20_pullback,2.0,2,0.001,-81.4,531,31.6,84.1,8.7
ema20_pullback,2.0,3,0.001,-92.4,531,31.6,94.0,8.7
ema20_pullback,2.0,5,0.001,-99.0,509,31.0,99.1,8.6
ema20_pullback,3.0,1,0.0,-31.1,441,26.5,38.1,11.4
ema20_pullback,3.0,2,0.001,-81.1,441,25.2,83.6,11.4
ema20_pullback,3.0,3,0.001,-92.3,441,25.2,93.7,11.4
ema20_pullback,3.0,5,0.001,-99.0,430,24.7,99.1,11.2
ema50_pullback,1.5,1,0.0,-7.9,425,37.9,13.5,7.4
ema50_pullback,1.5,2,0.001,-64.6,425,36.7,65.9,7.4
ema50_pullback,1.5,3,0.001,-79.6,425,36.7,80.7,7.4
ema50_pullback,1.5,5,0.001,-93.7,425,36.7,94.2,7.4
ema50_pullback,2.0,1,0.0,-17.2,360,31.4,21.0,9.5
ema50_pullback,2.0,2,0.001,-67.4,360,30.0,68.8,9.5
ema50_pullback,2.0,3,0.001,-82.1,360,30.0,83.2,9.5
ema50_pullback,2.0,5,0.001,-94.9,360,30.0,95.4,9.5
ema50_pullback,3.0,1,0.0,-22.7,322,25.2,28.1,11.8
ema50_pullback,3.0,2,0.001,-69.5,322,23.6,71.5,11.8
ema50_pullback,3.0,3,0.001,-83.9,322,23.6,85.4,11.8
ema50_pullback,3.0,5,0.001,-95.8,322,23.6,96.5,11.8
green_above_ema20,1.5,1,0.0,-22.0,687,37.3,31.5,6.8
green_above_ema20,1.5,2,0.001,-85.2,687,36.4,87.0,6.8
green_above_ema20,1.5,3,0.001,-94.6,687,36.4,95.6,6.8
green_above_ema20,1.5,5,0.001,-99.0,551,35.4,99.1,7.0
green_above_ema20,2.0,1,0.0,-17.5,568,34.2,32.4,8.9
green_above_ema20,2.0,2,0.001,-79.1,568,33.3,83.0,8.9
green_above_ema20,2.0,3,0.001,-91.0,568,33.3,93.4,8.9
green_above_ema20,2.0,5,0.001,-99.0,553,32.2,99.1,8.8
green_above_ema20,3.0,1,0.0,-24.5,457,28.0,33.9,11.8
green_above_ema20,3.0,2,0.001,-78.1,457,26.7,80.9,11.8
green_above_ema20,3.0,3,0.001,-90.4,457,26.7,92.1,11.8
green_above_ema20,3.0,5,0.001,-98.3,457,26.7,98.8,11.8
