strategy,session,leverage,total_return,max_drawdown,profit_dd_ratio,win_rate,total_trades,avg_win,avg_loss,profit_factor,final_balance,avg_duration_mins
bollinger_mean_reversion,Euro+US (07-21),8,1503.9540048782349,-50.42154133506966,29.827608697717274,44.0,300,5268.269017966057,-3244.143511212476,1.2759467064559198,160395.4004878235,9.65
bollinger_mean_reversion,European (07-15),8,1503.9540048782349,-50.42154133506966,29.827608697717274,44.0,300,5268.269017966057,-3244.143511212476,1.2759467064559198,160395.4004878235,9.65
bollinger_mean_reversion,24/7,8,1705.1319940613098,-66.61409615047991,25.597164753379687,41.0,300,11330.298951999259,-6910.246167738859,1.1394091303970737,180513.19940613097,9.52
bollinger_mean_reversion,Asian (23-07),8,1705.1319940613098,-66.61409615047991,25.597164753379687,41.0,300,11330.298951999259,-6910.246167738859,1.1394091303970737,180513.19940613097,9.52
bollinger_mean_reversion,European (07-15),5,594.7686165630605,-32.90884823105633,18.07321278420716,44.0,300,1827.4754409563695,-1081.8446223210399,1.327245642420298,69476.86165630605,9.65
bollinger_mean_reversion,Euro+US (07-21),5,594.7686165630605,-32.90884823105633,18.07321278420716,44.0,300,1827.4754409563695,-1081.8446223210399,1.327245642420298,69476.86165630605,9.65
bollinger_mean_reversion,Asian (23-07),5,740.178499520211,-46.40851361877889,15.949196425474458,41.0,300,3520.2117604912864,-2028.0689072791372,1.2061961217051487,84017.84995202109,9.52
bollinger_mean_reversion,24/7,5,740.178499520211,-46.40851361877889,15.949196425474458,41.0,300,3520.2117604912864,-2028.0689072791372,1.2061961217051487,84017.84995202109,9.52
bollinger_mean_reversion,European (07-15),3,248.00300731038493,-20.574163347835633,12.054099266032823,44.0,300,698.0338419950468,-400.8343238827837,1.3682839240282276,34800.30073103849,9.65
bollinger_mean_reversion,Euro+US (07-21),3,248.00300731038493,-20.574163347835633,12.054099266032823,44.0,300,698.0338419950468,-400.8343238827837,1.3682839240282276,34800.30073103849,9.65
bollinger_mean_reversion,24/7,3,309.355402479028,-29.853766108508523,10.362357678914742,41.0,300,1190.5065351296428,-652.5240879832952,1.267847680669756,40935.5402479028,9.52
bollinger_mean_reversion,Asian (23-07),3,309.355402479028,-29.853766108508523,10.362357678914742,41.0,300,1190.5065351296428,-652.5240879832952,1.267847680669756,40935.5402479028,9.52
rsi_reversal,Peak Hours (14-19),5,336.22781722688194,-63.08305078650258,5.3299232208157905,42.20532319391635,263,2390.9058069236407,-1524.7879134594466,1.1450710025839659,43622.781722688196,22.863117870722434
rsi_reversal,Peak Hours (14-19),3,210.39878491799976,-43.06441374134189,4.885676284407808,42.20532319391635,263,1166.1182634621025,-713.1529523190358,1.194096165185056,31039.878491799976,22.863117870722434
rsi_reversal,US (13-21),5,255.47155595381548,-71.41573391258254,3.577244704458672,40.2027027027027,296,1670.5787018363435,-978.8232199047645,1.1474568742017877,35547.15559538155,14.378378378378379
rsi_reversal,Peak Hours (14-19),8,301.960705976053,-87.13165931546447,3.465568179790877,42.20532319391635,263,3837.3693954982286,-2603.6311335703817,1.0763005007250586,40196.0705976053,22.863117870722434
rsi_reversal,US (13-21),3,176.92524758963074,-51.083947132654075,3.463421632831029,40.2027027027027,296,938.573985525202,-531.0609012346665,1.1882227947254242,27692.524758963074,14.378378378378379
rsi_reversal,Asian (23-07),5,137.49122474781103,-53.86695926693073,2.552422238398331,39.64912280701755,285,1018.5352967325053,-589.2172445115815,1.1356660201630222,23749.122474781103,20.596491228070175
rsi_reversal,Asian (23-07),3,88.70095698397087,-36.45493285477448,2.4331674766026556,39.64912280701755,285,556.6272884412602,-314.12085985735666,1.1641735090477856,18870.095698397086,20.596491228070175
rsi_reversal,Asian (23-07),8,154.28859051737996,-72.22478358508697,2.136227799639092,39.64912280701755,285,1608.1908779952078,-966.8413381495376,1.0927790996991686,25428.859051737996,20.596491228070175
