filter,trades,removed,return,return_improvement,win_rate,winners,losers,winners_kept_pct,losers_removed,losers_removed_pct,max_dd
Mom7d<0 + ATR<6 + RSI<60,189,43,151.1100000000002,33.42999999999998,47.61904761904761,90,99,88.23529411764706,31,23.846153846153847,-33.430000000000035
Mom7d<0 + ATR<6%,200,32,142.00000000000023,24.319999999999993,46.5,93,107,91.17647058823529,23,17.692307692307693,-39.450000000000045
Mom7d<0 + RSI<60,195,37,141.05000000000024,23.370000000000005,46.666666666666664,91,104,89.2156862745098,26,20.0,-33.430000000000035
Mom7d < 0%,206,26,131.94000000000023,14.259999999999991,45.63106796116505,94,112,92.15686274509804,18,13.846153846153847,-39.450000000000045
Mom7d<0 + Vol>0.8x,92,140,115.08000000000015,-2.6000000000000796,53.2608695652174,49,43,48.03921568627451,87,66.92307692307692,-24.159999999999982
Mom7d<0 + RSI<55 + BelowEMA50,122,110,112.78000000000016,-4.900000000000077,49.18032786885246,60,62,58.82352941176471,68,52.307692307692314,-21.230000000000025
Mom7d<0 + ATR<5 + Vol>0.8x,86,146,109.14000000000016,-8.540000000000077,53.48837209302325,46,40,45.09803921568628,90,69.23076923076923,-24.159999999999982
Mom7d<0 + BelowEMA50,142,90,108.58000000000021,-9.100000000000023,47.183098591549296,67,75,65.68627450980392,55,42.30769230769231,-27.330000000000013
Vol>0.8x + ATR<5,101,131,103.99000000000015,-13.690000000000083,50.495049504950494,51,50,50.0,80,61.53846153846154,-20.19999999999999
Mom7d<-10 + ATR<6,144,88,94.56000000000019,-23.120000000000047,45.83333333333333,66,78,64.70588235294117,52,40.0,-39.21000000000001
Mom7d<-5 + ATR<5 + RSI<50,110,122,92.90000000000013,-24.7800000000001,48.18181818181818,53,57,51.9607843137255,73,56.15384615384615,-24.159999999999997
Mom7d<-5 + Mom14d<0,169,63,91.31000000000017,-26.37000000000006,44.37869822485207,75,94,73.52941176470588,36,27.692307692307693,-51.330000000000055
Mom7d<0 + ATR<5 + RSI<55 + Vol>0.8x,72,160,87.28000000000011,-30.40000000000012,52.77777777777778,38,34,37.254901960784316,96,73.84615384615385,-18.139999999999972
Vol>1.0x + Mom7d<0,75,157,86.25000000000013,-31.430000000000106,52.0,39,36,38.23529411764706,94,72.3076923076923,-20.11999999999997
