total_trades,win_rate,total_return,max_drawdown,rr_ratio,stop_atr,target_atr,body_thresh,vol_mult
41,48.78048780487805,45.75765364836728,-13.211888663826668,3.463369606924474,6.0,12,0.8,2.5
30,46.666666666666664,41.90479932940765,-12.221087430598807,3.4288928515876274,6.0,12,1.0,2.5
30,43.333333333333336,43.870668330194476,-14.763458380239076,2.971571240307452,6.0,15,1.0,2.5
41,46.34146341463415,43.706364872205214,-18.678093081069107,2.3399800334276697,6.0,15,0.8,2.5
30,36.666666666666664,22.942413214569875,-12.168022680162927,1.8854676571216484,4.0,12,1.0,2.5
41,39.02439024390244,22.889637875781187,-14.051152067824804,1.6290221446108533,4.0,12,0.8,2.5
30,33.33333333333333,19.706215364890667,-15.869358373135167,1.2417777015012035,4.0,15,1.0,2.5
41,41.46341463414634,19.11023429014736,-16.5894167569763,1.1519533549671654,5.0,12,0.8,2.5
41,36.58536585365854,19.65344002610197,-20.25767660817222,0.9701724638142118,4.0,15,0.8,2.5
30,36.666666666666664,13.12216794441104,-15.251117742017756,0.8604069659929691,5.0,12,1.0,2.5
30,33.33333333333333,11.943705105834745,-17.407780071946036,0.686113051547735,5.0,15,1.0,2.5
41,39.02439024390244,13.914613674622162,-20.60194422911186,0.6754029386682799,5.0,15,0.8,2.5
31,45.16129032258064,9.237309227914263,-16.304739198551026,0.5665413666190482,6.0,15,0.8,3.0
31,45.16129032258064,8.017573638976259,-16.30473919855099,0.49173271288441,6.0,12,0.8,3.0
24,37.5,2.8109567436942804,-14.411792845141655,0.19504559730345272,6.0,15,1.0,3.0
24,37.5,-2.4259366221926197,-14.411792845141672,-0.16832996756613955,6.0,12,1.0,3.0
31,32.25806451612903,-12.92189167754383,-19.609494220703073,-0.6589609875761768,4.0,15,0.8,3.0
31,35.483870967741936,-16.686404533544476,-23.076308782005047,-0.7230967782228919,5.0,12,0.8,3.0
31,32.25806451612903,-15.014453204067596,-19.6094942207031,-0.7656726397469139,4.0,12,0.8,3.0
31,35.483870967741936,-18.611000783969605,-22.13741931224778,-0.8407032690424243,5.0,15,0.8,3.0
24,25.0,-16.573336287688793,-16.59050430855896,-0.9989651899332976,4.0,15,1.0,3.0
24,25.0,-18.665897814212556,-16.60039559278262,-1.1244248795087726,4.0,12,1.0,3.0
24,25.0,-25.729347298328488,-22.31428555061601,-1.1530437414169508,5.0,15,1.0,3.0
24,25.0,-27.821908824852255,-23.827668647467863,-1.1676303391859049,5.0,12,1.0,3.0
