total_trades,win_rate,total_return,max_drawdown,rr_ratio,distance_min,stop_atr,target_atr,body_thresh,vol_mult
36,38.88888888888889,5.638278745336757,-29.07311859158032,0.1939344321654445,1.5,5.0,15.0,0.8,2.5
43,37.2093023255814,5.365063271120643,-29.16549982790602,0.18395238561923305,1.0,5.0,15.0,0.8,2.5
36,36.11111111111111,4.6324132737695525,-27.586395912814044,0.16792383058700935,1.5,4.0,15.0,0.8,2.5
24,37.5,0.163778206508014,-18.0854389972887,0.009055804867803706,1.5,5.0,15.0,1.0,2.5
43,32.55813953488372,-0.319345209805488,-26.810872780411543,-0.011911033722065428,1.0,4.0,15.0,0.8,2.5
14,35.714285714285715,-2.8163852101876574,-16.260692204815467,-0.17320204913254608,1.5,5.0,15.0,1.0,3.0
22,31.818181818181817,-4.703380811077551,-21.388825951165337,-0.21989897069695377,2.0,4.0,15.0,0.8,2.5
23,34.78260869565217,-10.213966355494804,-33.84981256602165,-0.3017436606354375,1.5,5.0,15.0,0.8,3.0
15,33.33333333333333,-5.708987915909388,-18.68293768785163,-0.3055722826513302,1.0,5.0,15.0,1.0,3.0
26,34.61538461538461,-5.638940918322506,-18.08543899728872,-0.31179452813768405,1.0,5.0,15.0,1.0,2.5
24,33.33333333333333,-6.127482861937626,-18.720849001481977,-0.32730795817286723,1.5,4.0,15.0,1.0,2.5
28,32.142857142857146,-12.981162311207745,-33.93597222759105,-0.38251924017823297,1.0,5.0,15.0,0.8,3.0
23,30.434782608695656,-12.09018850950859,-29.84535015043175,-0.40509454399326894,1.5,4.0,15.0,0.8,3.0
22,31.818181818181817,-10.140355111477804,-23.226509326417673,-0.4365854106171793,2.0,5.0,15.0,0.8,2.5
28,28.57142857142857,-13.126094684301751,-29.09401958914063,-0.45116126508696924,1.0,4.0,15.0,0.8,3.0
14,28.57142857142857,-9.170936362198331,-18.476598284264423,-0.4963541568151509,1.5,4.0,15.0,1.0,3.0
15,26.666666666666668,-11.505018526775718,-20.379421463668177,-0.5645409781276922,1.0,4.0,15.0,1.0,3.0
26,30.76923076923077,-10.809658161802064,-18.720849001481977,-0.5774128171722528,1.0,4.0,15.0,1.0,2.5
11,18.181818181818183,-18.834273526898656,-22.101169102716504,-0.85218449030299,2.0,4.0,15.0,0.8,3.0
11,18.181818181818183,-21.80226035937476,-24.180208272200414,-0.9016572609277506,2.0,5.0,15.0,0.8,3.0
15,26.666666666666668,-12.059429644019573,-13.045035628621413,-0.9244458955375043,2.0,4.0,15.0,1.0,2.5
15,26.666666666666668,-14.293290516492227,-12.919409198909143,-1.1063424260684527,2.0,5.0,15.0,1.0,2.5
