entry_time,entry_idx,exit_idx,entry_price,exit_price,pnl_pct,winner,exit_reason,equity,drawdown,bars_held,regime,regime_confidence
2025-01-25 09:45:00,271,292,1.1969,1.2567450000000002,-5.010000000000012,False,SL,0.9498999999999999,5.010000000000014,21,Favorable,Medium
2025-01-26 16:45:00,395,399,1.2703,1.333815,-5.009999999999999,False,SL,0.9023100099999999,9.768999000000012,4,Favorable,Low
2025-01-26 19:45:00,407,409,1.2956,1.3603800000000001,-5.010000000000005,False,SL,0.8571042784989998,14.289572150100016,2,Favorable,Low
2025-01-27 16:45:00,491,498,0.9465,0.8755125,7.489999999999998,True,TP,0.9213013889585749,7.869861104142506,7,Favorable,Medium
2025-01-29 19:00:00,692,694,0.9036,0.94878,-5.010000000000001,False,SL,0.8751441893717503,12.485581062824968,2,Highly Favorable,High
2025-02-01 03:00:00,916,965,0.9031,0.8353675,7.489999999999997,True,TP,0.9406924891556944,5.930751084430563,49,Highly Favorable,High
2025-02-02 07:30:00,1030,1042,0.6401,0.5920925,7.489999999999997,True,TP,1.0111503565934559,0.0,12,Highly Favorable,High
2025-02-02 16:00:00,1064,1067,0.594,0.54945,7.489999999999997,True,TP,1.0868855183023056,0.0,3,Highly Favorable,High
2025-02-02 21:45:00,1087,1088,0.5929,0.622545,-5.010000000000006,False,SL,1.03243255383536,5.010000000000007,1,Favorable,Medium
2025-02-03 01:30:00,1102,1103,0.6061,0.5606425,7.489999999999989,True,TP,1.1097617521176284,0.0,1,Favorable,Medium
2025-02-03 05:00:00,1116,1117,0.617,0.64785,-5.010000000000008,False,SL,1.0541626883365351,5.010000000000006,1,Favorable,Medium
2025-02-04 17:45:00,1263,1268,0.7346,0.7713300000000001,-5.010000000000005,False,SL,1.0013491376508747,9.768999000000004,5,Favorable,Low
2025-02-04 19:45:00,1271,1277,0.6919,0.6400075,7.490000000000001,True,TP,1.0763501880609252,3.010697025100012,6,Favorable,Low
2025-02-05 04:15:00,1305,1311,0.6581,0.6910050000000001,-5.010000000000011,False,SL,1.0224250436390727,7.869861104142513,6,Highly Favorable,High
2025-02-05 08:45:00,1323,1325,0.6736,0.70728,-5.010000000000007,False,SL,0.9712015489527551,12.485581062824977,2,Favorable,Low
2025-02-05 10:00:00,1328,1346,0.6728,0.70644,-5.010000000000002,False,SL,0.9225443513502221,16.870053451577448,18,Favorable,Medium
2025-02-05 14:45:00,1347,1353,0.6667,0.6166975,7.489999999999992,True,TP,0.9916429232663536,10.643620455100606,6,Favorable,Low
2025-02-06 08:15:00,1417,1429,0.5089,0.47073250000000005,7.489999999999992,True,TP,1.0659169782190034,3.9508276271876466,12,Highly Favorable,High
2025-02-06 21:15:00,1469,1487,0.4439,0.46609500000000004,-5.010000000000005,False,SL,1.0125145376102314,8.762891163065548,18,Highly Favorable,High
