time_exit,daily_ema,session,final_capital,return,trades,wins,wr,max_dd,sharpe,avg_pnl
4,3,24h,82.97,-99.2,35,11,31.4,99.3,-1.0,-7.59
4,3,EU,94.5,-99.1,219,80,36.5,99.9,-0.99,-0.03
4,3,Asia_EU,91.24,-99.1,305,111,36.4,99.9,-0.99,0.32
4,5,24h,96.47,-99.0,122,40,32.8,99.3,-1.0,-1.27
4,5,EU,93.72,-99.1,145,53,36.6,99.3,-1.0,-0.67
4,5,US,93.87,-99.1,156,66,42.3,99.1,-1.0,-1.05
4,5,US_late,1290.16,-87.1,308,139,45.1,99.0,-0.88,0.74
4,5,Overlap,99.07,-99.0,57,19,33.3,99.0,-1.0,-4.62
4,5,US_evening,10715.63,7.2,305,129,42.3,97.8,0.07,1.2
4,5,Asia_EU,96.3,-99.0,263,99,37.6,99.5,-1.0,0.17
4,8,24h,98.21,-99.0,202,72,35.6,99.3,-1.0,0.06
4,8,EU,94.75,-99.1,221,82,37.1,99.9,-0.99,-0.15
4,8,US,97.66,-99.0,178,75,42.1,99.0,-1.0,-0.72
4,8,US_late,92.29,-99.1,262,108,41.2,99.1,-1.0,-0.37
4,8,Overlap,79.48,-99.2,129,50,38.8,99.2,-1.0,-1.2
4,8,US_evening,1677.75,-83.2,306,128,41.8,97.7,-0.85,0.63
4,8,Asia_EU,97.21,-99.0,330,126,38.2,99.9,-0.99,0.22
4,10,24h,96.11,-99.0,344,132,38.4,99.5,-1.0,0.94
4,10,EU,98.89,-99.0,221,82,37.1,99.9,-0.99,-0.21
4,10,US,97.55,-99.0,254,106,41.7,99.1,-1.0,-0.1
4,10,US_late,1790.97,-82.1,297,137,46.1,97.7,-0.84,0.95
4,10,Overlap,92.52,-99.1,147,62,42.2,99.1,-1.0,-0.77
4,10,US_evening,7009.28,-29.9,283,125,44.2,93.5,-0.32,1.18
4,10,Asia_EU,94.93,-99.1,330,125,37.9,99.9,-0.99,0.19
4,13,24h,92.96,-99.1,356,136,38.2,99.7,-0.99,0.99
4,13,EU,94.13,-99.1,231,86,37.2,99.9,-0.99,-0.21
4,13,US,94.33,-99.1,270,114,42.2,99.4,-1.0,-0.06
4,13,US_late,788.5,-92.1,289,133,46.0,98.7,-0.93,0.65
4,13,Overlap,86.39,-99.1,158,65,41.1,99.1,-1.0,-0.84
4,13,US_evening,5286.86,-47.1,276,122,44.2,95.9,-0.49,1.07
4,13,Asia_EU,99.67,-99.0,348,132,37.9,99.9,-0.99,0.29
4,20,24h,99.2,-99.0,105,37,35.2,99.3,-1.0,-2.02
4,20,EU,95.99,-99.0,220,82,37.3,99.9,-0.99,-0.44
4,20,US,96.32,-99.0,178,77,43.3,99.0,-1.0,-0.78
4,20,US_late,412.22,-95.9,260,115,44.2,98.6,-0.97,0.33
4,20,Overlap,91.68,-99.1,128,47,36.7,99.1,-1.0,-1.26
4,20,US_evening,1914.19,-80.9,245,103,42.0,96.4,-0.84,0.66
4,20,Asia_EU,92.56,-99.1,335,127,37.9,99.9,-0.99,0.17
6,3,24h,88.82,-99.1,35,7,20.0,99.1,-1.0,-9.01
6,3,EU,93.63,-99.1,138,47,34.1,99.9,-0.99,0.41
6,3,US,87.99,-99.1,27,4,14.8,99.1,-1.0,-13.7
6,3,US_late,94.86,-99.1,46,16,34.8,99.1,-1.0,-6.82
6,3,Overlap,89.49,-99.1,26,5,19.2,99.1,-1.0,-13.46
6,3,US_evening,83.75,-99.2,45,12,26.7,99.2,-1.0,-7.68
6,3,Asia_EU,99.66,-99.0,241,77,32.0,100.0,-0.99,0.75
6,5,24h,91.69,-99.1,43,8,18.6,99.4,-1.0,-6.96
6,5,EU,83.91,-99.2,112,35,31.2,99.6,-1.0,-0.14
6,5,US,82.02,-99.2,120,51,42.5,99.2,-1.0,-1.5
6,5,US_late,5475.0,-45.2,278,119,42.8,96.2,-0.47,1.97
6,5,Overlap,92.41,-99.1,56,20,35.7,99.1,-1.0,-3.98
6,5,US_evening,8734.3,-12.7,282,110,39.0,97.9,-0.13,1.8
6,5,Asia_EU,94.19,-99.1,131,42,32.1,99.5,-1.0,-0.17
6,8,24h,83.0,-99.2,286,107,37.4,99.8,-0.99,1.6
6,8,EU,94.12,-99.1,141,47,33.3,100.0,-0.99,-0.03
6,8,US,89.56,-99.1,143,60,42.0,99.1,-1.0,-0.84
6,8,US_late,1814.2,-81.9,287,123,42.9,97.5,-0.84,1.51
6,8,Overlap,94.81,-99.1,110,43,39.1,99.2,-1.0,-0.93
6,8,US_evening,925.69,-90.7,279,107,38.4,98.1,-0.92,0.85
6,8,Asia_EU,95.47,-99.0,240,77,32.1,99.9,-0.99,0.51
6,10,24h,92.68,-99.1,283,107,37.8,99.9,-0.99,1.44
6,10,EU,91.72,-99.1,134,45,33.6,100.0,-0.99,-0.55
6,10,US,99.05,-99.0,136,57,41.9,99.1,-1.0,-0.91
6,10,US_late,4035.53,-59.6,268,115,42.9,95.4,-0.63,1.9
6,10,Overlap,80.68,-99.2,110,43,39.1,99.5,-1.0,-1.17
6,10,US_evening,1927.61,-80.7,260,101,38.8,97.4,-0.83,1.18
6,10,Asia_EU,97.65,-99.0,234,74,31.6,99.9,-0.99,0.28
6,13,24h,92.2,-99.1,291,110,37.8,100.0,-0.99,1.44
6,13,EU,85.08,-99.1,130,43,33.1,100.0,-0.99,-0.71
6,13,US,91.92,-99.1,143,62,43.4,99.4,-1.0,-0.96
6,13,US_late,1704.52,-83.0,260,111,42.7,98.3,-0.84,1.59
6,13,Overlap,96.5,-99.0,106,40,37.7,99.6,-0.99,-1.14
6,13,US_evening,1568.77,-84.3,254,99,39.0,98.6,-0.86,1.09
6,13,Asia_EU,98.06,-99.0,239,76,31.8,99.9,-0.99,0.35
6,20,24h,95.53,-99.0,274,104,38.0,99.8,-0.99,1.2
6,20,EU,95.89,-99.0,128,44,34.4,100.0,-0.99,-0.92
