trade_id,entry_timestamp,entry_price,direction,position_size,leverage,stop_loss_pct,take_profit_pct,regime,confidence,capital_before,exit_timestamp,exit_price,pnl_pct,leveraged_pnl,net_pnl,pnl_dollars,exit_reason,capital_after
1,2025-01-24 17:45:00,1.4446,LONG,0.1,3,3.0,6.0,BULL_RUN,0.8,10000.0,2025-01-24 18:45:00,1.401262,-3.0,-9.0,-9.2,-92.0,STOP_LOSS,9908.0
2,2025-01-25 01:15:00,1.2659,SHORT,0.1,3,3.0,6.0,BEAR_TREND,0.8,9908.0,2025-01-25 04:45:00,1.189946,6.0,18.0,17.8,176.36240000000004,TAKE_PROFIT,10084.3624
3,2025-01-25 06:30:00,1.2186,SHORT,0.1,3,3.0,6.0,BEAR_TREND,0.6,10084.3624,2025-01-25 08:15:00,1.255158,-3.0,-9.0,-9.2,-92.77613407999999,STOP_LOSS,9991.58626592
4,2025-01-25 08:45:00,1.2183,SHORT,0.1,3,3.0,6.0,BEAR_TREND,0.8,9991.58626592,2025-01-25 13:30:00,1.1452019999999998,6.0,18.0,17.8,177.85023553337604,TAKE_PROFIT,10169.436501453376
5,2025-01-25 22:15:00,1.3759,LONG,0.1,3,3.0,6.0,BULL_RUN,0.8,10169.436501453376,2025-01-25 23:30:00,1.334623,-3.0,-9.0,-9.2,-93.55881581337106,STOP_LOSS,10075.877685640005
6,2025-01-26 00:00:00,1.3624,LONG,0.1,3,3.0,6.0,BULL_RUN,0.6,10075.877685640005,2025-01-26 06:00:00,1.321528,-3.0,-9.0,-9.2,-92.69807470788805,STOP_LOSS,9983.179610932117
7,2025-01-26 11:30:00,1.2729,SHORT,0.1,3,3.0,6.0,BEAR_TREND,0.8,9983.179610932117,2025-01-26 13:30:00,1.311087,-3.0,-9.0,-9.2,-91.84525242057548,STOP_LOSS,9891.334358511542
8,2025-01-26 16:30:00,1.29,SHORT,0.1,3,3.0,6.0,BEAR_TREND,0.8,9891.334358511542,2025-01-26 17:15:00,1.3287,-3.0,-9.0,-9.2,-91.00027609830619,STOP_LOSS,9800.334082413236
9,2025-01-27 12:15:00,0.9258,SHORT,0.1,3,3.0,6.0,BEAR_TREND,0.8,9800.334082413236,2025-01-27 12:45:00,0.953574,-3.0,-9.0,-9.2,-90.16307355820177,STOP_LOSS,9710.171008855034
10,2025-01-27 14:00:00,0.9528,SHORT,0.1,3,3.0,6.0,BEAR_TREND,0.8,9710.171008855034,2025-01-27 14:30:00,0.981384,-3.0,-9.0,-9.2,-89.33357328146631,STOP_LOSS,9620.837435573567
