trades,gross,net,max_dd,win_rate,ratio,tp,sl,time,coin,strategy,source
129,41.06210550400007,28.162105504000074,2.2476757994282375,31.007751937984494,18.268695829908133,39,89,1,MOODENG,RSI Momentum,LBANK
127,18.685140177885245,5.985140177885244,8.64676113520164,23.62204724409449,2.16094094490671,26,96,5,MOODENG,RSI Momentum,BINGX
37,9.744674674103436,6.044674674103436,1.944884570502049,45.94594594594595,5.010412865575854,14,18,5,DOGE,Volume Zones,LBANK
54,2.4512275341535172,-2.948772465846483,3.8218507883476263,35.18518518518518,0.6413718561768612,15,35,4,DOGE,Volume Zones,BINGX
20,1.1045628978695845,-0.8954371021304155,1.177547897165311,40.0,0.9380195069165153,8,12,0,PEPE,Volume Zones,LBANK
6,-0.8425419159390373,-1.4425419159390374,1.0949838841519308,16.666666666666664,-0.7694559966894756,1,5,0,PEPE,Volume Zones,BINGX
33,-1.1844217004269524,-4.484421700426953,3.3258773691075474,36.36363636363637,-0.35612308241682866,12,21,0,UNI,Volume Zones,LBANK
26,0.8962834778353397,-1.7037165221646604,4.4723578407740705,38.46153846153847,0.20040513522062267,8,16,2,UNI,Volume Zones,BINGX
1,-0.138334503965865,-0.238334503965865,0.138334503965865,0.0,-1.0,0,1,0,TRUMPSOL,Volume Zones,BINGX
15,30.390601017795746,28.890601017795746,4.863985726361794,46.666666666666664,6.248085978765314,7,8,0,FARTCOIN,Multi-TF LONG,LBANK
16,6.510679635129904,4.910679635129904,9.656478864702551,25.0,0.6742291601681513,4,12,0,FARTCOIN,Multi-TF LONG,BINGX
6,17.30622585872929,16.70622585872929,4.4626064617595445,50.0,3.8780533320667683,3,3,0,FARTCOIN,Trend SHORT,LBANK
5,-1.9938915452136854,-2.4938915452136854,6.863400128803009,20.0,-0.29051075382391034,0,4,1,FARTCOIN,Trend SHORT,BINGX
