strat,rr,lev,ret,trades,wr,dd
prev_breakdown,1.5,1,-53.5,780,39.9,59.3
prev_breakdown,1.5,2,-83.0,780,39.9,86.0
prev_breakdown,1.5,3,-95.1,780,39.9,96.2
prev_breakdown,1.5,5,-99.1,596,39.9,99.1
prev_breakdown,2.0,1,-45.8,674,33.4,58.2
prev_breakdown,2.0,2,-77.5,674,33.4,85.2
prev_breakdown,2.0,3,-92.8,674,33.4,95.6
prev_breakdown,2.0,5,-99.0,513,32.6,99.1
prev_breakdown,3.0,1,-30.0,561,28.0,50.9
prev_breakdown,3.0,2,-62.5,561,28.0,79.4
prev_breakdown,3.0,3,-84.3,561,28.0,92.6
prev_breakdown,3.0,5,-99.0,468,26.9,99.2
period_12_breakdown,1.5,1,-4.7,169,41.4,32.4
period_12_breakdown,1.5,2,-27.3,169,41.4,55.8
period_12_breakdown,1.5,3,-54.0,169,41.4,74.0
period_12_breakdown,1.5,5,-89.0,169,41.4,94.4
period_12_breakdown,2.0,1,3.6,166,37.3,29.8
period_12_breakdown,2.0,2,-18.2,166,37.3,52.4
period_12_breakdown,2.0,3,-47.5,166,37.3,68.8
period_12_breakdown,2.0,5,-87.4,166,37.3,91.0
period_12_breakdown,3.0,1,-12.7,153,34.0,37.8
period_12_breakdown,3.0,2,-39.6,153,34.0,64.3
period_12_breakdown,3.0,3,-65.6,153,34.0,81.0
period_12_breakdown,3.0,5,-93.4,153,34.0,95.8
ema20_reject,1.5,1,-54.1,700,38.6,58.4
ema20_reject,1.5,2,-81.2,700,38.6,84.5
ema20_reject,1.5,3,-93.1,700,38.6,94.8
ema20_reject,1.5,5,-99.0,584,38.4,99.0
ema20_reject,2.0,1,-49.2,618,32.7,55.0
ema20_reject,2.0,2,-77.0,618,32.7,81.8
ema20_reject,2.0,3,-90.6,618,32.7,93.3
ema20_reject,2.0,5,-99.0,564,32.4,99.0
ema20_reject,3.0,1,-36.0,516,27.1,43.7
ema20_reject,3.0,2,-63.9,516,27.1,71.9
ema20_reject,3.0,3,-81.9,516,27.1,87.4
ema20_reject,3.0,5,-96.8,516,27.1,98.2
ema50_reject,1.5,1,-69.0,504,37.3,70.8
ema50_reject,1.5,2,-91.3,504,37.3,92.3
ema50_reject,1.5,3,-97.8,504,37.3,98.1
ema50_reject,1.5,5,-99.0,374,38.5,99.0
ema50_reject,2.0,1,-71.5,457,31.3,74.6
ema50_reject,2.0,2,-92.7,457,31.3,94.1
ema50_reject,2.0,3,-98.3,457,31.3,98.8
ema50_reject,2.0,5,-99.0,338,32.2,99.0
ema50_reject,3.0,1,-62.5,400,25.2,66.5
ema50_reject,3.0,2,-87.5,400,25.2,89.9
ema50_reject,3.0,3,-96.3,400,25.2,97.3
ema50_reject,3.0,5,-99.1,298,25.2,99.1
red_below_ema20,1.5,1,-54.7,848,39.2,58.8
red_below_ema20,1.5,2,-82.9,848,39.2,85.8
red_below_ema20,1.5,3,-94.5,848,39.2,95.8
red_below_ema20,1.5,5,-99.0,707,39.6,99.0
red_below_ema20,2.0,1,-41.5,738,33.6,53.1
red_below_ema20,2.0,2,-72.1,738,33.6,80.3
red_below_ema20,2.0,3,-88.9,738,33.6,92.5
red_below_ema20,2.0,5,-99.0,677,33.4,99.0
red_below_ema20,3.0,1,-19.1,598,27.1,46.7
red_below_ema20,3.0,2,-49.4,598,27.1,74.4
red_below_ema20,3.0,3,-74.4,598,27.1,88.8
red_below_ema20,3.0,5,-96.2,598,27.1,98.4
