sl_mult,tp_mult,rr_ratio,trades,net,wr,dd,r_dd,avg_win,avg_loss,pf,sl_count,tp_count
1.0,4.0,4.0,127,5.985140177885244,23.62204724409449,8.64676113520164,0.6921828976539286,2.378998917656971,0.5422123512893837,1.3569828488439084,96,26
0.5,2.5,5.0,136,1.841569835277248,17.647058823529413,6.411467679181788,0.28723061979347975,1.9796235617051827,0.28764496899740194,1.474752193356305,112,24
0.75,4.0,5.333333333333333,132,1.5191857151416475,17.424242424242426,8.387371011197812,0.1811277589978329,2.7052209461646926,0.4312440563077358,1.3236737523269162,109,22
1.25,4.0,3.2,125,0.6744407346898953,27.200000000000003,11.54053086994799,0.05844104940147652,2.2531705991262463,0.6859822589673614,1.2272095219785524,90,30
1.5,5.0,3.3333333333333335,120,0.6854946993232574,25.833333333333336,12.46899932647047,0.054975919187678426,2.65465347573767,0.7611849122853424,1.2147568435908447,88,24
0.5,5.5,11.0,133,0.5386686702273629,9.774436090225564,10.597474058400298,0.05082991166186215,3.8353993397039967,0.2928806540700663,1.418672040506979,120,12
0.5,4.0,8.0,135,0.13356180330025325,12.592592592592592,6.6886607764850545,0.019968392442596117,2.8363411435627297,0.29008479753161603,1.4086412747752326,118,17
1.75,5.0,2.857142857142857,119,0.0389529386905334,29.411764705882355,9.353866499871637,0.004164367611090874,2.559920169995002,0.8989364834909503,1.186550355618448,83,28
1.0,3.5,3.5,127,-0.08496406672916912,25.196850393700785,7.5777481808096585,-0.011212310662993155,2.046117377513756,0.5499935213547693,1.2531392794583298,95,28
0.75,2.5,3.3333333333333335,135,-0.2146257415508046,22.962962962962962,6.790802431881962,-0.03160535793872662,1.8816058486454987,0.4301848976647718,1.3037725983696764,104,31
1.25,5.0,4.0,123,-3.2129314819673915,22.76422764227642,14.448614532252794,-0.2223695202606003,2.6836990953086612,0.6763273575692421,1.169529795977602,94,22
1.75,5.5,3.142857142857143,115,-2.408007350346722,27.82608695652174,10.773671581700391,-0.22350851630161442,2.504559889333611,0.8372611604059065,1.1533001851432019,82,23
1.75,6.0,3.4285714285714284,115,-3.4534184034863387,26.956521739130434,14.917078964311493,-0.23150768402771765,2.6003579040704077,0.8430301777025383,1.1383410921114783,83,21
1.5,5.5,3.6666666666666665,116,-3.5433859748238987,24.137931034482758,12.355958480875863,-0.2867754840960523,2.5754526227329473,0.7112179716825819,1.1521955726226067,87,19
1.5,4.5,3.0,121,-3.653428366348159,27.27272727272727,12.381854675929576,-0.2950630953091747,2.365722864258878,0.7695638915561425,1.152790669924979,87,26
1.0,2.5,2.5,131,-2.1130417679483102,29.00763358778626,7.094670469519611,-0.29783508297199135,1.7045172541837368,0.5708721562113616,1.2200094331279934,93,37
0.5,5.0,10.0,134,-3.584869264639062,9.701492537313433,11.08829347663083,-0.3233021629698353,3.547899273968035,0.2915023882271949,1.3076368367261972,121,13
1.5,6.0,4.0,116,-4.352317574324509,23.275862068965516,12.184291241474503,-0.3572072833838307,2.688725078927129,0.7159573390632559,1.139286654968763,88,18
