atr_expansion_mult,atr_lookback,ema_distance_max,limit_offset_pct,sl_atr_mult,tp_atr_mult,max_wait_bars,max_hold_bars,trades,return,max_dd,return_dd,win_rate,tp_rate,avg_win,avg_loss
1.3,20,3.0,1.0,2.0,6.0,3,200,126,105.52606004263374,-15.566359877193106,6.779109623261645,35.714285714285715,29.365079365079367,4.916011213723705,-1.4283264762337406
1.3,20,3.0,1.0,2.0,4.0,3,200,126,83.29649595111239,-13.281771626088354,6.271489850608449,43.65079365079365,43.65079365079365,3.355902983612677,-1.4264530725011955
1.3,20,4.0,1.0,2.0,6.0,3,200,136,91.07054864111,-17.705617722623046,5.1435962341345585,34.55882352941176,27.941176470588236,4.7862238026879425,-1.5042917987103746
1.5,20,3.0,1.0,2.0,8.0,3,200,51,43.416720118060894,-8.443319338824317,5.142138817185424,37.254901960784316,19.607843137254903,4.731366975663707,-1.4524766381109235
1.3,20,3.0,1.0,1.5,6.0,3,200,126,85.23132327823448,-17.68145754861527,4.820378808924008,28.57142857142857,23.015873015873016,5.127105055807717,-1.1038273192315926
1.5,20,3.0,1.0,2.0,6.0,3,200,51,37.58158333173153,-8.947744378612027,4.200118123799283,37.254901960784316,27.450980392156865,4.42425451322532,-1.4524766381109235
1.4,20,3.0,1.0,1.5,6.0,3,200,78,49.47891526788875,-12.132370638574914,4.078256157998534,30.76923076923077,21.794871794871796,4.751620523468204,-1.1955551350990392
1.3,20,3.0,1.0,1.5,4.0,3,200,126,62.20919274494687,-15.320330184242456,4.060564752640344,36.507936507936506,36.507936507936506,3.326416093164378,-1.135074344257681
1.5,20,3.0,1.0,2.0,4.0,3,200,51,37.56035052494735,-9.53018389937966,3.9411989234952998,45.09803921568628,45.09803921568628,3.306291562068129,-1.3744412643792725
1.4,20,3.0,1.0,2.0,6.0,3,200,78,55.81618555455994,-14.399335041747916,3.876302995432245,38.46153846153847,28.205128205128204,4.423979831818529,-1.602150195833248
