strategy,body,vol,sl,tp,trades,return,win_rate,avg_win,avg_loss,rr,pf,dd,avg_bars,hours,rsi
Momentum Continuation,0.5,2.0,1.5,3.0,86,-1.9612441577901052,36.04651162790697,1.151440119114998,0.6722015986265691,1.7129386801037083,0.9654745287857265,13.134353389501605,7.441860465116279,,
Momentum Continuation,0.5,2.0,1.5,4.0,86,6.611907988853517,34.883720930232556,1.4867630921065336,0.663949499251335,2.2392713508828574,1.1996096522586737,12.994611170146527,9.011627906976743,,
Momentum Continuation,0.5,2.0,1.5,5.0,86,10.237695079984505,32.55813953488372,1.7547557500680626,0.655832737067929,2.675614757984109,1.291676090061294,12.79105340510738,10.244186046511627,,
Momentum Continuation,0.7,2.0,1.5,4.0,42,3.7552865016899233,35.714285714285715,1.8207608038008793,0.8472874769864113,2.148929204379213,1.1938495579884516,7.854788233421292,9.642857142857142,,
Momentum Continuation,0.7,2.5,1.5,4.0,33,8.657168152862468,39.39393939393939,1.857979548739659,0.759893123073694,2.4450537744364786,1.589284953383711,5.100337768016516,10.06060606060606,,
Momentum Continuation,0.7,2.5,2.0,5.0,33,7.1240401453816276,36.36363636363637,2.2136409480544423,0.8920178398837723,2.4816106237772937,1.418063213587025,7.385930317606782,12.969696969696969,,
Momentum Continuation,1.0,2.0,2.0,6.0,23,5.788767814911694,30.434782608695656,3.80719414270447,1.2306330691736858,3.093687499606059,1.3534882810776507,7.202372367162003,13.652173913043478,,
Mean Reversion,0.5,,1.5,2.0,252,27.606599470413343,44.44444444444444,0.8486743934608248,0.4898547415350478,1.732502151150668,1.3860017209205344,5.662036827483783,5.718253968253968,,
Mean Reversion,0.5,,2.0,3.0,225,7.324871567185696,40.44444444444444,1.0312078179088,0.6299614974527917,1.6369378479135972,1.1116518220905771,13.583830533384894,9.511111111111111,,
Mean Reversion,0.7,,1.5,2.5,99,19.871381249939617,36.36363636363637,1.7397379696529938,0.674846065234472,2.577977496317668,1.4731299978958103,7.014384704015939,7.424242424242424,,
Mean Reversion,0.7,,2.0,3.0,90,0.2869121794565501,34.44444444444444,1.8055369889884652,0.9077020000346835,1.9891296801367355,1.045135933631166,14.726983246300026,10.244444444444444,,
Mean Reversion,1.0,,2.0,4.0,40,-1.4297821192905218,32.5,2.9278144220015507,1.4146170867712244,2.069686878082397,0.9965159042618947,14.560379505639062,16.8,,
Session Breakout,0.5,2.0,,,85,7.796105028870841,37.64705882352941,1.4044228006702264,0.684528732295489,2.0516637716004333,1.2387403904002616,8.658736886722467,7.552941176470588,"(14, 21)",
Session Breakout,0.5,2.5,,,70,11.399710824631043,35.714285714285715,1.6842004277565825,0.6695400503012533,2.5154588243060174,1.3974771246144542,9.178638227626564,7.728571428571429,"(14, 21)",
Session Breakout,0.7,2.5,,,44,2.3186243176864707,36.36363636363637,2.14837420245251,1.0924310389473628,1.9665993786872127,1.12377107353555,12.216280176473356,10.454545454545455,"(14, 21)",
RSI Momentum,0.3,,,,344,23.251034488726347,40.98837209302326,0.6257046675166598,0.3278482825690184,1.908518972903074,1.3256215526075539,11.23520780995267,6.209302325581396,,50.0
RSI Momentum,0.5,,,,131,36.18800274435347,35.87786259541985,1.3816675093333233,0.3925816459348952,3.5194399015853524,1.9692104211251378,4.445100220515066,7.923664122137405,,55.0
RSI Momentum,0.5,,,,129,17.003407446221857,31.007751937984494,1.5780756510006282,0.51899282461509,3.0406502289718644,1.3665843725716245,9.424845173539143,11.767441860465116,,55.0
RSI Momentum,0.5,,,,133,24.186425791325462,33.83458646616541,1.3456073341653898,0.4309865361788503,3.122156311646337,1.5965572048191496,3.3532205817750063,8.601503759398497,,60.0
Volume Spike Scalp,,3.0,1.0,2.0,291,19.352556102141364,41.92439862542955,0.48441801323065364,0.24156019766645645,2.005371819986389,1.447664864132186,6.656995451322531,3.161512027491409,,
Volume Spike Scalp,,4.0,1.0,2.0,214,-2.320738068262685,37.850467289719624,0.403623343436609,0.26101349844957017,1.5463696162617895,0.9417739768210898,9.21315365497806,3.3271028037383177,,
Volume Spike Scalp,,4.0,1.5,3.0,209,-4.165088131247828,37.32057416267943,0.5814980268007975,0.3731800266787527,1.5582238738124448,0.9277974210486312,11.939442449095855,4.980861244019139,,
Volume Spike Scalp,,5.0,1.0,2.5,160,-3.812687513652534,34.375,0.45200633217161873,0.27100611254613044,1.6678824249570334,0.8736526987870175,8.157081105942273,3.7125,,
