strat,rr,lev,ret,trades,wr,dd
prev_breakdown,1.5,1,-54.5,786,37.3,56.3
prev_breakdown,1.5,2,-81.1,786,37.3,82.5
prev_breakdown,1.5,3,-92.8,786,37.3,93.6
prev_breakdown,1.5,5,-99.1,727,36.7,99.1
prev_breakdown,2.0,1,-47.9,699,32.0,49.0
prev_breakdown,2.0,2,-75.8,699,32.0,76.8
prev_breakdown,2.0,3,-89.9,699,32.0,90.5
prev_breakdown,2.0,5,-98.7,699,32.0,98.8
prev_breakdown,3.0,1,-39.0,591,26.6,43.4
prev_breakdown,3.0,2,-66.3,591,26.6,70.5
prev_breakdown,3.0,3,-83.0,591,26.6,85.8
prev_breakdown,3.0,5,-96.7,591,26.6,97.3
period_12_breakdown,1.5,1,12.0,149,41.6,17.2
period_12_breakdown,1.5,2,16.7,149,41.6,32.5
period_12_breakdown,1.5,3,13.1,149,41.6,45.9
period_12_breakdown,1.5,5,-14.5,149,41.6,67.2
period_12_breakdown,2.0,1,21.2,140,39.3,13.9
period_12_breakdown,2.0,2,35.2,140,39.3,26.4
period_12_breakdown,2.0,3,39.0,140,39.3,38.2
period_12_breakdown,2.0,5,15.7,140,39.3,58.2
period_12_breakdown,3.0,1,8.2,128,39.8,12.4
period_12_breakdown,3.0,2,9.5,128,39.8,25.1
period_12_breakdown,3.0,3,3.7,128,39.8,38.1
period_12_breakdown,3.0,5,-23.5,128,39.8,62.2
ema20_reject,1.5,1,-41.2,694,39.0,44.6
ema20_reject,1.5,2,-67.2,694,39.0,70.9
ema20_reject,1.5,3,-82.6,694,39.0,85.4
ema20_reject,1.5,5,-95.8,694,39.0,96.9
ema20_reject,2.0,1,-35.5,595,33.3,42.8
ema20_reject,2.0,2,-60.8,595,33.3,69.0
ema20_reject,2.0,3,-77.5,595,33.3,84.0
ema20_reject,2.0,5,-93.7,595,33.3,96.3
ema20_reject,3.0,1,-37.7,513,24.8,43.4
ema20_reject,3.0,2,-63.9,513,24.8,69.7
ema20_reject,3.0,3,-80.4,513,24.8,84.8
ema20_reject,3.0,5,-95.3,513,24.8,96.7
ema50_reject,1.5,1,-46.5,523,37.1,48.0
ema50_reject,1.5,2,-72.5,523,37.1,74.0
ema50_reject,1.5,3,-86.3,523,37.1,87.4
ema50_reject,1.5,5,-97.0,523,37.1,97.4
ema50_reject,2.0,1,-46.0,456,31.1,47.3
ema50_reject,2.0,2,-72.0,456,31.1,73.4
ema50_reject,2.0,3,-86.1,456,31.1,87.1
ema50_reject,2.0,5,-97.0,456,31.1,97.3
ema50_reject,3.0,1,-31.4,409,25.4,37.2
ema50_reject,3.0,2,-55.7,409,25.4,62.4
ema50_reject,3.0,3,-72.9,409,25.4,78.5
ema50_reject,3.0,5,-91.4,409,25.4,93.8
red_below_ema20,1.5,1,-46.1,817,38.7,50.4
red_below_ema20,1.5,2,-73.3,817,38.7,77.2
red_below_ema20,1.5,3,-87.8,817,38.7,90.2
red_below_ema20,1.5,5,-98.0,817,38.7,98.6
red_below_ema20,2.0,1,-33.8,702,33.3,43.9
red_below_ema20,2.0,2,-60.7,702,33.3,71.5
red_below_ema20,2.0,3,-78.9,702,33.3,86.8
red_below_ema20,2.0,5,-95.4,702,33.3,97.8
red_below_ema20,3.0,1,-30.3,560,26.1,39.4
red_below_ema20,3.0,2,-55.4,560,26.1,65.5
red_below_ema20,3.0,3,-73.7,560,26.1,81.9
red_below_ema20,3.0,5,-92.8,560,26.1,96.0
